Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code
Agaricus augustus,Fr.,,the Prince,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,Agaricus,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2017-06-20,Andrew Simon,https://www.inaturalist.org/observations/9150741,,49547,FUN
Agaricus hondensis,Murrill,,felt-ringed agaricus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Agaricaceae,,,Agaricus,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2019-10-06,Sarah Tweedale,https://www.inaturalist.org/observations/33973884,,118386,FUN
Agrocybe praecox,(Pers.) Fayod,,spring fieldcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,Agrocybe,,,confirmed,observed,2010-04-17,Paul Kroeger,UBC,F22074,,2015-03-21,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2608865,,118391,FUN
Aleuria aurantia,(Pers.) Fuckel,,orange peel fungus,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Pyronemataceae,,,Aleuria,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2016-10-07,Lauren Magner,http://www.inaturalist.org/observations/4296027,,48716,FUN
Amanita aprica,J. Lindgr. & Tulloss,,sunshine amanita,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Pluteineae,,Amanitaceae,,,Amanita,,,confirmed,observed,2011-05-14,Paul Kroeger,UBC,F22073,,2017-05-18,Emma Harrower,https://www.inaturalist.org/observations/78658048,,496850,FUN
Amanita gemmata,(Fr.) Bertill.,,gemmed amanita,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Pluteineae,,Amanitaceae,,,Amanita,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2017-05-18,Andrew Simon,https://www.inaturalist.org/observations/6306947,,58691,FUN
Amanita muscaria ssp. flavivolvata,,,fly agaric,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Pluteineae,,Amanitaceae,,,Amanita,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2016-10-11,Graham Barber,http://inaturalist.ca/observations/4332997,,335932,FUN
Amanita pachycolea,D.E. Stuntz,,western grisette,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Pluteineae,,Amanitaceae,,,Amanita,,,confirmed,observed,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,2001-08-31,Elizabeth McClelland,https://www.inaturalist.org/observations/36592969,,67357,FUN
Amanita pantherina,(DC.) Krombh.,,panthercap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Pluteineae,,Amanitaceae,,,Amanita,,,confirmed,observed,2010-04-17,Paul Kroeger,UBC,F22067,,2015-03-21,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2608929,,48418,FUN
Amanita silvicola,Kauffman,,woodland amanita,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Pluteineae,,Amanitaceae,,,Amanita,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2020-10-29,Adrian Levine,https://www.inaturalist.org/observations/63832731,,318795,FUN
Armillaria mellea grp.,,,honey fungi,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Marasmiineae,,Physalacriaceae,,,Armillaria,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2010-11-05,Ian Guthrie,http://www.inaturalist.org/observations/4208506,reported as Armillaria ostoyae,55930,FUN
