"Taxon","Matched.Taxon","Critical.Note"
"Acer glabrum","Acer glabrum var. douglasii",""
"Acer glabrum douglasii","Acer glabrum var. douglasii",""
"Achillea millefolium","Achillea millefolium complex",""
"Achillea millefolium borealis","Achillea millefolium complex",""
"Achillea millefolium californica","Achillea millefolium complex",""
"Achillea millefolium var. californica","Achillea millefolium complex",""
"Achnatherum lemmonii var. lemmonii","Eriocoma lemmonii",""
"Adiantum aleuticum","Adiantum aleuticum var. aleuticum",""
"Adiantum aleuticum aleuticum","Adiantum aleuticum var. aleuticum",""
"Agoseris grandiflora","Agoseris grandiflora var. leptophylla",""
"Agoseris grandiflora leptophylla","Agoseris grandiflora var. leptophylla",""
"Agoseris heterophylla","Agoseris heterophylla ssp. heterophylla",""
"Agoseris heterophylla heterophylla","Agoseris heterophylla ssp. heterophylla",""
"Agoseris heterophylla var. heterophylla","Agoseris heterophylla ssp. heterophylla",""
"Agropyron repens","Elymus repens",""
"Agrostis palustris","Agrostis stolonifera",""
"Althaea rosea","Alcea rosea",""
"Amelanchier alnifolia semiintegrifolia","Amelanchier alnifolia",""
"Amsinckia retrorsa","Amsinckia menziesii",""
"Anagallis arvensis","Lysimachia arvensis",""
"Andromeda polifolia","Andromeda polifolia var. polifolia",""
"Anthoxanthum aristatum","Anthoxanthum aristatum ssp. aristatum",""
"Anthoxanthum aristatum aristatum","Anthoxanthum aristatum ssp. aristatum",""
"Anthoxanthum puelii","Anthoxanthum aristatum ssp. aristatum",""
"Aphanes arvensis","Alchemilla arvensis",""
"Aphanes occidentalis","Alchemilla occidentalis",""
"Aquilegia formosa","Aquilegia formosa var. formosa",""
"Aquilegia formosa formosa","Aquilegia formosa var. formosa",""
"Arabis  glabra","Turritis glabra",""
"Arctostaphylos x-media","Arctostaphylos × media",""
"Arenaria serpyllifolia","Arenaria serpyllifolia var. serpyllifolia",""
"Argentina anserina","Argentina pacifica",""
"Arrhenatherum elatius","Arrhenatherum elatius ssp. elatius",""
"Artemisa campestris","Artemisia campestris ssp. pacifica",""
"Artemisa suksdorfii","Artemisia suksdorfii",""
"Artemisia campestris","Artemisia campestris ssp. pacifica",""
"Asplenium trichomanes","Asplenium trichomanes ssp. trichomanes",""
"Aster chilensis","Symphyotrichum chilense",""
"Aster subspicatus","Symphyotrichum subspicatum",""
"Athyrium filix-femina","Athyrium filix-femina ssp. cyclosorum",""
"Athyrium filix-femina cyclosorum","Athyrium filix-femina ssp. cyclosorum",""
"Atriplex patula","Atriplex dioica",""
"Atriplex subspicata","Atriplex dioica",""
"Blechnum spicant","Struthiopteris spicant",""
"Boschniakia hookeri","Kopsiopsis hookeri",""
"Botrychium multifidum","Sceptridium multifidum",""
"Botrychium silaifolium","Sceptridium multifidum",""
"Brodiaea coronaria coronaria","Brodiaea coronaria",""
"Bromus carinatus","Bromus carinatus var. carinatus",""
"Bromus carinatus carinatus","Bromus carinatus var. carinatus",""
"Bromus rigidus","Bromus diandrus",""
"Cakile edentula","Cakile edentula var. edentula",""
"Cakile edentula edentula","Cakile edentula var. edentula",""
"Cakile maritima","Cakile maritima ssp. maritima",""
"Cakile maritima maritima","Cakile maritima ssp. maritima",""
"Calandrinia ciliata","Calandrinia menziesii",""
"Callitriche heterophylla","Callitriche heterophylla",""
"Callitriche heterophylla bolanderi","Callitriche heterophylla",""
"Callitriche heterophylla var bolanderi","Callitriche heterophylla",""
"Calypso bulbosa","Calypso bulbosa var. occidentalis",""
"Calypso bulbosa occidentalis","Calypso bulbosa var. occidentalis",""
"Calystegia silvatica","Calystegia silvatica ssp. silvatica",""
"Camassia leichtlinii","Camassia leichtlinii ssp. suksdorfii",""
"Camassia leichtlinii suksdorfii","Camassia leichtlinii ssp. suksdorfii",""
"Camassia quamash","Camassia quamash ssp. quamash",""
"Camassia quamash quamash","Camassia quamash ssp. quamash",""
"Cardamine pulcherrima","Cardamine nuttallii",""
"Carex aquatilis","Carex aquatilis var. dives",""
"Carex aquatilis dives","Carex aquatilis var. dives",""
"Carex canescens","Carex canescens ssp. canescens",""
"Carex deweyana","Carex leptopoda",""
"Carex echinata","Carex echinata ssp. echinata",""
"Carex echinata echinata","Carex echinata ssp. echinata",""
"Carex garberi","",""
"Carex inops","Carex inops ssp. inops",""
"Carex inops inops","Carex inops ssp. inops",""
"Carex lenticularis","Carex kelloggii var. limnophila",""
"Carex sitchensis","Carex aquatilis var. dives",""
"Carex tracyi","Carex leporina",""
"Carex viridula","Carex viridula ssp. viridula",""
"Carex viridula viridula","Carex viridula ssp. viridula",""
"Carex. lyngbyei","Carex lyngbyei",""
"Castilleja attenuatus","Castilleja attenuata",""
"Castilleja hispida hispida","Castilleja hispida",""
"Castilleja hispida var. hispida","Castilleja hispida",""
