plot,layer,scientificName,abundance,note
1,grass/herb,Agoseris grandiflora,o,
1,grass/herb,Aira caryophyllea,3,
1,grass/herb,Aira praecox,1,
1,grass/herb,Bromus hordeaceus,1,
1,grass/herb,Bromus sterilis,3,
1,grass/herb,Bromus tectorum,15,
1,grass/herb,Clarkia amoena var. caurina,4,
1,grass/herb,Collinsia parviflora,o,
1,grass/herb,Cynosurus echinatus,4,
1,grass/herb,Elymus glaucus,o,
1,grass/herb,Epilobium brachycarpum,o,
1,grass/herb,Eriophyllum lanatum,1,
1,grass/herb,Galium aparine,o,
1,grass/herb,Lotus micranthus,o,
1,grass/herb,Lupinus bicolor,o,
1,grass/herb,Madia gracilis,1,
1,grass/herb,Pentagramma triangularis,o,
1,grass/herb,Rumex acetosella,o,
1,grass/herb,Selaginella wallacei,1,
1,grass/herb,Stipa lemmonnii,55,
1,grass/herb,Trifolium oligathum,o,
1,grass/herb,Trifolium willdenowii,o,
1,grass/herb,Vulpia bromoides,7,
1,moss/lichen,Racomitrium canescens,50,
1,moss/lichen,Racomitrium heterostichum,o,
2,grass/herb,Agoseris grandiflora,1,
2,grass/herb,Aira caryophyllea,o,
2,grass/herb,Bromus hordeaceus,3,
2,grass/herb,Bromus sterilis,2,
2,grass/herb,Bromus tectorum,10,
2,grass/herb,Clarkia amoena var. caurina,4,
2,grass/herb,Collinsia parviflora,o,
2,grass/herb,Daucus pusillus,o,
2,grass/herb,Elymus glaucus,1,
2,grass/herb,Epilobium brachycarpum,2,
2,grass/herb,Galium aparine,2,
2,grass/herb,Hypochaeris glabra,o,
2,grass/herb,Lotus micranthus,1,
2,grass/herb,Lupinus bicolor,o,
2,grass/herb,Madia gracilis,o,
2,grass/herb,Rumex acetosella,1,
2,grass/herb,Selaginella wallacei,o,
2,grass/herb,Stipa lemmonnii,65,
2,grass/herb,Torilis arvensis,o,
2,grass/herb,Trifolium microcephalum,o,
2,grass/herb,Trifolium oligathum,o,
2,grass/herb,Trifolium willdenowii,o,
2,grass/herb,Veronica arvensis,o,
2,grass/herb,Vulpia bromoides,4,
2,moss/lichen,Racomitrium canescens,20,
3,grass/herb,Aira caryophyllea,o,
3,grass/herb,Bromus carinatus,10,
3,grass/herb,Bromus sterilis,7,
3,grass/herb,Carex inops,18,
3,grass/herb,Cerastium arvense,6,
3,grass/herb,Cynosurus echinatus,7,
3,grass/herb,Elymus glaucus,35,
3,grass/herb,Festuca roemeri,3,
3,grass/herb,Galium aparine,o,
3,grass/herb,Melica harfordii,8,
3,grass/herb,Torilis arvensis,2,
3,grass/herb,Trifolium microcephalum,o,
3,grass/herb,Veronica arvensis,o,
3,grass/herb,Vicia hirsuta,o,
3,grass/herb,Vicia sativa,3,
3,grass/herb,Vulpia bromoides,1,
3,tree,Quercus garryana,40,
4,grass/herb,Agoseris grandiflora,2,
4,grass/herb,Bromus carinatus,4,
4,grass/herb,Bromus sterilis,15,
4,grass/herb,Cerastium arvense,3,
4,grass/herb,Cynosurus echinatus,8,
4,grass/herb,Elymus glaucus,30,
4,grass/herb,Epilobium brachycarpum,o,
4,grass/herb,Galium aparine,2,
4,grass/herb,Lonicera hispidula,5,
4,grass/herb,Lotus micranthus,o,
4,grass/herb,Melica harfordii,12,
4,grass/herb,Pentagramma triangularis,o,
4,grass/herb,Torilis arvensis,6,
4,grass/herb,Vicia hirsuta,3,
4,grass/herb,Vicia sativa,3,
4,grass/herb,Vulpia bromoides,4,
4,tree,Quercus garryana,35,
5,grass/herb,Agoseris grandiflora,o,
5,grass/herb,Aira caryophyllea,o,
5,grass/herb,Bromus carinatus,8,
5,grass/herb,Bromus sterilis,4,
5,grass/herb,Carex inops,30,
5,grass/herb,Cerastium arvense,2,
5,grass/herb,Cynosurus echinatus,4,
5,grass/herb,Cytisus scoparius,2,seedling
5,grass/herb,Elymus glaucus,1,
5,grass/herb,Lonicera hispidula,1,
5,grass/herb,Lotus micranthus,o,
5,grass/herb,Luzula multiflora,5,
5,grass/herb,Melica subulata,25,
5,grass/herb,Poa pratensis,1,
5,grass/herb,Torilis arvensis,2,
5,grass/herb,Veronica arvensis,o,
5,grass/herb,Vicia hirsuta,1,
5,grass/herb,Vicia sativa,1,
5,grass/herb,Vulpia bromoides,5,
5,grass/herb,Yabaea microcarpa,o,
5,tree,Pseudotsuga menziesii,20,
5,tree,Quercus garryana,20,
6,grass/herb,Agoseris grandiflora,o,
6,grass/herb,Barbarea orthoceras,o,
6,grass/herb,Bromus carinatus,5,
6,grass/herb,Bromus sterilis,15,
6,grass/herb,Cerastium arvense,2,
6,grass/herb,Elymus glaucus,25,
6,grass/herb,Galium aparine,o,
6,grass/herb,Geranium molle,o,
6,grass/herb,Lonicera hispidula,4,
6,grass/herb,Madia gracilis,o,
6,grass/herb,Melica harfordii,25,
6,grass/herb,Selaginella wallacei,1,
6,grass/herb,Torilis arvensis,3,
6,grass/herb,Veronica arvensis,o,
6,grass/herb,Vicia hirsuta,2,
6,grass/herb,Vicia sativa,1,
6,grass/herb,Vulpia bromoides,1,
6,moss/lichen,Racomitrium canescens,2,
6,tree,Quercus garryana,20,
7,grass/herb,Bromus carinatus,3,
7,grass/herb,Bromus hordeaceus,1,
7,grass/herb,Bromus sterilis,12,
7,grass/herb,Carex inops,12,
7,grass/herb,Cerastium arvense,2,
7,grass/herb,Cirsium vulgare,o,
7,grass/herb,Cynosurus echinatus,3,
7,grass/herb,Elymus glaucus,45,
7,grass/herb,Galium aparine,o,
7,grass/herb,Geranium molle,o,
7,grass/herb,Lonicera hispidula,2,
7,grass/herb,Lychnis coronaria,o,
7,grass/herb,Melica subulata,4,
7,grass/herb,Myosotis discolor,o,
7,grass/herb,Osmorhiza berteroi,o,
7,grass/herb,Poa pratensis,3,
7,grass/herb,Sanicula crassicaulis,o,
7,grass/herb,Torilis arvensis,3,
7,grass/herb,Vicia hirsuta,o,
7,grass/herb,Vicia sativa,1,
7,tree,Quercus garryana,30,
8,grass/herb,Bromus carinatus,1,
8,grass/herb,Bromus sterilis,8,
8,grass/herb,Cerastium arvense,1,
8,grass/herb,Cynosurus echinatus,2,
8,grass/herb,Elymus glaucus,60,
8,grass/herb,Galium aparine,o,
8,grass/herb,Lonicera hispidula,3,
8,grass/herb,Lychnis coronaria,3,
8,grass/herb,Osmorhiza berteroi,o,
8,grass/herb,Poa pratensis,4,
8,grass/herb,Torilis arvensis,4,
8,grass/herb,Veronica arvensis,o,
8,grass/herb,Vicia americana,o,
8,grass/herb,Vicia hirsuta,o,
8,grass/herb,Vicia sativa,2,
8,grass/herb,Vulpia bromoides,1,
8,tree,Quercus garryana,50,
9,grass/herb,Achillea millefolium,o,
9,grass/herb,Agoseris grandiflora,o,
9,grass/herb,Aira caryophyllea,o,
9,grass/herb,Aira praecox,1,
9,grass/herb,Allium acuminatum,2,
9,grass/herb,Bromus hordeaceus,4,
9,grass/herb,Bromus sterilis,8,
9,grass/herb,Bromus tectorum,12,
9,grass/herb,Cerastium arvense,1,
9,grass/herb,Collinsia parviflora,o,
9,grass/herb,Cynosurus echinatus,5,
9,grass/herb,Elymus glaucus,5,
9,grass/herb,Galium aparine,o,
9,grass/herb,Hypochaeris radicata,o,
9,grass/herb,Lupinus bicolor,o,
9,grass/herb,Lychnis coronaria,5,
9,grass/herb,Rumex acetosella,1,
9,grass/herb,Stipa lemmonnii,55,
9,grass/herb,Veronica arvensis,o,
9,grass/herb,Vicia sativa,1,
9,grass/herb,Vulpia bromoides,1,
9,moss/lichen,Racomitrium canescens,30,
10,grass/herb,Achillea millefolium,o,
10,grass/herb,Aira praecox,10,
10,grass/herb,Allium acuminatum,2,
10,grass/herb,Allium cernuum,o,
10,grass/herb,Bromus sterilis,o,
10,grass/herb,Carex inops,2,
10,grass/herb,Cytisus scoparius,o,seedling
10,grass/herb,Daucus pusillus,o,
10,grass/herb,Festuca roemeri,35,
10,grass/herb,Hypochaeris radicata,3,
10,grass/herb,Lotus micranthus,o,
10,grass/herb,Lupinus bicolor,1,
10,grass/herb,Luzula multiflora,o,
10,grass/herb,Rumex acetosella,o,
10,moss/lichen,Dicranum scoparium,60,
10,moss/lichen,div. lichens,1,
10,moss/lichen,Polytrichum juniperinum,15,
11,grass/herb,Aira praecox,10,
11,grass/herb,Allium acuminatum,o,
11,grass/herb,Bromus hordeaceus,3,
11,grass/herb,Carex inops,2,
11,grass/herb,Cynosurus echinatus,o,
11,grass/herb,Daucus pusillus,o,
11,grass/herb,Festuca roemeri,70,
11,grass/herb,Hypochaeris glabra,o,
11,grass/herb,Lomatium utriculatum,o,
11,grass/herb,Lotus micranthus,o,
11,grass/herb,Lupinus bicolor,o,
11,grass/herb,Phlox gracilis,o,
11,grass/herb,Ranunculus occidentalis,o,
11,grass/herb,Rumex acetosella,o,
11,grass/herb,Trifolium microcephalum,o,
11,grass/herb,Trifolium oligathum,o,
11,moss/lichen,Dicranum scoparium,40,
11,moss/lichen,div. lichens,2,
11,moss/lichen,Homalothecium megaptilum,1,
11,moss/lichen,Racomitrium canescens,30,
12,grass/herb,Allium cernuum,12,
12,grass/herb,Brodiaea coronaria,o,
12,grass/herb,Bromus carinatus,5,
12,grass/herb,Bromus hordeaceus,8,
12,grass/herb,Carex inops,15,
12,grass/herb,Cerastium arvense,o,
12,grass/herb,Cytisus scoparius,2,seedling
12,grass/herb,Danthonia californica,25,
12,grass/herb,Daucus pusillus,1,
12,grass/herb,Elymus glaucus,7,
12,grass/herb,Eriophyllum lanatum,o,
12,grass/herb,Festuca roemeri,2,
12,grass/herb,Hypochaeris radicata,3,
12,grass/herb,Lomatium utriculatum,o,
12,grass/herb,Luzula multiflora,1,
12,grass/herb,Melica subulata,3,
12,grass/herb,Poa pratensis,3,
12,grass/herb,Rumex acetosella,o,
12,grass/herb,Stipa lemmonnii,o,
12,grass/herb,Torilis arvensis,o,
12,grass/herb,Vicia americana,o,
12,grass/herb,Vicia sativa,1,
12,grass/herb,Vulpia bromoides,2,
12,grass/herb,Zygadenus venenosus,o,
12,moss/lichen,Dicranum scoparium,20,
