scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,firstReported,firstReportedBy,firstReportedSource,firstReportedCollectionNumber,firstReportedGBIF,lastReported,lastReportedBy,lastReportedSource,lastReportedCollectionNumber,lastReportedGBIF,recordCount,reportingStatus,iNatObservationStatus,notes,ID,statsCode
Orcinus orca,"(Linnaeus, 1758)",,orca,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Delphinidae,,,Orcinus,orca,,,,native,S1 (2021),1-E (2003),2001-01-14,Amy Rowley,BCCSN,,,2011-06-26,Kris Krüg,,,,,confirmed,observed,,41521,MAM
Balaenoptera physalus,"(Linnaeus, 1758)",,fin whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Balaenopteridae,,,Balaenoptera,physalus,,,,native,S2N (2006),1-T (2006),2007-05-17,Amy Rowley,BCCSN,,,,,,,,,reported,unobserved,,41562,MAM
Megaptera novaeangliae,"(Borowski, 1781)",,humpback whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Balaenopteridae,,,Megaptera,novaeangliae,,,,native,S3 (2006),1-SC (2017),2001-04-20,Amy Rowley,BCCSN,,,2017-06-06,Andrew Simon,,,,,confirmed,observed,,41566,MAM
Eschrichtius robustus,"(Lilljeborg, 1861)",,grey whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Eschrichtiidae,,,Eschrichtius,robustus,,,,native,S3 (2006),1-SC (2005),2001-04-15,Amy Rowley,BCCSN,,,,,,,,,reported,unobserved,,41478,MAM
Phocoena phocoena,"(Linnaeus, 1758)",,harbour porpoise,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Phocoenidae,,,Phocoena,phocoena,,,,native,S3 (2006),1-SC (2005),2001-12-15,Amy Rowley,BCCSN,,,2019-03-25,Karen Steve Smith,,,,,confirmed,observed,,41440,MAM
Eumetopias jubatus,"(Schreber, 1776)",,Steller sea lion,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Otariidae,Otariidae,,Eumetopias,jubatus,,,,native,"S3B,S4N (2013)",1-SC (2005),1985-12-07,Andy Lamb,Ocean Wise,,,2016-12-22,Lauren Magner & Andrew Simon,,,,,confirmed,observed,,41755,MAM
Balaenoptera acutorostrata,"Lacépède, 1804",,northern minke whale,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Balaenopteridae,,,Balaenoptera,acutorostrata,,,,native,S4N (2006),,2004-10-04,Amy Rowley,BCCSN,,,,,,,,,reported,unobserved,,41550,MAM
Lagenorhynchus obliquidens,"Gill, 1865",,Pacific white-sided dolphin,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Delphinidae,,,Lagenorhynchus,obliquidens,,,,native,S4S5 (2006),,2002-08-15,Amy Rowley,BCCSN,,,,,,,,,reported,unobserved,,41510,MAM
Phocoenoides dalli,"(True, 1885)",,Dall’s porpoise,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Phocoenidae,,,Phocoenoides,dalli,,,,native,S4S5 (2006),,2001-11-19,Amy Rowley,BCCSN,,,,,,,,,reported,unobserved,,41446,MAM
Phoca vitulina richardii,"Linnaeus, 1758","Gray, 1864",Pacific harbor seal,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Phocidae,Phocidae,,Phoca,vitulina,,richardii,,native,S5 (2006),,1995-02-24,Andy Lamb,Ocean Wise,,,2015-02-12,Lauren Magner & Andrew Simon,,,,,confirmed,observed,,41708,MAM
Lontra canadensis,"(Schreber, 1777)",,North American river otter,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Caniformia,,Mustelidae,Mustelidae,,Lontra,canadensis,,,,native,S5 (2015),,2011-05-14,Kent Brothers,VMS,,,2006-09-04,Shera Street,,,,,confirmed,observed,,41777,MAM
Neogale vison,"(Schreber, 1777)",,American mink,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Caniformia,,Mustelidae,Mustelidae,,Neogale,vison,,,,native,S5 (2015),,2011-05-14,Kent Brothers,VMS,,,2017-05-28,Ayla Malcolm,,,,,confirmed,observed,,74758,MAM
Zalophus californianus,"(Lesson, 1828)",,California sea lion,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Otariidae,Otariidae,,Zalophus,californianus,,,,native,S5N (2006),,,,,,,2016-05-27,Chessi Miltner,,,,,new 2016,observed,,41740,MAM
Porichthys notatus,"Girard, 1854",,plainfin midshipman,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Batrachoidiformes,,,Batrachoididae,Porichthyinae,,Porichthys,notatus,,,,native,SNR,,1995-02-23,Andy Lamb,PMLS,,,2016-05-08,Karolle Wall,,,,,confirmed,observed,,60021,FIS
Clupea pallasii,"Valenciennes, 1847",,Pacific herring,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Clupeiformes,,,Clupeidae,Clupeinae,,Clupea,pallasii,,,,native,SNR,,1973-09-21,Andy Lamb,PMLS,,,,,,,,,reported,unobserved,,117571,FIS
Engraulis mordax,"Girard, 1854",,northern anchovy,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Clupeiformes,,,Engraulidae,Engraulinae,,Engraulis,mordax,,,,native,SNR,,2006-12-02,Charlie Gibbs,PMLS,,,,,,,,,reported,unobserved,,63770,FIS
Gadus chalcogrammus,"Pallas, 1814",,walleye pollock,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,Gadidae,,,Gadus,chalcogrammus,,,,native,SNR,,1973-09-20,Andy Lamb,PMLS,,,,,,,,,reported,unobserved,reported as Theragra chalcogramma,614161,FIS
Gadus macrocephalus,"Tilesius, 1810",,Pacific cod,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gadiformes,,,Gadidae,,,Gadus,macrocephalus,,,,native,SNR,,1994-02-26,Charlie Gibbs,PMLS,,,2009-10-03,Jackson Chu,,,,,confirmed,observed,,180029,FIS
Aulorhynchus flavidus,"Gill, 1861",,tubesnout,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gasterosteiformes,,,Aulorhynchidae,,,Aulorhynchus,flavidus,,,,native,SNR,,1994-02-27,Charlie Gibbs,PMLS,,,,,,,,,reported,unobserved,,117568,FIS
Gasterosteus aculeatus,"Linnaeus, 1758",,three-spined stickleback,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gasterosteiformes,,,Gasterosteidae,,,Gasterosteus,aculeatus,,,,native,SNR,,2000-01-01,Keith Erickson,"1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC",,,2016-06-20,Karolle Wall,,,,,confirmed,observed,,48403,FIS
Gobiesox maeandricus,"(Girard, 1858)",,northern clingfish,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Gobiesociformes,,,Gobiesocidae,Gobiesocinae,,Gobiesox,maeandricus,,,,native,SNR,,1995-02-23,Andy Lamb,PMLS,,,2018-05-18,Karolle Wall,,,,,confirmed,observed,,67409,FIS
Trachipterus altivelis,"Kner, 1859",,king-of-the-salmon,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Lampriformes,,,Trachipteridae,,,Trachipterus,altivelis,,,,accidental,SNR,,1965-08-21,A. W. Argue,CMN,CMNFI 1968-1875.1,,,,,,,,reported,unobserved,,232769,FIS
