"scientificName","records","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Platanthera dilatata var. dilatata","no","(Pursh) Lindl. ex L.C. Beck","","white bog orchid","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Asparagales","",,"Orchidaceae","Orchidoideae",,"Platanthera","Platanthera dilatata","","","dilatata","native","S5",,"1951-07-27","W. Cottle","UBC","V27330",,"2015-06-07","Judith Holm","iNaturalist","http://www.inaturalist.org/observations/4403034",,,"confirmed","observed","",78623,"VAS"
"Stellaria graminea","no","L.","","lesser stitchwort","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Caryophyllales","",,"Caryophyllaceae","Alsinoideae",,"Stellaria","Stellaria graminea","","","","exotic","SNA (2019)",,"","","","",,"2016-05-21","Judith Holm","iNaturalist","http://www.inaturalist.org/observations/4503706",,,"new 2016","observed","iNat: needs i.d.",61948,"VAS"
"Cotoneaster rehderi","no","Pojark.","","bullate cotoneaster","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Rosales","",,"Rosaceae","Amygdaloideae",,"Cotoneaster","Cotoneaster rehderi","","","","exotic","SNA (2019)",,"2008-06-23","","RBCM","V206292",,"2021-08-28","elsemikkelsen","iNaturalist","https://www.inaturalist.org/observations/105892416",,,"confirmed","observed","RBCM:  West Vancouver",160951,"VAS"
"Crepis tectorum","no","L.","","narrow-leaved hawk's-beard","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Cichorioideae",,"Crepis","Crepis tectorum","","","","exotic","SNA (2001)",,"","","","",,"2018-06-03","Judith Holm","iNaturalist","https://www.inaturalist.org/observations/13094970",,,"new 2018","observed","iNat: needs i.d.",76480,"VAS"
"Aucuba sp.","no","Thunb.","","acuba","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Garryales","",,"Garryaceae","",,"Aucuba","Aucuba ","","","","exotic","",,"","","","",,"2018-11-12","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/18362907",,,"new 2018","observed","",56207,"VAS"
"Thalictrum sp.","no","Tourn, ex L.","","meadow-rues","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Ranunculales","",,"Ranunculaceae","Thalictroideae",,"Thalictrum","Thalictrum sp.","","","","","",,"","","","",,"2019-03-28","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/21721890",,,"new 2019","observed","iNat: needs i.d.",53300,"VAS"
"Coreopsis lanceolata","no","L.","","lance-leaved coreopsis","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae",,"Coreopsis","Coreopsis lanceolata","","","","exotic","SNA (2019)",,"","","","",,"2005-06-22","Gwen L'Hirondelle","iNaturalist","https://www.inaturalist.org/observations/22207912",,,"new 2005","observed","iNat: needs i.d.",76444,"VAS"
"Cypripedium montanum","no","Douglas ex Lindl.","","mountain lady's-slipper","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Asparagales","",,"Orchidaceae","Cypripedioideae",,"Cypripedium","Cypripedium montanum","","","","native","S4S5 (2019)",,"","","","",,"2019-06-07","northvandad","iNaturalist","https://www.inaturalist.org/observations/26944078",,,"new 2019","observed","",50712,"VAS"
"Juncus filiformis","no","L.","","thread rush","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Juncaceae","",,"Juncus","Juncus filiformis","","","","native","S5 (2019)",,"1941-06-09","","RBCM","V014150",,"2019-06-22","citizen1","iNaturalist","https://www.inaturalist.org/observations/27594650",,,"confirmed","observed","",164262,"VAS"
"Nymphaea sp.","no","","","water-lily","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Nymphaeales","",,"Nymphaeaceae","",,"Nymphaea","Nymphaea ","","","","","",,"","","","",,"2019-06-30","breannawilson","iNaturalist","https://www.inaturalist.org/observations/28087443",,,"new 2019","observed","",51122,"VAS"
"Phalaris canariensis","no","L.","","canary grass","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Poaceae","",,"Phalaris","Phalaris canariensis","","","","exotic","SNA (2019)",,"","","","",,"2019-07-06","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/28317682",,,"new 2019","observed","iNat: needs i.d.",57191,"VAS"
"Eleocharis obtusa","no","(Willd.) Schult.","","blunt spikerush","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Cyperaceae","Cyperoideae",,"Eleocharis","Eleocharis obtusa","","","","native","S5 (2019)",,"","","","",,"2019-08-21","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/31272142",,,"new 2019","observed","iNat: needs i.d.",76779,"VAS"
"Picea engelmannii","no","Parry ex Engelm","","Engelmann spruce","Plantae","Tracheophyta","",,"Pinopsida","","","Pinales","",,"Pinaceae","",,"Picea","Picea engelmannii","","","","native","S5 (2019)",,"","","","",,"2019-08-24","kmfret","iNaturalist","https://www.inaturalist.org/observations/31816526",,,"new 2019","observed","iNat: i.d. needs confirmation-interesting observation-location is west of usual range",78582,"VAS"
"Digitaria sanguinalis","no","(L.) Scop.","","hairy crabgrass","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Poaceae","Panicoideae",,"Digitaria","Digitaria sanguinalis","","","","exotic","SNA (2019)",,"","","","",,"2019-09-06","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/32251482",,,"new 2019","observed","iNat: needs i.d.",51633,"VAS"
"Carex scirpoidea","no","Michaux","","canadian single-spike sedge","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Cyperaceae","Cyperoideae",,"Carex","Carex scirpoidea","","","","native","S4 (2000)",,"","","","",,"2013-09-08","Judith Holm","iNaturalist","https://www.inaturalist.org/observations/32725312",,,"new 2013","observed","iNat: needs i.d.",234898,"VAS"
"Setaria pumila","no","(Poir.) Roem. & Shult.","","yellow foxtail","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Poaceae","Panicoideae",,"Setaria","Setaria pumila","","","","exotic","SNA (2019)",,"","","","",,"2019-09-21","Ben Keen","iNaturalist","https://www.inaturalist.org/observations/33163939",,,"new 2019","observed","iNat: needs i.d.",48688,"VAS"
