"","occurrenceID","scientificName","catalogNumber","recordedBy","eventDate","country","stateProvince","locality"
"1","3DBF712C-14EA-4ED3-BD93-04D89DAEE1BF","Cotoneaster sternianus","363837","Peter F. Zika","2006-06-14","Canada","British Columbia","Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay."
"2","9E577C3E-75E7-4F06-AF16-2CCB097B004C","Daphne laureola","365029","Peter F. Zika","2006-06-14","Canada","British Columbia","Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay."
"3","26E5AF7E-2B87-40F7-8FB7-3C173545D894","Cotoneaster salicifolius","365552","Peter F. Zika","2006-06-14","Canada","British Columbia","Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay."
"4","710E6871-0A65-4AC9-8E2E-75F9CA89E298","Cotoneaster horizontalis","365553","Peter F. Zika","2006-06-14","Canada","British Columbia","Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay."
"5","EEA0CBD7-805B-4ADB-AFC0-759F88C0A9F6","Cotoneaster lacteus","365905","Peter F. Zika","2006-06-14","Canada","British Columbia","Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay."
"6","09A03D62-687B-4E70-B162-7D2B06982DBB","Cotoneaster franchetii","365904","Peter F. Zika","2006-06-14","Canada","British Columbia","Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay."
"7","B81FA087-D2AE-47CF-8397-63D29F1D0C03","Cotoneaster franchetii","368605","P. F. Zika, Frank Lomer","2007-11-13","Canada","British Columbia","Near Exit 5 on Route 1, near junction of Westport Road and Northwood Drive, above the north shore of English Bay."
"8","131EE581-2AB2-4364-B17D-5B3E4A074342","Cotoneaster salicifolius","368662","P. F. Zika, Frank Lomer","2007-11-13","Canada","British Columbia","Near Exit 5 on Route 1, near junction of Westport Road and Northwood Drive, above the north shore of English Bay."
"9","EBD490E1-4362-439B-9EB9-3981FE242786","Cotoneaster sternianus","368663","P. F. Zika, Frank Lomer","2007-11-13","Canada","British Columbia","Near Exit 5 on Route 1, near junction of Westport Road and Northwood Drive, above the north shore of English Bay."
"10","738DF0F0-5A93-4D19-8ADC-0DCEE8EE5615","Cotoneaster horizontalis","368805","P. F. Zika, Frank Lomer","2007-11-13","Canada","British Columbia","Near Exit 5 on Route 1, near junction of Westport Road and Northwood Drive, above the north shore of English Bay."
"11","53E7EAB4-9FA0-48C4-94B2-FB6AD9D95389","Ilex aquifolium","368799","Peter F. Zika, Frank Lomer","2007-11-13","Canada","British Columbia","Above Marine Drive, near Clovelly Road, above the north shore of English Bay."
"12","32E75542-2446-4F8A-A2D1-D7E322448A47","Berberis darwinii","368798","P. F. Zika, Frank Lomer","2007-11-13","Canada","British Columbia","Near Exit 5 on Route 1, near junction of Westport Road and Northwood Drive, above the north shore of English Bay."
