"report_group","classification_rank","classification_value","friendly_name","display_label"
"AMPHIBIANS","order","Anura","frogs and toads","frogs and toads (Anura)"
"AMPHIBIANS","order","Caudata","salamanders","salamanders (Caudata)"
"BIRDS","family","Accipitridae","hawks, eagles, and kites","hawks, eagles, and kites (Accipitridae)"
"BIRDS","family","Aegithalidae","long-tailed tits","long-tailed tits (Aegithalidae)"
"BIRDS","family","Alaudidae","larks","larks (Alaudidae)"
"BIRDS","family","Alcedinidae","kingfishers","kingfishers (Alcedinidae)"
"BIRDS","family","Alcidae","auks","auks (Alcidae)"
"BIRDS","family","Anatidae","ducks, geese, and swans","ducks, geese, and swans (Anatidae)"
"BIRDS","family","Apodidae","swifts","swifts (Apodidae)"
"BIRDS","family","Ardeidae","herons, egrets, and bitterns","herons, egrets, and bitterns (Ardeidae)"
"BIRDS","family","Bombycillidae","waxwings","waxwings (Bombycillidae)"
"BIRDS","family","Calcariidae","longspurs and snow buntings","longspurs and snow buntings (Calcariidae)"
"BIRDS","family","Caprimulgidae","nightjars","nightjars (Caprimulgidae)"
"BIRDS","family","Cardinalidae","cardinals, grosbeaks, and buntings","cardinals, grosbeaks, and buntings (Cardinalidae)"
"BIRDS","family","Cathartidae","New World vultures","New World vultures (Cathartidae)"
"BIRDS","family","Certhiidae","treecreepers","treecreepers (Certhiidae)"
"BIRDS","family","Charadriidae","plovers","plovers (Charadriidae)"
"BIRDS","family","Cinclidae","dippers","dippers (Cinclidae)"
"BIRDS","family","Columbidae","pigeons and doves","pigeons and doves (Columbidae)"
"BIRDS","family","Corvidae","crows, jays, and magpies","crows, jays, and magpies (Corvidae)"
"BIRDS","family","Cuculidae","cuckoos","cuckoos (Cuculidae)"
"BIRDS","family","Falconidae","falcons and caracaras","falcons and caracaras (Falconidae)"
"BIRDS","family","Fringillidae","finches","finches (Fringillidae)"
"BIRDS","family","Gaviidae","loons","loons (Gaviidae)"
"BIRDS","family","Gruidae","cranes","cranes (Gruidae)"
"BIRDS","family","Haematopodidae","oystercatchers","oystercatchers (Haematopodidae)"
"BIRDS","family","Hirundinidae","swallows and martins","swallows and martins (Hirundinidae)"
"BIRDS","family","Hydrobatidae","storm-petrels","storm-petrels (Hydrobatidae)"
"BIRDS","family","Icteridae","blackbirds and orioles","blackbirds and orioles (Icteridae)"
"BIRDS","family","Icteriidae","yellow-breasted chats","yellow-breasted chats (Icteriidae)"
"BIRDS","family","Laniidae","shrikes","shrikes (Laniidae)"
