"scientificName","records","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Platanthera dilatata var. dilatata","no","(Pursh) Lindl. ex L.C. Beck","","white bog orchid","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Asparagales","",,"Orchidaceae","Orchidoideae","","Platanthera","Platanthera dilatata","","","dilatata","native","S5",,"1951-07-27","W. Cottle","UBC","V27330",,"2015-06-07","Judith Holm","iNaturalist","http://www.inaturalist.org/observations/4403034",,,"confirmed","observed","",78623,"VAS"
"Carex micropoda","no","Wahlenb.","","Pyrenean sedge","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Cyperaceae","Cyperoideae","","Carex","Carex micropoda","","","","native","S5 (2015)",,"1965-07-22","B. Fraser","UBC","V161040",,"","","","",,,"reported","unobserved","UBC:  herbarium record C. pyrenaica",520225,"VAS"
"Juncus conglomeratus","no","L.","","compact rush","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Juncaceae","","","Juncus","Juncus conglomeratus","","","","exotic","SNA (2000)",,"2007-11-13","Peter F. Zika","CIC","CIC: 41809",,"","","","",,,"reported","unobserved","College of Idaho:  Near Exit 5 on route 1, near junction of Westport Road and Northwood Drive, above the N shore of English Bay Elev. 175 m.",204335,"VAS"
"Luzula campestris","no","(L.) DC.","","field woodrush","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Juncaceae","","","Luzula","Luzula campestris","","","","exotic","SNA (2001)",,"1973-08-01","Charles E. Beil","UBC","V176060",,"","","","",,,"reported","unobserved","UBC:  Bowen Island",55795,"VAS"
"Agrostis thurberiana","no","Hitchc.","","Thurber's bentgrass","Plantae","Tracheophyta","Angiospermae",,"Liliopsida","","","Poales","",,"Poaceae","Pooidiae","","Agrostis","Agrostis thurberiana","","","","native","",,"1960-08-22","E.B. Peterson","UBC","V206759",,"","","","",,,"reported","unobserved","UBC: Podagrostis thurberiana",158141,"VAS"
"Torilis japonica","no","(Houtt.) DC.","","upright hedge-parsley","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Apiales","",,"Apiaceae","Apioideae","Scandiceae","Torilis","Torilis japonica","","","","exotic","SNA (2019)",,"","","","",,"","","","",,,"","","Both Torilis arvensis and Torilis japonica possible; confirm",133918,"VAS"
"Antennaria parvifolia","no","Nutt.","","small-leaf pussytoes","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae","","Antennaria","Antennaria parvifolia","","","","native","S5 (2015)",,"1955-06-16","V. J. Krajina","UBC","V80232",,"","","","",,,"reported","unobserved","",158414,"VAS"
"Antennaria rosea ssp. pulvinata","no","Greene","(Greene) R.J.Bayer","pulvinate pussytoes","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae","","Antennaria","Antennaria rosea","","pulvinata","","native","S4S5 (2016)",,"1938-08-12","John W. Eastham","UBC","V125197",,"","","","",,,"reported","unobserved","",444567,"VAS"
"Anthemis cotula","no","L.","","stinking chamomile","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Asteroideae","","Anthemis","Anthemis cotula","","","","exotic","SNA (2001)",,"1911-07-02","John Davidson","UBC","V44823",,"","","","",,,"reported","unobserved","",52841,"VAS"
"Crepis tectorum","no","L.","","narrow-leaved hawk's-beard","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida","","","Asterales","",,"Asteraceae","Cichorioideae","","Crepis","Crepis tectorum","","","","exotic","SNA (2001)",,"","","","",,"2018-06-03","Judith Holm","iNaturalist","https://www.inaturalist.org/observations/13094970",,,"new 2018","observed","iNat: needs i.d.",76480,"VAS"
