"","scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","hybrid","subspecies","variety","form","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences"
"1","×elyhordeum stebbinsianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","BABY","BABY","BABY-11514",NA,"BABY-11514-11239","Frank Lomer; Judith Holm","11239",NA,"2018-07-14",2018,7,14,"PRESERVED_SPECIMEN","Squamish River estuary, 1.8 km north of river mouth at end of Spit Road, 50 m east of Spit Road",NA,NA,"British Columbia","Canada","CA",49.702083,-123.175972,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"2","×elyhordeum stebbinsianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","ca.ubc","UBCVascular","V253319",NA,"E62FD1F3-62A0-B649-8382-B5D48C180540","Frank Lomer, Judith Holm","11239",NA,"2018-07-14",2018,7,14,"PRESERVED_SPECIMEN","Squamish River estuary, 1.8 km north of river mouth at end of Spit Road, 50 m east of Spit Road",NA,NA,"British Columbia","Canada","CA",49.7021109990697,-123.175972,5,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"3","×elyhordeum stebbinsianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","","","BABY-11514",NA,"http://bins.boldsystems.org/index.php/Public_RecordView?processid=BBYUK3195-20","Frank Lomer; Judith Holm","",NA,"2018-07-14",2018,7,14,"MATERIAL_SAMPLE","Squamish River estuary, 1.8 km north of river mouth at end of Spit Road, 50 m east of Spit Road",NA,NA,"British Columbia","Canada","CA",49.702,-123.176,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Frank Lomer",NA,NA,NA,NA,NA
"4","Acer campestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","97603328",NA,"https://www.inaturalist.org/observations/97603328","Ben Keen","",NA,"2021-10-08",2021,10,8,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.373822,-123.346797,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Ben Keen",NA,NA,NA,NA,NA
"5","Agoseris aurantiaca var. aurantiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aurantiaca","VARIETY","ca.ubc","UBCVascular","V44810",NA,"6AE3A8E7-BB2E-8A4C-8803-3E4D31CC08B3","John Davidson","s.n.",NA,"1912-08-10",1912,8,10,"PRESERVED_SPECIMEN","Garibaldi Camp, (? Black Tusk Meadows)",NA,NA,"British Columbia","Canada","CA",49.9497107083849,-123.067680124609,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Jamie D. Fenneman",NA,NA,NA,NA,NA
"6","Agrostis canina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","DES","","DES00025811",NA,"09444826-1058-4627-aa8c-1ba930d05abf","M. Barkworth","516",NA,"1972-07-19",1972,7,19,"PRESERVED_SPECIMEN","8 mi north of Horseshoe Bay on the northeast side of Hwy 99.",NA,NA,"British Columbia","Canada","CA",49.502624,-123.244381,1000,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"7","Alchemilla australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","121676084",NA,"https://www.inaturalist.org/observations/121676084","Cole Gaerber","",NA,"2022-06-12",2022,6,12,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.331699,-123.263668,15,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Cole Gaerber",NA,NA,NA,NA,NA
"8","Allium cernuum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","CPNWH","","2475755",NA,"da540806-4eaa-437d-ada9-5a50e5feaab3","J. A. Bury[?]","V150149",NA,"1899-07-01",1899,7,NA,"OCCURRENCE","",NA,NA,"British Columbia","Canada","CA",49.383333,-123.366667,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
"9","Alnus alnobetula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","SPECIES","iNaturalist","Observations","1921283",NA,"http://www.inaturalist.org/observations/1921283","Riley Pollom","",NA,"2015-09-05",2015,9,5,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",49.67584,-123.152084,31,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"Alex Wright",NA,NA,NA,NA,NA
"10","Alnus alnobetula ssp. fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fruticosa","SUBSPECIES","ca.ubc","UBCVascular","V64039",NA,"E56D2BB5-D50A-5742-A1AA-5E1A060AEB33","John Davidson","s.n.",NA,"1914-08-09",1914,8,9,"PRESERVED_SPECIMEN","Coast area, Stoney Creek (1967: Stoney Creek is now known as Rubble Creek and drains Garibaldi Lake)",NA,NA,"British Columbia","Canada","CA",49.936943999071,-123.025556,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",NA,NA,NA,NA,NA,NA,NA,"John J. Furlow",NA,NA,NA,NA,NA
