name,node_class,taxon_status,taxon_year,color,size,label
A. W. Argue,historical,NA,NA,#CC79A7,2,A. W. Argue
Alexander Agassiz,historical,NA,NA,#CC79A7,2.0027624309392267,Alexander Agassiz
Amy Rowley,historical,NA,NA,#CC79A7,2.0193370165745854,Amy Rowley
Andy Lamb,historical,NA,NA,#CC79A7,3,Andy Lamb
Andy Lamb & Donna Gibbs,historical,NA,NA,#CC79A7,2,Andy Lamb & Donna Gibbs
BC Hydro - submerged cable,historical,NA,NA,#CC79A7,2,BC Hydro - submerged cable
C. E. Kasserra,historical,NA,NA,#CC79A7,2.0082872928176796,C. E. Kasserra
Charles Newcombe,historical,NA,NA,#CC79A7,2,Charles Newcombe
Charlie Gibbs,historical,NA,NA,#CC79A7,2.1712707182320443,Charlie Gibbs
Claudia E. Kasserra,historical,NA,NA,#CC79A7,2,Claudia E. Kasserra
Dan B. Quayle,historical,NA,NA,#CC79A7,2,Dan B. Quayle
Dan Quayle,historical,NA,NA,#CC79A7,2.044198895027624,Dan Quayle
Daniel Kent,historical,NA,NA,#CC79A7,2,Daniel Kent
Donald E. McAllister & M. O. Yesaki,historical,NA,NA,#CC79A7,2.0027624309392267,Donald E. McAllister & M. O. Yesaki
Donald E. McAllister & M.O Yesaki,historical,NA,NA,#CC79A7,2,Donald E. McAllister & M.O Yesaki
Donna Gibbs,historical,NA,NA,#CC79A7,2.0027624309392267,Donna Gibbs
"Fisheries Research Board of Canada, Nanaimo",historical,NA,NA,#CC79A7,2,"Fisheries Research Board of Canada, Nanaimo"
Ian McTaggart-Cowan,historical,NA,NA,#CC79A7,2.085635359116022,Ian McTaggart-Cowan
J. M. Ellis,historical,NA,NA,#CC79A7,2.0027624309392267,J. M. Ellis
Jackson W.F. Chu,historical,NA,NA,#CC79A7,2.091160220994475,Jackson W.F. Chu
Joesphine F.L. Hart,historical,NA,NA,#CC79A7,2,Joesphine F.L. Hart
John Fleury,historical,NA,NA,#CC79A7,2,John Fleury
K.D. Genereux,historical,NA,NA,#CC79A7,2.0138121546961325,K.D. Genereux
Karin Fletcher,historical,NA,NA,#CC79A7,2.0580110497237567,Karin Fletcher
Keith Erickson,historical,NA,NA,#CC79A7,2.005524861878453,Keith Erickson
Kent Brothers,historical,NA,NA,#CC79A7,2.0027624309392267,Kent Brothers
Philip Lambert,historical,NA,NA,#CC79A7,2.027624309392265,Philip Lambert
Randy Baker,historical,NA,NA,#CC79A7,2.0027624309392267,Randy Baker
Rita M. O'Clair,historical,NA,NA,#CC79A7,2.016574585635359,Rita M. O'Clair
Robert Forsyth & Tammy Forsyth,historical,NA,NA,#CC79A7,2.0027624309392267,Robert Forsyth & Tammy Forsyth
Sandra Millen-Crane,historical,NA,NA,#CC79A7,2,Sandra Millen-Crane
T. Kessler,historical,NA,NA,#CC79A7,2.005524861878453,T. Kessler
W. Barraclough,historical,NA,NA,#CC79A7,2.005524861878453,W. Barraclough
W. Clemens,historical,NA,NA,#CC79A7,2,W. Clemens
Adam Huggins,contemporary,NA,NA,#E69F00,2.0027624309392267,Adam Huggins
Alex Niese,contemporary,NA,NA,#E69F00,2,Alex Niese
Andrew Simon,contemporary,NA,NA,#E69F00,2.1464088397790055,Andrew Simon
Ayla Malcolm,contemporary,NA,NA,#E69F00,2,Ayla Malcolm
Bridget Spencer,contemporary,NA,NA,#E69F00,2,Bridget Spencer
Catiemac,contemporary,NA,NA,#E69F00,2,Catiemac
Chessi Miltner,contemporary,NA,NA,#E69F00,2.005524861878453,Chessi Miltner
Christian Adler,contemporary,NA,NA,#E69F00,2,Christian Adler
Christina Robinson,contemporary,NA,NA,#E69F00,2,Christina Robinson
Daniella LoScerbo,contemporary,NA,NA,#E69F00,2,Daniella LoScerbo
Darcy Kehler,contemporary,NA,NA,#E69F00,2,Darcy Kehler
"Dave ""Zeuss"" Cochrane",contemporary,NA,NA,#E69F00,2.116022099447514,"Dave ""Zeuss"" Cochrane"
Dave Metzger,contemporary,NA,NA,#E69F00,2.0027624309392267,Dave Metzger
David Metzger,contemporary,NA,NA,#E69F00,2,David Metzger
Elsa Hunter,contemporary,NA,NA,#E69F00,2,Elsa Hunter
Emily Adamczyk,contemporary,NA,NA,#E69F00,2.0082872928176796,Emily Adamczyk
Ian Guthrie,contemporary,NA,NA,#E69F00,2.0027624309392267,Ian Guthrie
Isabelle M. Côté,contemporary,NA,NA,#E69F00,2.0331491712707184,Isabelle M. Côté
Jennifer Grant,contemporary,NA,NA,#E69F00,2.0027624309392267,Jennifer Grant
Joan Septembre,contemporary,NA,NA,#E69F00,2,Joan Septembre
John D Reynolds,contemporary,NA,NA,#E69F00,2.0027624309392267,John D Reynolds
KGW,contemporary,NA,NA,#E69F00,2,KGW
Karen Steve Smith,contemporary,NA,NA,#E69F00,2.0027624309392267,Karen Steve Smith
Karolle Wall,contemporary,NA,NA,#E69F00,2.2403314917127073,Karolle Wall
Kathleen Buckley,contemporary,NA,NA,#E69F00,2,Kathleen Buckley
Kendall McLaughlin,contemporary,NA,NA,#E69F00,2.0027624309392267,Kendall McLaughlin
Kiara Ganon,contemporary,NA,NA,#E69F00,2,Kiara Ganon
Kris Krüg,contemporary,NA,NA,#E69F00,2.005524861878453,Kris Krüg
Kristian Sigvardsen,contemporary,NA,NA,#E69F00,2.005524861878453,Kristian Sigvardsen
Larry Taylor,contemporary,NA,NA,#E69F00,2,Larry Taylor
Lauren Magner,contemporary,NA,NA,#E69F00,2.005524861878453,Lauren Magner
Lena Dietz Chiasson,contemporary,NA,NA,#E69F00,2,Lena Dietz Chiasson
Liam Ragan,contemporary,NA,NA,#E69F00,2.005524861878453,Liam Ragan
Lillian Rose Crossman,contemporary,NA,NA,#E69F00,2,Lillian Rose Crossman
Nancy Woodham,contemporary,NA,NA,#E69F00,2,Nancy Woodham
Natalie Kennedy,contemporary,NA,NA,#E69F00,2,Natalie Kennedy
Natassa Uehara,contemporary,NA,NA,#E69F00,2,Natassa Uehara
Neil McDaniel,contemporary,NA,NA,#E69F00,2.027624309392265,Neil McDaniel
Norah Brown,contemporary,NA,NA,#E69F00,2.0082872928176796,Norah Brown
Paz Touchburn,contemporary,NA,NA,#E69F00,2,Paz Touchburn
Penelope Bridge,contemporary,NA,NA,#E69F00,2,Penelope Bridge
Peter Luckham,contemporary,NA,NA,#E69F00,2.116022099447514,Peter Luckham
Quinn Galbraith-Robertson,contemporary,NA,NA,#E69F00,2,Quinn Galbraith-Robertson
Rebecca Reader-Lee,contemporary,NA,NA,#E69F00,2,Rebecca Reader-Lee
Scott Gilmore,contemporary,NA,NA,#E69F00,2.0027624309392267,Scott Gilmore
Shayne Poleyko,contemporary,NA,NA,#E69F00,2,Shayne Poleyko
Shera Street,contemporary,NA,NA,#E69F00,2.005524861878453,Shera Street
Sofia Silverman,contemporary,NA,NA,#E69F00,2,Sofia Silverman
Steve Ansell,contemporary,NA,NA,#E69F00,2,Steve Ansell
Tom Appleby,contemporary,NA,NA,#E69F00,2,Tom Appleby
Tyrel Froese,contemporary,NA,NA,#E69F00,2.0110497237569063,Tyrel Froese
Tyson Ehlers,contemporary,NA,NA,#E69F00,2.0027624309392267,Tyson Ehlers
alyanalalani,contemporary,NA,NA,#E69F00,2,alyanalalani
awworld,contemporary,NA,NA,#E69F00,2,awworld
catiemac,contemporary,NA,NA,#E69F00,2.0027624309392267,catiemac
jroderick,contemporary,NA,NA,#E69F00,2,jroderick
linddealy,contemporary,NA,NA,#E69F00,2,linddealy
pacificwhitesideddolphin,contemporary,NA,NA,#E69F00,2,pacificwhitesideddolphin
ridingbio,contemporary,NA,NA,#E69F00,2,ridingbio
smrhaddon,contemporary,NA,NA,#E69F00,2,smrhaddon
Trachipterus altivelis,taxon,reported,NA,gray60,1,NA
Aglantha digitale,taxon,reported,NA,gray60,1,NA
Diadumene lineata,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Aethalodelphis obliquidens,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Balaenoptera acutorostrata,taxon,reported,NA,gray60,1,NA
Balaenoptera physalus,taxon,reported,NA,gray60,1,NA
Eschrichtius robustus,taxon,reported,NA,gray60,1,NA
Megaptera novaeangliae kuzira,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Orcinus orca,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Phocoena phocoena vomerina,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Phocoenoides dalli,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Acanthodoris atrogriseata,taxon,reported,NA,gray60,1,NA
Acanthodoris hudsoni,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Acanthodoris nanaimoensis,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Acantholithodes hispidus,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Acarnus erithacus,taxon,reported,NA,gray60,1,NA
Acmaea mitra,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Adocia sp.,taxon,reported,NA,gray60,1,NA
Aeolidia papillosa,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Aequorea victoria s.lat.,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Aglaophenia sp.,taxon,reported,NA,gray60,1,NA
Alcyonium sp.,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
Aldisa albomarginata,taxon,reported,NA,gray60,1,NA
Aldisa cooperi,taxon,confirmed,NA,#009E73,1.0022099447513813,NA
