"","Taxon","Reporting_Status","Count"
"1","Bacteria","Reported",0
"2","Bacteria","Confirmed",0
"3","Bacteria","New",5
"4","Protozoa","Reported",4
"5","Protozoa","Confirmed",3
"6","Protozoa","New",17
"7","Fungi","Reported",231
"8","Fungi","Confirmed",171
"9","Fungi","New",103
"10","Lichens","Reported",57
"11","Lichens","Confirmed",113
"12","Lichens","New",111
"13","Algae","Reported",33
"14","Algae","Confirmed",23
"15","Algae","New",259
"16","Bryophytes","Reported",21
"17","Bryophytes","Confirmed",110
"18","Bryophytes","New",59
"19","Vascular plants","Reported",107
"20","Vascular plants","Confirmed",500
"21","Vascular plants","New",195
"22","Sponges","Reported",29
"23","Sponges","Confirmed",10
"24","Sponges","New",1
"25","Cnidarians and Ctenophores","Reported",37
"26","Cnidarians and Ctenophores","Confirmed",37
"27","Cnidarians and Ctenophores","New",7
"28","Worms","Reported",31
"29","Worms","Confirmed",22
"30","Worms","New",9
"31","Molluscs","Reported",92
"32","Molluscs","Confirmed",86
"33","Molluscs","New",63
"34","Arthropods","Reported",410
"35","Arthropods","Confirmed",229
"36","Arthropods","New",858
"37","Lophophores","Reported",10
"38","Lophophores","Confirmed",8
"39","Lophophores","New",2
"40","Echinoderms","Reported",15
"41","Echinoderms","Confirmed",25
"42","Echinoderms","New",2
"43","Tunicates","Reported",19
"44","Tunicates","Confirmed",12
"45","Tunicates","New",1
"46","Fish","Reported",21
"47","Fish","Confirmed",56
"48","Fish","New",11
"49","Herptiles","Reported",1
"50","Herptiles","Confirmed",5
"51","Herptiles","New",6
"52","Birds","Reported",40
"53","Birds","Confirmed",142
"54","Birds","New",8
"55","Mammals","Reported",5
"56","Mammals","Confirmed",14
"57","Mammals","New",22
