scientificName,variety,subspecies,genus,species,genus_species
Stigonema sp.,NA,NA,Stigonema,NA,NA
Astur atricapillus,NA,NA,NA,NA,NA
Larus glaucescens × occidentalis,NA,NA,NA,NA,NA
Leuconotopicus villosus,NA,NA,Leuconotopicus,villosus,Leuconotopicus villosus
Circus cyaneus,NA,NA,Circus,cyaneus,Circus cyaneus
Larus canus,NA,NA,Larus,canus,Larus canus
Larus smithsonianus,NA,NA,Larus,smithsonianus,Larus smithsonianus
Melanitta fusca,NA,NA,Melanitta,fusca,Melanitta fusca
Setophaga aestiva,NA,NA,Setophaga,aestiva,Setophaga aestiva
Tyto alba,NA,NA,Tyto,alba,Tyto alba
Chlamydomonas nivalis,NA,NA,Chlamydomonas,nivalis,Chlamydomonas nivalis
Aleurodiscus penicillatus,NA,NA,Aleurodiscus,penicillatus,Aleurodiscus penicillatus
Amanita junquillea,NA,NA,Amanita,junquillea,Amanita junquillea
Amanita muscaria flavivolvata,NA,Amanita muscaria flavivolvata,Amanita,muscaria,Amanita muscaria
Anthracoidea caricis,NA,NA,Anthracoidea,caricis,Anthracoidea caricis
Bertia moriformis,NA,NA,Bertia,moriformis,Bertia moriformis
Calvatia booniana,NA,NA,Calvatia,booniana,Calvatia booniana
Calyptospora columnaris,NA,NA,Calyptospora,columnaris,Calyptospora columnaris
Cirrenalia macrocephala,NA,NA,Cirrenalia,macrocephala,Cirrenalia macrocephala
Costantinella micheneri,NA,NA,Costantinella,micheneri,Costantinella micheneri
Cronartium coleosporioides,NA,NA,Cronartium,coleosporioides,Cronartium coleosporioides
Cronartium harknessii,NA,NA,Cronartium,harknessii,Cronartium harknessii
Cronartium ribicola,NA,NA,Cronartium,ribicola,Cronartium ribicola
Curreya pithyophila,NA,NA,Curreya,pithyophila,Curreya pithyophila
Cystodermella cinnabarina,NA,NA,Cystodermella,cinnabarina,Cystodermella cinnabarina
Dictyosporium pelagicum,NA,NA,Dictyosporium,pelagicum,Dictyosporium pelagicum
Exidiopsis effusa,NA,NA,Exidiopsis,effusa,Exidiopsis effusa
Exobasidium cassiopes,NA,NA,Exobasidium,cassiopes,Exobasidium cassiopes
Haligena elaterophora,NA,NA,Haligena,elaterophora,Haligena elaterophora
Heimiomyces tenuipes,NA,NA,Heimiomyces,tenuipes,Heimiomyces tenuipes
Humicola alopallonella,NA,NA,Humicola,alopallonella,Humicola alopallonella
Hypomyces cervinigenus,NA,NA,Hypomyces,cervinigenus,Hypomyces cervinigenus
Kuehneromyces lignicola,NA,NA,Kuehneromyces,lignicola,Kuehneromyces lignicola
Lactarius turpis,NA,NA,Lactarius,turpis,Lactarius turpis
Leptoporus mollis,NA,NA,Leptoporus,mollis,Leptoporus mollis
Leucocybe candicans,NA,NA,Leucocybe,candicans,Leucocybe candicans
Lignincola laevis,NA,NA,Lignincola,laevis,Lignincola laevis
Lycoperdon nigrescens,NA,NA,Lycoperdon,nigrescens,Lycoperdon nigrescens
Lycoperdon umbrinum,NA,NA,Lycoperdon,umbrinum,Lycoperdon umbrinum
Marasmius calhouniae,NA,NA,Marasmius,calhouniae,Marasmius calhouniae
Melampsoridium hiratsukanum,NA,NA,Melampsoridium,hiratsukanum,Melampsoridium hiratsukanum
Mycena oregonensis,NA,NA,Mycena,oregonensis,Mycena oregonensis
Naohidemyces vacciniorum,NA,NA,Naohidemyces,vacciniorum,Naohidemyces vacciniorum
Ophiobolus acuminatus,NA,NA,Ophiobolus,acuminatus,Ophiobolus acuminatus
Orbilia sp.,NA,NA,Orbilia,NA,NA
Panus lecomtei,NA,NA,Panus,lecomtei,Panus lecomtei
Paxillus cuprinus,NA,NA,Paxillus,cuprinus,Paxillus cuprinus
Phlebia ludoviciana,NA,NA,Phlebia,ludoviciana,Phlebia ludoviciana
Phlegmacium pansa,NA,NA,Phlegmacium,pansa,Phlegmacium pansa
Phragmidium montivagum,NA,NA,Phragmidium,montivagum,Phragmidium montivagum
Phyllachora graminis,NA,NA,Phyllachora,graminis,Phyllachora graminis
Polyozellus multiplex,NA,NA,Polyozellus,multiplex,Polyozellus multiplex
Polyporoletus sublividus,NA,NA,Polyporoletus,sublividus,Polyporoletus sublividus
Psathyrella lutensis,NA,NA,Psathyrella,lutensis,Psathyrella lutensis
Puccinia porphyrogenita,NA,NA,Puccinia,porphyrogenita,Puccinia porphyrogenita
Ramaria gelatinosa,NA,NA,Ramaria,gelatinosa,Ramaria gelatinosa
Remispora maritima,NA,NA,Remispora,maritima,Remispora maritima
Remispora stellata,NA,NA,Remispora,stellata,Remispora stellata
Rossmanomyces pyrolae,NA,NA,Rossmanomyces,pyrolae,Rossmanomyces pyrolae
Scytinostroma ochroleucum,NA,NA,Scytinostroma,ochroleucum,Scytinostroma ochroleucum
Sirotrema pusilla,NA,NA,NA,NA,NA
Sparassis crispa,NA,NA,Sparassis,crispa,Sparassis crispa
Spinellus fusiger,NA,NA,Spinellus,fusiger,Spinellus fusiger
Sporormiella australis,NA,NA,Sporormiella,australis,Sporormiella australis
Stictis radiata,NA,NA,Stictis,radiata,Stictis radiata
Stilbum vulgare,NA,NA,Stilbum,vulgare,Stilbum vulgare
Trametes cinnabarina,NA,NA,Trametes,cinnabarina,Trametes cinnabarina
Trichaptum biforme,NA,NA,Trichaptum,biforme,Trichaptum biforme
Tricholoma focale,NA,NA,Tricholoma,focale,Tricholoma focale
Zalerion maritima,NA,NA,Zalerion,maritima,Zalerion maritima
Nerodia sipedon,NA,NA,Nerodia,sipedon,Nerodia sipedon
