"Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code","Taxon.rank","Original.Taxon","manual_rule","manual_note","synonym_target","synonym_parse_failed","baseline_First_Observed","genus_in_baseline","family_in_baseline","resolution_level","novelty_flag","date_flag","review_group","Curator.Decision","Curator.Notes","auto_exclusion_note"
"Accipiter gentilis","Linnaeus, 1758","","northern goshawk","Animalia","Chordata","Vertebrata","","Aves","","","Accipitriformes","","","Accipitridae","","","Accipiter","gentilis","","","","native","S4B,S4N (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Accipiter striatus","Vieillot, 1808","","sharp-shinned hawk","Animalia","Chordata","Vertebrata","","Aves","","","Accipitriformes","","","Accipitridae","","","Accipiter","striatus","","","","native","S5B,S5N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2016-04-12","Sarah Tweedale","iNat:2929563","","5097","BIR","","","","","","","","","","","","","","","",""
"Actitis macularius","(Linnaeus, 1766)","","spotted sandpiper","Animalia","Chordata","Vertebrata","","Aves","","","Charadriiformes","","","Scolopacidae","","","Actitis","macularius","","","","native","S5B (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2017-05-19","Andrew Simon","iNat:6425128","","72458","BIR","","","","","","","","","","","","","","","",""
"Aechmophorus occidentalis","(Lawrence, 1858)","","western grebe","Animalia","Chordata","Vertebrata","","Aves","","","Podicipediformes","","","Podicipedidae","","","Aechmophorus","occidentalis","","","","native","S1B,S2N (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Aegolius acadicus","(Gmelin, 1788)","","northern saw-whet owl","Animalia","Chordata","Vertebrata","","Aves","","","Strigiformes","","","Strigidae","","","Aegolius","acadicus","","","","native","S5B,S5N (2009)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2020-02-03","Tanya Inglis","iNat:38263361","","20356","BIR","","","","","","","","","","","","","","","",""
"Agelaius phoeniceus","(Linnaeus, 1766)","","red-winged blackbird","Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","Icteridae","","","Agelaius","phoeniceus","","","","native","S5B,S5N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2010-02-20","Michael Hoebel","iNat:4046914","","9744","BIR","","","","","","","","","","","","","","","",""
"Aix sponsa","(Linnaeus, 1758)","","wood duck","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Aix","sponsa","","","","native","S4B,S4N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2018-06-03","cmac79’","iNat:13198092","","7107","BIR","","","","","","","","","","","","","","","",""
"Anas acuta","Linnaeus, 1758","","northern pintail","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Anas","acuta","","","","native","S4B,S5N (2015)","","reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","","","","","","","","BIR","","","","","","","","","","","","","","","",""
"Anas carolinensis","Gmelin, 1789","","green-winged teal","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Anas","carolinensis","","","","native","S5B,S5N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2019-12-29","Andrew Simon","iNat:37084654","","","BIR","","","","","","","","","","","","","","","",""
"Anas crecca","Linnaeus, 1758","","Eurasian green-winged teal","Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","Anatidae","","","Anas","crecca","","","","native","S5B,S5N (2015)","","confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","","","2019-12-27","Andrew Simon","iNat:37084654","rare winter species","6937","BIR","","","","","","","","","","","","","","","",""
