"","Taxon","Taxon Author","Subtaxon Author","Common Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial Status","National Status","Reporting Status","Observation","Collected/Reported (y-m-d)","Collector/Source","Collection/List","Accession Number","GBIF ID","First Observed","Observer","iNaturalist Link","Notes","ID","Stats Code"
"11","Arachnoidiscus schmidtii","Hajós","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Arachnoidiscales","","","Arachnoidiscaceae","","","Arachnoidiscus","schmidtii","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-01-31","Mark Webber","https://www.inaturalist.org/observations/4874715","","521732","ALG"
"12","Asterionellopsis glacialis","(Castracane) Round","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Fragilariophycidae","","Fragilariales","","","Fragilariaceae","","","Asterionellopsis","glacialis","","","","unlisted","unlisted","","new 2004","observed","","","","","","2004-07-25","Mark Webber","https://www.inaturalist.org/observations/4848898","","428503","ALG"
"13","Asteromphalus heptactis","(Brébisson) Ralfs","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Asterolamprales","","","Asterolampraceae","","","Asteromphalus","heptactis","","","","unlisted","unlisted","","new 2007","observed","","","","","","2007-07-13","Mark Webber","https://www.inaturalist.org/observations/4874751","","521735","ALG"
"14","Attheya longicornis","(Gardner & Crawford)","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Attheyaceae","","","Attheya","longicornis","","","","unlisted","unlisted","","new 2009","observed","","","","","","2009-07-12","Mark Webber","https://www.inaturalist.org/observations/40715776","","988154","ALG"
"15","Attheya septentrionalis","(Østrup) R.M.Crawford","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Chaetocerotales","","","Attheyaceae","","","Attheya","septentrionalis","","","","unlisted","unlisted","","new 2009","observed","","","","","","2009-12-16","Mark Webber","https://www.inaturalist.org/observations/9291446","","623138","ALG"
"16","Aulacodiscus sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Coscinodiscales","","","Aulacodiscaceae","","","Aulacodiscus","","","","","unlisted","unlisted","","new 2010","observed","","","","","","2010-12-29","Mark Webber","https://www.inaturalist.org/observations/4874758","","521736","ALG"
"17","Biddulphia antediluviana","(Ehrenberg) Van Heurck","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Biddulphiales","","","Biddulphiaceae","","","Biddulphia","antediluviana","","","","unlisted","unlisted","","new 2011","observed","","","","","","2011-01-05","Mark Webber","https://www.inaturalist.org/observations/4876139","","521743","ALG"
"18","Biddulphia biddulphiana","(J.E. Smith) Boyer","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Biddulphiales","","","Biddulphiaceae","","","Biddulphia","biddulphiana","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-07-19","Mark Webber","https://www.inaturalist.org/observations/4876149","","372546","ALG"
"19","Blidingia minima var. vexata","(Setchell & N.L.Gardner) J.N.Norris","","tiny-tube sea lettuce","Plantae","Chlorophyta","","","Ulvophyceae","","","Ulvales","","","Ulvaceae","","","Blidingia","minima","","","vexata","unlisted","unlisted","","reported","unobserved","2007-12-15","Andy Lamb & Donna Gibbs","PMLS","","","","","","This would be very difficult to identify. Without microscopic images, a voucher or D sequence this record is not verifiable. It is recorded from this area however. If there was collection information it may help","338996","ALG"
"20","Bonnemaisonia nootkana","(Esper) P.C.Silva","","delicately-branched red seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","","","Bonnemaisoniales","","","Bonnemaisoniaceae","","","Bonnemaisonia","nootkana","","","","unlisted","unlisted","","reported","unobserved","2005-12-10","Andy Lamb & Donna Gibbs","PMLS","","","","","","B. nootkana is recorded from the area based on records from herbaria, however it is not included in the keys to the area. This record is difficult to confirm without a photo or specimen.","873866","ALG"
"21","Bossiella orbigniana","(Decaisne) P.C.Silva","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae","","Corallinales","","","Corallinaceae","Corallinoideae","","Bossiella","orbigniana","","","","unlisted","unlisted","","reported","unobserved","2011","G.W. Saunders & K. Hind","BOLD","KJ637753","","","","","Barcoded; for some reason GBIF doesn't have BOLD info here, but this specimen is on BOLD site","","ALG"
"22","Bossiella sp.","","","leaf coral seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae","","Corallinales","","","Corallinaceae","Corallinoideae","","Bossiella","","","","","unlisted","unlisted","","confirmed","observed","1985-12-08","Andy Lamb & Donna Gibbs","PMLS","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25861026","","127155","ALG"
"23","Branchioglossum bipinnatifidum","(Montagne) M.J.Wynne","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Ceramiales","","","Delesseriaceae","","","Branchioglossum","bipinnatifidum","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027448","","","","","Barcoded","","ALG"
"24","Bryopsis corticulans","Setchell","","","Plantae","Chlorophyta","","","Ulvophyceae","","","Bryopsidales","","","Bryopsidaceae","","","Bryopsis","corticulans","","","","unlisted","unlisted","","reported","unobserved","2008","Andy Lamb & Donna Gibbs","PMLS","","","","","","B. corticulans is rare in this area, often found on the outer coast or north coast. Hard to confirm without photo or specimen.","","ALG"
"25","Calliarthron sp.","","","leaf coral seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae","","Corallinales","","","Corallinaceae","Corallinoideae","","Calliarthron","","","","","unlisted","unlisted","","reported","unobserved","1995-02-26","Andy Lamb & Donna Gibbs","PMLS","","","","","","","127154","ALG"
"26","Calliarthron tuberculosum","(Postels & Ruprecht) E.Y.Dawson","","articulated coralline algae","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae","","Corallinales","","","Corallinaceae","Corallinoideae","","Calliarthron","tuberculosum","","","","unlisted","unlisted","","confirmed","observed","1995","Andy Lamb & Donna Gibbs","PMLS","","","2022-02-28","Caitlin Robinson","https://www.inaturalist.org/observations/107677379","no change (KH). Common here, most likely C. tuberculosum","446884","ALG"
"27","Callithamnion acutum","Kylin","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Ceramiales","","","Ceramiaceae","","","Callithamnion","acutum","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25859555","","895196","ALG"
"28","Callithamnion pikeanum","Harvey","","beauty bush","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Ceramiales","","","Ceramiaceae","","","Callithamnion","pikeanum","","","","unlisted","unlisted","","reported","unobserved","2006-09-29","Andy Lamb & Donna Gibbs","PMLS","","","","","","Common here and we observed during the Bioblitz","117770","ALG"
"29","Callophyllis crenulata","Setchell","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","crenulata","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027457","","","","","Barcoded","345268","ALG"
"30","Callophyllis edentata","Kylin","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","edentata","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25861012","","895191","ALG"
"31","Callophyllis flabellulata","Harvey","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","flabellulata","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25860491","","446885","ALG"
"32","Callophyllis heanophylla","Setchell","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","heanophylla","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027451","","","","","Barcoded","1292323","ALG"
"33","Callophyllis pinnata","Setchell & Swezy in Setchell","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","pinnata","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027453","","","","","Barcoded","544812","ALG"
"34","Callophyllis schneideri","Clarkston & G.W.Saunders","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","schneideri","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027442","","","","","Barcoded","","ALG"
"35","Callophyllis variforma","Filloramo, Selivanova & G.W.Saunders","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Gigartinales","","","Kallymeniaceae","","","Callophyllis","variforma","","","","unlisted","unlisted","","reported","unobserved","2011-05-04","G.W. Saunders, K. Hind & B. Clarkston","BOLD","GWS027443","","","","","Barcoded","","ALG"
"36","Ceramium gardneri","Kylin","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Ceramiales","","","Ceramiaceae","","","Ceramium","gardneri","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25859909","","345256","ALG"
"37","Ceramium pacificum","(Collins) Kylin","","hairy pottery seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Ceramiales","","","Ceramiaceae","","","Ceramium","pacificum","","","","unlisted","unlisted","","confirmed","observed","2006-11-11","Andy Lamb & Donna Gibbs","PMLS","","","2016-09-01","Andrew Simon","http://www.inaturalist.org/observations/4017037","","429948","ALG"
"38","Cerataulina pelagica","(Cleve) Hendey","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Hemiaulales","","","Hemiaulaceae","","","Cerataulina","pelagica","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-07-11","Mark Webber","https://www.inaturalist.org/observations/9290781","","448296","ALG"
"39","Ceratium fusus","(Ehrenberg) Dujardin","","dinoflagellate","Chromista","Miozoa","","","Dinophyceae","","","Gonyaulacales","","","Ceratiaceae","","","Ceratium","fusus","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-14","Mark Webber","https://www.inaturalist.org/observations/4848820","","203749","ALG"
"40","Ceratium lineatum","(Ehrenberg) Cleve","","dinoflagellate","Chromista","Miozoa","","","Dinophyceae","","","Gonyaulacales","","","Ceratiaceae","","","Ceratium","lineatum","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-21","Mark Webber","https://www.inaturalist.org/observations/9291462","","345251","ALG"
"41","Chaetoceros affinis","Lauder","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Chaetocerotophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","affinis","","","","unlisted","unlisted","","new 2004","observed","","","","","","2004-07-28","Mark Webber","https://www.inaturalist.org/observations/4876445","","423795","ALG"
"42","Chaetoceros concavicornis","L.A. Mangin","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Chaetocerotophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","concavicornis","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-13","Mark Webber","https://www.inaturalist.org/observations/4876451","","521748","ALG"
"43","Chaetoceros curvisetus","Cleve","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Chaetocerotophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","curvisetus","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-02","Mark Webber","https://www.inaturalist.org/observations/4876455","","504135","ALG"
"44","Chaetoceros decipiens","Cleve","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Chaetocerotophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","decipiens","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-11-09","Mark Webber","https://www.inaturalist.org/observations/4876188","","446735","ALG"
"45","Chaetoceros didymus","Ehrenberg","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Chaetocerotophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","didymus","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-01","Mark Webber","https://www.inaturalist.org/observations/4849241","","448287","ALG"
"46","Chaetoceros laciniosus","F. Schütt","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Chaetocerotophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","laciniosus","","","","unlisted","unlisted","","new 2009","observed","","","","","","2009-08-11","Mark Webber","https://www.inaturalist.org/observations/4876214","","521745","ALG"
"47","Chaetoceros lorenzianus","Grunow","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Chaetocerotophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","lorenzianus","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-11-15","Mark Webber","https://www.inaturalist.org/observations/4876441","","521747","ALG"
"48","Chaetoceros radicans","F. Schütt","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Chaetocerotophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","radicans","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-21","Mark Webber","https://www.inaturalist.org/observations/4876457","","521749","ALG"
"49","Chaetoceros socialis","H.S. Lauder","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Chaetocerotophycidae","","Chaetocerotales","","","Chaetocerotaceae","","","Chaetoceros","socialis","","","","unlisted","unlisted","","new 2008","observed","","","","","","2008-11-15","Mark Webber","https://www.inaturalist.org/observations/4876466","","411126","ALG"
"50","Chondracanthus exasperatus","(Harvey & Bailey) Hughey","","Turkish towel","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Gigartinales","","","Gigartinaceae","","","Chondracanthus","exasperatus","","","","unlisted","unlisted","","confirmed","observed","1996-04-02","E. McNeil","UBC","A82321","","2015-08-28","Lauren Magner","http://www.inaturalist.org/observations/3734901","","127153","ALG"
"51","Cladophora columbiana","Collins","","green pin-cushion alga","Plantae","Chlorophyta","","","Ulvophyceae","","","Cladophorales","","","Cladophoraceae","","","Cladophora","columbiana","","","","unlisted","unlisted","","new 2016","observed","","","","","","2016-09-01","Andrew Simon","http://www.inaturalist.org/observations/4017201","","117775","ALG"
"52","Cladophora sp.","","","sea moss","Plantae","Chlorophyta","","","Ulvophyceae","","","Cladophorales","","","Cladophoraceae","","","Cladophora","","","","","unlisted","unlisted","","reported","unobserved","2013-05-17","Andy Lamb & Donna Gibbs","PMLS","","","","","","","53707","ALG"
"53","Clathromorphum sp.","","","crustose coralline","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae","","Corallinales","","","Corallinaceae","","","Clathromorphum","","","","","unlisted","unlisted","","reported","unobserved","1993-08-16","Andy Lamb & Donna Gibbs","PMLS","","","","","","","326286","ALG"
"54","Closterium ehrenbergii","Meneghini ex Ralfs","","desmid","Plantae","Charophyta","","","Conjugatophyceae","","","Zygnematales","","","Closteriaceae","","","Closterium","ehrenbergii","","","","unlisted","unlisted","","new 2017","observed","","","","","","2017-11-15","Mark Webber","https://www.inaturalist.org/observations/9096764","","470518","ALG"
"55","Closterium praelongum","Brébisson","","desmid","Plantae","Charophyta","","","Conjugatophyceae","","","Zygnematales","","","Closteriaceae","","","Closterium","praelongum","","","","unlisted","unlisted","","new 2012","observed","","","","","","2012-12-21","Mark Webber","https://www.inaturalist.org/observations/5036392","","526977","ALG"
"56","Cocconeis sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Bacillariophycidae","","Cocconeidales","","","Cocconeidaceae","","","Cocconeis","","","","","unlisted","unlisted","","new 2005","observed","","","","","","2005-07-19","Mark Webber","https://www.inaturalist.org/observations/5197578","","339306","ALG"
"57","Codium fragile","Hariot","","sea staghorn","Plantae","Chlorophyta","","","Ulvophyceae","","","Bryopsidales","","","Codiaceae","","","Codium","fragile","","","","unlisted","unlisted","","reported","unobserved","1977-11-27","Michael W. Hawkes","UBC","A57498","","","","","cf Codium fragile subsp. californicum (J.Agardh) Maggs & J.Kelly","67555","ALG"
"58","Codium setchellii","N.L.Gardner","","spongy cushion","Plantae","Chlorophyta","","","Ulvophyceae","","","Bryopsidales","","","Codiaceae","","","Codium","setchellii","","","","unlisted","unlisted","","reported","unobserved","1994-10-22","Andy Lamb & Donna Gibbs","PMLS","","","","","","","117776","ALG"
"59","Colpomenia peregrina","Sauvageau","","round brown bag","Chromista","Ochrophyta","","","Phaeophyceae","","","Scytosiphonales","","","Scytosiphonaceae","","","Colpomenia","peregrina","","","","unlisted","unlisted","","confirmed","observed","2006-09-28","Andy Lamb & Donna Gibbs","PMLS","","","2015-08-28","Lauren Magner","https://www.inaturalist.org/observations/3734842","","129737","ALG"
"60","Constantinea simplex","Setchell","","cup and saucer seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Gigartinales","","","Dumontiaceae","","","Constantinea","simplex","","","","unlisted","unlisted","","confirmed","observed","1995-02-24","Andy Lamb & Donna Gibbs","PMLS","","","2019-12-09","Penelope Bridge-Battle","https://www.inaturalist.org/observations/36661545","","345231","ALG"
"61","Constantinea subulifera","Setchell","","giant cup and saucer seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Gigartinales","","","Dumontiaceae","","","Constantinea","subulifera","","","","unlisted","unlisted","","confirmed","observed","2016-02-07","Andy Lamb & Donna Gibbs","PMLS","","","2019-05-05","Bridgette Clarkston","https://www.inaturalist.org/observations/25927075","","473053","ALG"
"62","Corallina officinalis var. chilensis","Linnaeus","(Decaisne) Kützing","pink feather coralline","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae","","Corallinales","","","Corallinaceae","","","Corallina","officinalis","","","chilensis","unlisted","unlisted","","reported","unobserved","2006-09-28","Andy Lamb & Donna Gibbs","PMLS","","","","","","","345230","ALG"
"63","Corallina vancouveriensis","Yendo","","graceful coralline","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Corallinophycidae","","Corallinales","","","Corallinaceae","","","Corallina","vancouveriensis","","","","unlisted","unlisted","","reported","unobserved","1995-02-24","Andy Lamb & Donna Gibbs","PMLS","","","","","","","126448","ALG"
"64","Corethron hystrix","Hensen","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Corethrales","","","Corethraceae","","","Corethron","hystrix","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-06","Mark Webber","https://www.inaturalist.org/observations/49989060","","484134","ALG"
"65","Coscinodiscus granii","L.F. Gough","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Coscinodiscales","","","Coscinodiscaceae","","","Coscinodiscus","granii","","","","unlisted","unlisted","","new 2009","observed","","","","","","2009-08-02","Mark Webber","https://www.inaturalist.org/observations/9291001","","570485","ALG"
"66","Coscinodiscus radiatus","Ehrenberg","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Coscinodiscales","","","Coscinodiscaceae","","","Coscinodiscus","radiatus","","","","unlisted","unlisted","","new 2009","observed","","","","","","2009-12-15","Mark Webber","https://www.inaturalist.org/observations/40704549","","424382","ALG"
"67","Coscinodiscus wailesii","Gran & Angst","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Coscinodiscophycidae","","Coscinodiscales","","","Coscinodiscaceae","","","Coscinodiscus","wailesii","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-09-18","Mark Webber","https://www.inaturalist.org/observations/44884072","","549788","ALG"
"68","Costaria costata","(C. Agardh) De A. Saunders","","seersucker kelp","Chromista","Ochrophyta","","","Phaeophyceae","Fucophycidae","","Laminariales","","","Laminariaceae","","","Costaria","costata","","","","unlisted","unlisted","","confirmed","observed","1993-05-09","Andy Lamb & Donna Gibbs","PMLS","","","2017-04-08","Tyrel Froese","https://www.inaturalist.org/observations/5620533","","125877","ALG"
"69","Cryptopleura lobulifera","(J.Agardh) Kylin","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Ceramiales","","","Delesseriaceae","","Cryptopleureae","Cryptopleura","lobulifera","","","","unlisted","unlisted","","reported","unobserved","1999","Andy Lamb & Donna Gibbs","PMLS","","","","","","no change (KH). Has been found in this area, but difficult to confirm. It is noted as being rare in the local area in the key.","","ALG"
"70","Cryptopleura ruprechtiana","(J.Agardh) Kylin","","hidden rib","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Ceramiales","","","Delesseriaceae","","Cryptopleureae","Cryptopleura","ruprechtiana","","","","unlisted","unlisted","","new 2019","observed","","","","","","2019-05-04","Bridgette Clarkston","https://www.inaturalist.org/observations/25861039","","327014","ALG"
"71","Cryptopleura sp.","","","","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Ceramiales","","","Delesseriaceae","","Cryptopleureae","Cryptopleura","","","","","unlisted","unlisted","","confirmed","observed","1999-10-02","Andy Lamb & Donna Gibbs","PMLS","","","2016-08-21","Tyrel Froese","http://www.inaturalist.org/observations/4005089","","243907","ALG"
"72","Cryptosiphonia woodii","(J.Agardh) J.Agardh","","dark branching-tube seaweed","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Gigartinales","","","Dumontiaceae","","","Cryptosiphonia","woodii","","","","unlisted","unlisted","","confirmed","observed","2009-03-20","Andy Lamb & Donna Gibbs","PMLS","","","2019-05-04","John D. Reynolds","https://www.inaturalist.org/observations/24708735","","117777","ALG"
"73","Cumathamnion decipiens","(J.Agardh) M.J.Wynne & G.W.Saunders","","winged rib","Plantae","Rhodophyta","Eurhodophytina","","Florideophyceae","Rhodymeniophycidae","","Ceramiales","","","Delesseriaceae","","","Cumathamnion","decipiens","","","","unlisted","unlisted","","confirmed","observed","2002-03-23","Andy Lamb & Donna Gibbs","PMLS","","","2021-03-13","Dave “Zeuss” Cochrane","https://inaturalist.ca/observations/71178850","reported as Delesseria decipiens","496909","ALG"
"74","Cyclotella sp.","","","diatom","Chromista","Ochrophyta","","","Bacillariophyceae","Thalassiosirophycidae","","Stephanodiscales","","","Stephanodiscaceae","","","Cyclotella","","","","","unlisted","unlisted","","new 2006","observed","","","","","","2006-01-24","Mark Webber","https://www.inaturalist.org/observations/49991081","","345199","ALG"
