"Scientific name","Common name","Provincial status","BC list","National status","SARA status"
"Parasagitta elegans","","","","",""
"Acantholithodes hispidus","Spiny Lithode Crab","SNR","Not Reviewed","",""
"Acartia longiremis","","","","",""
"Aglaodiaptomus leptopus","","","","",""
"Ampithoe dalli","","","","",""
"Ampithoe lacertosa","Sea Lettuce Sea Flea","","","",""
"Anisogammarus pugettensis","","","","",""
"Argis alaskensis","Alaska Argid","SNR","Not Reviewed","",""
"Balanus crenatus","Wrinkled Barnacle","","","",""
"Balanus glandula","Pacific Acorn Barnacle","","","",""
"Balanus nubilus","Giant Acorn Barnacle","","","",""
"Balanus rostratus","Rostrate Barnacle","","","",""
"Bopyroides hippolytes","","","","",""
"Cancer productus","Red Rock Crab","SNR","Not Reviewed","",""
"Caprella alaskana","","","","",""
"Caprella laeviuscula","","","","",""
"Centropages abdominalis","","","","",""
"Cephalophoxoides homilis","","","","",""
"Chionoecetes bairdi","Tanner crab","SNR","Not Reviewed","",""
"Chionoecetes tanneri","Grooved Tanner Crab","SNR","Not Reviewed","",""
"Chorilia longipes","Longhorn Decorator Crab","SNR","Not Reviewed","",""
"Chromopleustes oculatus","","","","",""
"Chthamalus dalli","Little Brown Barnacle","","","",""
"Crangon alaskensis","Alaska shrimp","SNR","Not Reviewed","",""
"Crangon franciscorum","California Bay Shrimp","SNR","Not Reviewed","",""
"Cryptolithodes sitchensis","Umbrella Crab","SNR","Not Reviewed","",""
"Cryptolithodes typicus","Butterfly King Crab","SNR","Not Reviewed","",""
"Cumella vulgaris","","","","",""
"Cyphocaris challengeri","","","","",""
"Daphnia sp.","","","","",""
"Desdimelita californica","","","","",""
"Discorsopagurus schmitti","Tubeworm Hermit","SNR","Not Reviewed","",""
"Ditrichocorycaeus anglicus","","","","",""
"Elassochirus gilli","Pacific Red Hermit","SNR","Not Reviewed","",""
"Elassochirus tenuimanus","Widehand Hermit","SNR","Not Reviewed","",""
"Eualus avinus","Beaked Eualid","SNR","Not Reviewed","",""
"Eualus barbatus","Barbed Eualid","SNR","Not Reviewed","",""
"Eualus berkeleyorum","Berkeley Eualid","SNR","Not Reviewed","",""
"Eualus butleri","","SNR","Not Reviewed","",""
"Eualus lineatus","Striped Eualid","SNR","Not Reviewed","",""
"Eualus macrophthalmus","Bigeye Eualid","SNR","Not Reviewed","",""
"Eualus pusiolus","Doll Eualid","SNR","Not Reviewed","",""
"Eualus subtilis","Pygmy Eualid","SNR","Not Reviewed","",""
"Eualus suckleyi","Shortscale Eualid","SNR","Not Reviewed","",""
"Eualus townsendi","Townsend Eualid","SNR","Not Reviewed","",""
"Eudorella pacifica","","","","",""
"Euphausia spp.","","","","",""
"Eusergestes similis","Midwater shrimp","SNR","Not Reviewed","",""
"Eusirus columbianus","","","","",""
"Fabia subquadrata","Grooved Mussel Crab","SNR","Not Reviewed","",""
"Galacantha spp.","","","","",""
"Glebocarcinus oregonensis","Pygmy Rock Crab","SNR","Not Reviewed","",""
"Gnorimosphaeroma oregonense","Oregon pillbug","","","",""
"Grandidierella japonica","","","","",""
"Hapalogaster mertensii","Hairy Crab","SNR","Not Reviewed","",""
"Harpacticus pacificus","","","","",""
"Harpiniopsis fulgens","","","","",""
"Hemigrapsus nudus","Purple Shore Crab","SNR","Not Reviewed","",""
"Hemigrapsus oregonensis","Yellow Shore Crab","SNR","Not Reviewed","",""
"Heptacarpus brevirostris","Stout Coastal Shrimp","SNR","Not Reviewed","",""
"Heptacarpus decorus","Elegant Coastal Shrimp","SNR","Not Reviewed","",""
"Heptacarpus kincaidi","Kincaid Coastal Shrimp","SNR","Not Reviewed","",""
"Heptacarpus moseri","Alaska Coastal Shrimp","SNR","Not Reviewed","",""
"Heptacarpus stimpsoni","Stimpson Coastal Shrimp","SNR","Not Reviewed","",""
"Heptacarpus stylus","stiletto coastal shrimp","SNR","Not Reviewed","",""
"Heptacarpus tenuissimus","Slender Coastal Shrimp","SNR","Not Reviewed","",""
"Heptacarpus tridens","Threespine Coastal Shrimp","SNR","Not Reviewed","",""
"Hesperodiaptomus shoshone","","","","",""
"Hippolyte clarki","Kelp Humpback Shrimp","SNR","Not Reviewed","",""
"Holopedium gibberum","","","","",""
"Hyas lyratus","Pacific Lyre Crab","SNR","Not Reviewed","",""
"Ismaila belciki","","","","",""
"Labidochirus splendescens","Splendid Hermit","SNR","Not Reviewed","",""
"Laticorophium baconi","","","","",""
"Lebbeus eludus","","SNR","Not Reviewed","",""
"Lebbeus grandimanus","Candy-striped Shrimp","SNR","Not Reviewed","",""
"Lebbeus groenlandicus","Spiny Lebbeid","SNR","Not Reviewed","",""
"Lebbeus mundus","","SNR","Not Reviewed","",""
"Lopholithodes foraminatus","Brown Box Crab","SNR","Not Reviewed","",""
"Lopholithodes mandtii","Puget Sound King Crab","SNR","Not Reviewed","",""
"Lophopanopeus bellus","Blackclaw Crestleg Crab","SNR","Not Reviewed","",""
"Mesocalanus tenuicornis","","","","",""
"Mesocrangon munitella","Miniature Spinyhead","SNR","Not Reviewed","",""
"Metacaprella kennerlyi","","","","",""
"Metacarcinus gracilis","Graceful Rock Crab","SNR","Not Reviewed","",""
"Metacarcinus magister","Dungeness Crab","SNR","Not Reviewed","",""
"Metacrangon munita","Coastal Spinyhead","SNR","Not Reviewed","",""
"Metacrangon spinosissima","Southern Spinyhead","SNR","Not Reviewed","",""
"Monocorophium insidiosum","","","","",""
"Monoculodes latimanus","","","","",""
"Munida quadrispina","Four-Spined Squat Lobster","SNR","Not Reviewed","",""
"Neocrangon communis","Gray Shrimp","SNR","Not Reviewed","",""
"Neotrypaea californiensis","Bay Ghost Shrimp","SNR","Not Reviewed","",""
"Nymphon pixellae","","","","",""
"Oithona atlantica","","","","",""
"Oithona similis","","","","",""
"Oregonia gracilis","Graceful Decorator Crab","SNR","Not Reviewed","",""
"Pacifastacus leniusculus","Signal Crayfish","","","",""
"Paguristes turgidus","","SNR","Not Reviewed","",""
"Pagurus aleuticus","Aleutican Hermit Crab","SNR","Not Reviewed","",""
"Pagurus armatus","Armed Hermit Crab","SNR","Not Reviewed","",""
"Pagurus beringanus","Bering Hermit Crab","SNR","Not Reviewed","",""
"Pagurus caurinus","Greenmark Hermit Crab","SNR","Not Reviewed","",""
"Pagurus granosimanus","Grainy Hermit Crab","SNR","Not Reviewed","",""
"Pagurus hirsutiusculus","Pacific Hairy Hermit Crab","SNR","Not Reviewed","",""
"Pagurus kennerlyi","","","","",""
"Pagurus ochotensis","Alaskan Hermit Crab","SNR","Not Reviewed","",""
"Pagurus quaylei","Dovesnail Hermit","SNR","Not Reviewed","",""
"Pagurus samuelis","Blueband Hermit Crab","SNR","Not Reviewed","",""
"Pagurus setosus","Setose Hermit Crab","SNR","Not Reviewed","",""
"Pagurus stevensae","Stevens' Hermit Crab","SNR","Not Reviewed","",""
"Pagurus tanneri","Longhand Hermit Crab","SNR","Not Reviewed","",""
"Pandalus borealis","Northern Shrimp","","","",""
"Pandalus danae","Dock Shrimp","SNR","Not Reviewed","",""
"Pandalus dispar","Sidestriped Shrimp","SNR","Not Reviewed","",""
"Pandalus eous","Alaskan Pink Shrimp","SNR","Not Reviewed","",""
"Pandalus goniurus","Humpy Shrimp","SNR","Not Reviewed","",""
"Pandalus hypsinotus","Coonstriped Shrimp","SNR","Not Reviewed","",""
"Pandalus jordani","Ocean Shrimp","SNR","Not Reviewed","",""
"Pandalus lucidirimicolus","Sparkling Shrimp","SNR","Not Reviewed","",""
"Pandalus platyceros","California Spot Prawn","SNR","Not Reviewed","",""
"Pandalus stenolepis","Roughpatch Shrimp","SNR","Not Reviewed","",""
"Pandalus tridens","Yellowleg Pandalid","SNR","Not Reviewed","",""
"Paracalanus parvus","","","","",""
"Paracrangon echinata","Horned Shrimp","SNR","Not Reviewed","",""
"Paramoera bousfieldi","","","","",""
