field_1,Taxon,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial,National.S,latitude,longitude,geoprivacy,private_la,private_lo,id,layer,path
"4764",Ilex aquifolium,Ilex,aquifolium,,,,exotic,unlisted,,48.879056990000002,-123.319142799999995,private,"48.87905699","-123.3191428","2767539",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"74",Lamium galeobdolon ssp. argentatum,Lamium,galeobdolon,,argentatum,,exotic,unlisted,,48.873336000000002,-123.346591000000004,,NA,NA,"125681210",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"13725",Crocus × stellaris,Crocus,,Crocus × stellaris,,,exotic,unlisted,,48.895526570000001,-123.410335000000003,,NA,NA,"38469122",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"13726",Crocus × stellaris,Crocus,,Crocus × stellaris,,,exotic,unlisted,,48.895650000000003,-123.410346700000005,,NA,NA,"70515530",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"17867",Geranium × oxonianum,Geranium,,Geranium × oxonianum,,,exotic,unlisted,,48.872678229999998,-123.348945099999995,,NA,NA,"85291250",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"19320",Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.892712469999999,-123.391152599999998,,NA,NA,"6047517",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"19321",Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.872082300000002,-123.312289199999995,,NA,NA,"6425084",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"19322",Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.872411669999998,-123.311541700000006,,NA,NA,"24701576",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"19323",Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.871773949999998,-123.310873900000004,,NA,NA,"24713780",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"19324",Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.868049999999997,-123.387171699999996,,NA,NA,"24768192",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"19325",Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.868056670000001,-123.387161699999993,,NA,NA,"24768193",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"19326",Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.871555000000001,-123.311058299999999,,NA,NA,"24874156",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"19327",Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.871686670000003,-123.312103300000004,,NA,NA,"32125266",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"19328",Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.898256670000002,-123.401120000000006,,NA,NA,"110820863",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"19329",Hyacinthoides × massartiana,Hyacinthoides,,Hyacinthoides × massartiana,,,exotic,unlisted,,48.871596670000002,-123.311128299999993,,NA,NA,"111111016",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"19730",Iris × hybrida,Iris,,Iris × hybrida,,,exotic,unlisted,,48.868830000000003,-123.312174999999996,,NA,NA,"121538470",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"22710",Achillea millefolium,Achillea,millefolium,,,,exotic,unlisted,,48.926842000000001,-123.469504999999998,,NA,NA,"2621438",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"22810",Achillea millefolium,Achillea,millefolium,,,,exotic,unlisted,,48.867548999999997,-123.339915000000005,,NA,NA,"3040869",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"22910",Achillea millefolium,Achillea,millefolium,,,,exotic,unlisted,,48.915906000000000,-123.422921000000002,,NA,NA,"3123049",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
"23010",Achillea millefolium,Achillea,millefolium,,,,exotic,unlisted,,48.915973999999999,-123.424808999999996,,NA,NA,"3296788",obs_exotic,file:///D:/Simon/Sync/Root/GIS/Biodiversity%20Data/obs_exotic.csv?type=csv&maxFields=10000&detectTypes=yes&xField=longitude&yField=latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
