id,parentId,iNaturalistTaxonName,commonName,rank,iNaturalistTaxonImage
48460,,Life,life,stateofmatter,https://inaturalist-open-data.s3.amazonaws.com/photos/347064198/medium.jpeg
1,48460,Animalia,Animals,kingdom,https://inaturalist-open-data.s3.amazonaws.com/photos/80678745/medium.jpg
2,1,Chordata,Chordates,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/80551845/medium.jpg
47115,1,Mollusca,Molluscs,phylum,https://static.inaturalist.org/photos/58051104/medium.jpg
47120,1,Arthropoda,Arthropods,phylum,https://static.inaturalist.org/photos/294541916/medium.jpg
47491,1,Annelida,Segmented Worms,phylum,https://static.inaturalist.org/photos/45924362/medium.jpg
47534,1,Cnidaria,Cnidarians,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/4118/medium.jpg
47549,1,Echinodermata,Echinoderms,phylum,https://static.inaturalist.org/photos/22930217/medium.jpg
48051,1,Phoronida,Horseshoe Worms,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/2560661/medium.jpg
48824,1,Porifera,Sponges,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/117290419/medium.jpg
51280,1,Nemertea,Ribbon Worms,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/4114/medium.jpg
51508,1,Ctenophora,Comb Jellies,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/12707464/medium.jpg
52319,1,Platyhelminthes,Flatworms,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/6308/medium.jpg
68104,1,Bryozoa,Bryozoans,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/42469840/medium.jpg
122158,1,Brachiopoda,Brachiopods,phylum,https://static.inaturalist.org/photos/1394736/medium.JPG
151827,1,Chaetognatha,Arrow Worms,phylum,https://inaturalist-open-data.s3.amazonaws.com/photos/31349361/medium.jpg
151831,1,Entoprocta,Entoprocts,phylum,https://static.inaturalist.org/photos/1402027/medium.JPG
47114,47115,Gastropoda,Gastropods,class,https://static.inaturalist.org/photos/247609877/medium.jpg
47429,47115,Polyplacophora,Chitons,class,https://static.inaturalist.org/photos/8111603/medium.jpg
47459,47115,Cephalopoda,Cephalopods,class,https://inaturalist-open-data.s3.amazonaws.com/photos/32158737/medium.jpg
47490,47491,Polychaeta,Polychaete Worms,class,https://static.inaturalist.org/photos/12387857/medium.jpg
