Type,Order_beginning_dataframe,Parsed,DarwinCore field,Temp field,Definition,Values,Adopted,Note
taxonomic,1,beginning,scientificName,,"The full scientific name, with authorship and date information if known. When forming part of an Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the IdentificationQualifier term.",,yes,All elements included except authority
identifier,2,beginning,taxonID,,A global unique identifier for the taxon (name in a classification).,,,
taxonomic,3,beginning,kingdom,,,,,
taxonomic,4,beginning,phylum,,,,,
taxonomic,5,beginning,class,,,,,
taxonomic,6,beginning,order,,,,,
taxonomic,7,beginning,suborder,,,,,
taxonomic,8,beginning,infraorder,,,,,
taxonomic,9,beginning,superfamily,,,,,
taxonomic,10,beginning,family,,,,,
taxonomic,11,beginning,genus,,,,,
taxonomic,12,beginning,subgenus,,,,,
taxonomic,13,beginning,specificEpithet,,,,,
taxonomic,14,beginning,NA,hybrid,,,yes,Relevant DarwinCore field is infraspecificEpithet
taxonomic,15,beginning,NA,subspecies,,,yes,Relevant DarwinCore field is infraspecificEpithet
taxonomic,16,beginning,NA,variety,,,yes,Relevant DarwinCore field is infraspecificEpithet
taxonomic,17,beginning,NA,form,,,yes,Relevant DarwinCore field is infraspecificEpithet
taxonomic,18,end,taxonRank,,,,,
source,19,beginning,institutionCode,,The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.,,yes,
source,20,beginning,collectionCode,,,,,
identifier,21,beginning,catalogNumber,,An identifier (preferably unique) for the record within the data set or collection.,,,
source,22,beginning,datasetName,,,,,
identifier,23,beginning,occurrenceID,,,,,
source,24,beginning,recordedBy,,"A list (concatenated and separated) of names of people, groups, or organizations responsible for recording the original Occurrence. The primary collector or observer, especially one who applies a personal identifier (recordNumber), should be listed first.",,,
identifier,25,beginning,recordNumber,,"An identifier given to the Occurrence at the time it was recorded. Often serves as a link between field notes and an Occurrence record, such as a specimen collector's number.",,yes,
identifier,26,beginning,fieldNumber,,,,,
time,27,beginning,eventDate,,"The date-time or interval during which an Event occurred. For occurrences, this is the date-time when the event was recorded. Not suitable for a time in a geological context.",,,
time,28,end,year,,,,,
time,29,end,month,,,,,
time,30,end,day,,,,,
source,31,beginning,basisOfRecord,,The specific nature of the data record.,"PreservedSpecimen, FossilSpecimen, LivingSpecimen, MaterialSample, Event, HumanObservation, MachineObservation, Taxon, Occurrence, MaterialCitation",yes,
location,32,beginning,locality,,,,,
location,33,beginning,island,,,,,
location,34,beginning,stateProvince,,,,,
location,35,beginning,country,,,,,
location,36,beginning,countryCode,,,,,
location,37,beginning,decimalLatitude,,,,,
location,38,beginning,decimalLongitude,,,,,
location,39,beginning,coordinateUncertaintyInMeters,,,,,
location,40,beginning,georeferencedBy,,,,,
location,41,beginning,georeferenceVerificationStatus,,,,,
location,42,beginning,georeferenceProtocol,,,,,
location,43,beginning,georeferenceRemarks,,,,,
location,44,beginning,verbatimDepth,,,,,
location,45,beginning,verbatimElevation,,,,,
metadata_methods,46,beginning,occurrenceStatus,,,,,
metadata_methods,47,beginning,samplingProtocol,,,,,
metadata_bio,48,beginning,occurrenceRemarks,,,,,
metadata_bio,49,beginning,individualCount,,,,,
metadata_bio,50,beginning,sex,,,,,
metadata_taxonomy,51,beginning,identificationQualifier,,,,,
metadata_taxonomy,52,beginning,identificationRemarks,,,,,
metadata_taxonomy,53,beginning,previousIdentifications,,,,,
references,54,beginning,bibliographicCitation,,,,,
references,55,beginning,associatedReferences,,,,,
taxonomic,NA,end,infraspecificEpithet,,,,,
