"","area","TaxonName","presence","HJ_comment","FPNW_note","critical_comments","reviewed","iNat_taxon","Family"
"1","saanich","Abies amabilis",1,"Creek outflow at E end of Durrance Lake, Harrison 1968.","","","TL","Abies amabilis","Pinaceae"
"2","saanich","Abies grandis",1,"Lowlands; locally common.","","","AS, HR, TL","Abies grandis","Pinaceae"
"3","saanich","Abronia latifolia",1,"Common on sandy beaches; abundant at the Esplanade, Oak Bay, Island View Beach, James Island and Sidney Spit; decreasing due to disturbance of its habitat.","","","HR, TL","Abronia latifolia","Nyctaginaceae"
"4","saanich","Acer circinatum",1,"Planted; the only recorded natural occurrence on Vancouver Island came from Robertson River, Cowichan Lake district.","","","","Acer circinatum","Sapindaceae"
"5","saanich","Acer glabrum var. douglasii",1,"Moist woods, rocky slopes, shores; occasional throughout in suitable habitats.","","","HR, TL","Acer glabrum douglasii","Sapindaceae"
"6","saanich","Acer macrophyllum",1,"On edges of coniferous forest, damp woods, shoreline slopes; common throughout. Harrison collected A. platanoides from Uplands Park 1966 - escaping? Established? Fenneman has A. platanoides from Royal Roads.","","","HR, TL","Acer macrophyllum","Sapindaceae"
"7","saanich","Achillea filipendulina",1,"Marr Lattoria Road recent disturbed ground, Colwood 2007.","","powerlineR/W, Francis-King P","HR, TL","Achillea filipendulina","Asteraceae"
"8","saanich","Achillea millefolium",1,"Fields and roadsides, common throughout; taxonomically difficult autopolyploid. H&C2018 doesn't treat subspecies or varieties.","","","HR, TL","Achillea millefolium","Asteraceae"
"9","saanich","Achlys triphylla",1,"Shady, moist woods, occasionally in open, moist places and along streams; fairly common in Royal Oak, Saanichton, Sidney, Langford, and Goldstream and occasional throughout in suitable habitats.","","","AS, HR, TL","Achlys triphylla","Berberidaceae"
"10","saanich","Achnatherum lemmonii ssp. lemmonii",1,"Observatory Hill, Mill Hill, Mt Finlayson, Jocelyn Hill A&O Ceska","","","AS, HR","Eriocoma lemmonii lemmonii","Poaceae"
"11","saanich","Achnatherum nelsonii ssp. nelsonii",1,"Listed in Henry's Flora as occurring at Cedar Hill, Victoria; specimen not examined. CDC Explorer all collections east of Cascades except V. C. Brink coll coastal flats, Parksville, 1955.","","","HR, TL","Eriocoma nelsonii nelsonii","Poaceae"
"12","saanich","Acmispon americanus var. americanus",1,"Exposed rocky or sandy ground; Victoria, Oak Bay, and Telegraph Bay. A&OC Discovery Island 1976. HLR Mill Hill report in BEN344.","","","TL","Acmispon americanus americanus","Fabaceae"
"13","saanich","Acmispon denticulatus",1,"Open, grassy places; very common throughout the area.","","","TL","Acmispon denticulatus","Fabaceae"
"14","saanich","Acmispon parviflorus",1,"Open, grassy slopes and sandy flats; very common in suitable habitats throughout.","","","AS, HR, TL","Acmispon parviflorus","Fabaceae"
"15","saanich","Aconitum columbianum",1,"Reported by M. C. Melburn from Victoria in 1953; out of its range and most likely planted. No coast records.","","","TL","Aconitum columbianum","Ranunculaceae"
"16","saanich","Actaea rubra",1,"Moist woods and streambanks; sporadic in the Saanich and Highland wooded areas.","","","","Actaea rubra","Ranunculaceae"
"17","saanich","Adenocaulon bicolor",1,"Moist, shady woods; common throughout.","","","AS","Adenocaulon bicolor","Asteraceae"
"18","saanich","Adiantum aleuticum",1,"Shady places in damp soil, rich in humus; occasional in suitable habitat; represented by var. aleuticum Rupr.","","","AS","Adiantum aleuticum","Pteridaceae"
"19","saanich","Aegopodium podagraria",1,"Zimmerman Mt Douglas Park iNaturalist observation 2020. Appears to be naturalized. Several other inaturalist observations for Victoria and Oak Bay. Several Vancouver herbarium records.","","","HR, TL","Aegopodium podagraria","Apiaceae"
"20","saanich","Agoseris glauca var. glauca",1,"Check at V. CPNWH no area records, CDC explorer no area records.","","","","Agoseris glauca glauca","Asteraceae"
"21","saanich","Agoseris grandiflora var. leptophylla",1,"Eastham Thetis Lake 1941, A&OC View Royal waterfront 1976, RTO Wesley Hill, Royal Oak 1988, A&OC Oldfield Road 1976, A&OC Mt Douglas 1976. Apparently overlooked in original publication.","","","AS, HR, TL","Agoseris grandiflora leptophylla","Asteraceae"
"22","saanich","Agoseris heterophylla",1,"Dry, open grassy places; locally abundant; Victoria, Saanich, Langford, and the Highland district.","","","AS, HR, TL","Agoseris heterophylla","Asteraceae"
"23","saanich","Agropyron cristatum",1,"Foster Central Saanich 1939. Persisting?","","","TL","Agropyron cristatum","Poaceae"
"24","saanich","Agrostemma githago",1,"Native of Europe; occasional; weed of cultivated grain fields. On Lomer & Penny's non-established list.","","","TL","Agrostemma githago","Caryophyllaceae"
"25","saanich","Agrostis canina",1,"Cultivated especially for putting greens; occasional in Victoria and Oak Bay.Oregon nearest on FNA. CDC Explorer single Lomer collection Douglas island in Fraser off New Westminister.","","","","Agrostis canina","Poaceae"
"26","saanich","Agrostis capillaris",1,"Cultivated for lawns and pastures; escaped and established.","","","HR","Agrostis capillaris","Poaceae"
"27","saanich","Agrostis exarata",1,"Moist, open ground; sporadic throughout; frequent in the Sidney area.","","","HR","Agrostis exarata","Poaceae"
"28","saanich","Agrostis gigantea",1,"Native of Eurasia; commonly cultivated for meadow, pasture, and lawns; an escapee from cultivation in many areas; represented by var. palustris (Huds.) Pers., var. stolonifera (L.) J. E. Smith and var. alba; varieties of A. alba are one of best lawn grass","","","HR","Agrostis gigantea","Poaceae"
"29","saanich","Agrostis idahoensis",1,"Listed in the Provincial Museum Report for 1921 as occurring in Victoria, where it was collected by Macoun; not very readily distinguishable from A. scabra. No new records CDC Explorer.","","","","Agrostis idahoensis","Poaceae"
"30","saanich","Agrostis microphylla",1,"Many Victoria colls Lomer, Ceska, Douglas","","","HR","Agrostis microphylla","Poaceae"
"31","saanich","Agrostis oregonensis",1,"AC Turner's Bog 1976.","","","","Agrostis oregonensis","Poaceae"
"32","saanich","Agrostis pallens",1,"Mesic to moist sand dunes and rocky seacliffs in the lowland zone. Rare on south Vancouver Island. HLR Mill Hill report in BEN344.","","","HR","Agrostis pallens","Poaceae"
"33","saanich","Agrostis scabra",1,"Moist, open grassland; sporadic throughout,","","","HR","Agrostis scabra","Poaceae"
"34","saanich","Aira caryophyllea",1,"Open ground and coastal plains; common throughout; frequent weed in rock gardens.","","","","Aira caryophyllea","Poaceae"
"35","saanich","Aira elegans",1," Henderson Point HLR.   Observation only, no specimen00","","","","Aira elegans","Poaceae"
"36","saanich","Aira praecox",1,"Sandy open ground and dry fields; common throughout and well established.","","","","Aira praecox","Poaceae"
"37","saanich","Alisma gramineum",1,"Sidney Island 2000 (details?source?)","","","","Alisma gramineum","Alismataceae"
"38","saanich","Alisma triviale",1,"Marshy areas, often submersed; occasional; Bowker Creek, Swan and Blenkinsop Lakes, and the Sidney area; flowers. AC Spencer Pond, Langford 1987, TCB Glen Lake 1989. TCB Bowker Creek 1999. =A. plantago-aquatica. Recheck vouchers.","","","","Alisma triviale","Alismataceae"
"39","saanich","Alliaria petiolata",1,"Native of Eurasia; waste places and disturbed ground; locally well established.","","","","Alliaria petiolata","Brassicaceae"
"40","saanich","Allium acuminatum",1,"On sandy or rocky soil in exposed places; very common throughout.","","","AS","Allium acuminatum","Amaryllidaceae"
"41","saanich","Allium amplectens",1,"Open, dry ground; frequent in Ten Mile Point and occasional throughout the area of study. HLR Mill Hill report in BEN344.","","","AS","Allium amplectens","Amaryllidaceae"
"42","saanich","Allium cernuum",1,"Dry, open, grassy places; common throughout in suitable habitats.","","","AS","Allium cernuum","Amaryllidaceae"
"43","saanich","Allium geyeri var. tenerum",1,"Damp, open ground; occasional at Ten Mile Point, Cattle Point, Portage Inlet, Uplands, mouth of Millstream Creek and Sidney.","","typo correction","TL","Allium geyeri tenerum","Amaryllidaceae"
"44","saanich","Allium vineale",1,"Great Chain Island, north side, east of Oak Bay. Gull nesting island devoid of almost everything but annual weeds and grasses. Melburn collections Upland Park. Cruickshank iNaturalist observation Trial Island Ecological Reserve 2018.","","","","Allium vineale","Amaryllidaceae"
"45","saanich","Allotropa virgata",1,"Humus soil in coniferous forest; rare; first collected by J. R. Anderson in the Highland district in 1898; recently collected in Goldstream by M. C. Melburn in 1966 and 1967.","","","","Allotropa virgata","Ericaceae"
"46","saanich","Alnus rubra",1,"Moist woods, along the ditches and wet shoreline; common in suitable habitats throughout.","","","AS","Alnus rubra","Betulaceae"
"47","saanich","Alnus viridis ssp. sinuata",1,"Moist places, margins of streams and lakes; rare; restricted to Goldstream and the Langford areas.","","","","Alnus alnobetula sinuata","Betulaceae"
"48","saanich","Alopecurus aequalis",1,"In shallow waters and wet places; locally abundant; Roval Oak, Elk Lake, and Sidney.","","","","Alopecurus aequalis","Poaceae"
"49","saanich","Alopecurus carolinianus",1,"Waste areas; rare; known from the Uplands where it was collected by M. C. Melburn in 1961, 1965, and 1967; to our knowledge this species was collected for the first time in Oak Bay by Macoun in 1887. Collecdtions Christmas Hill Douglas, Penny, Donovan. Trial Island Donovan, Ceska.Several Oak Bay Ceskas, Donovan, Hartwell.","","","","Alopecurus carolinianus","Poaceae"
"50","saanich","Alopecurus geniculatus",1,"Native of Eurasia; shallow water and wet places; occasional in Saanich, Victoria, Oak Bay and at Island View Beach","","","","Alopecurus geniculatus","Poaceae"
"51","saanich","Alopecurus myosuroides",1,"Native of Europe; rare; known only from the Saanichton Experimental Farm. JWE 1939. On Lomer & Penny's non-established list.","","","","Alopecurus myosuroides","Poaceae"
"52","saanich","Alopecurus pratensis",1,"Introduced, now established in Victoria,Oak Bay, deep Cove and Royal Oak.","","","","Alopecurus pratensis","Poaceae"
"53","saanich","Alopecurus saccatus",1,"Wet meadows; restricted to the Sidney area. (?) No herbarium records found.","","","","Alopecurus saccatus","Poaceae"
"54","saanich","Alyssum alyssoides",1,"Waste places on dry soil; well established and weedy in some areas.","","","","Alyssum alyssoides","Brassicaceae"
"55","saanich","Amaranthus albus",1,"Goddard Siney 1934. MCM Oak Bay 1957-1958. G. Allen Cadboro Bay 2016. Hardy Blenkinsop lake 1942. MCM Cedar Hill X Road 1963. Records at V and CPNWH appear as both albus and blitoides. (?)","","","","Amaranthus albus","Amaranthaceae"
"56","saanich","Amaranthus blitoides",1,"Common weed of cultivated lands; introduced from tropical America and well established in Victoria, Saanich, Prospect Lake, and the Sidney area.","","","","Amaranthus blitoides","Amaranthaceae"
"57","saanich","Amaranthus fimbriatus",1,"Nguyen shoreline Esquimalt Lagoon iNaturalist observation 2020. Looks convincing - far out of normal range.","not in FPNW2","","","Amaranthus fimbriatus","Amaranthaceae"
"58","saanich","Amaranthus powellii",1,"Macoun Sidney 1913. Corner of Wilkinson and W Saanich Roads Marr 2007. Goddard Royal Oak 1934.","","","","Amaranthus powellii","Amaranthaceae"
"59","saanich","Amaranthus retroflexus",1,"Common weed of cultivated fields; introduced from tropical America and well established throughout. Molyneux 1955 Saanichton Experimental Farm.","","","","Amaranthus retroflexus","Amaranthaceae"
"60","saanich","Ambrosia chamissonis",1,"Sandy beaches; locally abundant.","","","","Ambrosia chamissonis","Asteraceae"
"61","saanich","Ambrosia trifida",1,"Native of Europe; moist soil and waste places; occasional weed in the area. No vouchers found. On Lomer & Penny's non-established list.","","","","Ambrosia trifida","Asteraceae"
"62","saanich","Amelanchier alnifolia",1,"Open woods, hillsides, and roadsides; common throughout.","","","AS","Amelanchier alnifolia semiintegrifolia","Rosaceae"
"63","saanich","Ammophila arenaria",1,"Sidney area and Sidney Island. Check for breviligulata and hybrids at V","","","","Ammophila arenaria","Poaceae"
"64","saanich","Amsinckia intermedia",1,"Dry, open ground; a weed of roadsides and waste places; Oak Bay, Victoria, and Sidney.","","","","Amsinckia menziesii intermedia","Boraginaceae"
"65","saanich","Amsinckia lycopsoides",1,"Rare; reported from Sidney by J. Macoun in 1913 and the Uplands by M. C. Melburn in 1953. H&C2018 mention 1921 historical SC BC, chiefly east of Cascades.","","","","Amsinckia lycopsoides","Boraginaceae"
"66","saanich","Amsinckia menziesii",1,"Dry, open places; rare; collected at Clover Point by M. C. Melburn in 1966. Oak Bay, Victoria, Sidney.","","","","Amsinckia menziesii","Boraginaceae"
"67","saanich","Amsinckia retrorsa",1,"A&OC Oak Bay; Gonzales Hill; Harling Point: Harling Point, golf course 1974. MCM Humber Road 1954. Hardy Oak Bay Golf Course 1949. Eastham Cadboro bay 1938. According to Matt Guillams from Santa Barbara Botanic Garden who is reviewing the UBC specimens, we have only A. menziesii in BC with no good specimens of A. retrorsa.","","","","Amsinckia menziesii menziesii","Boraginaceae"
"68","saanich","Amsinckia spectabilis",1,"Open, flat, and disturbed soil; rare or overlooked; the only records came from the Sidney area, where it was collected by J. Macoun in 1913 and the Uplands district by M. C. Melburn in 1953 and 1964. Records of A. menziesii and A. spectabilis should be verified.","","","","Amsinckia spectabilis","Boraginaceae"
"69","saanich","Anaphalis margaritacea",1,"Open woods and roadbanks; common throughout.","","","","Anaphalis margaritacea","Asteraceae"
"70","saanich","Anchusa officinalis",1,"Native of Europe; along roadsides; occasionally found as a weed in North Saanich and Brentwood.","","","","Anchusa officinalis","Boraginaceae"
"71","saanich","Anemone lyallii",1,"Woods, thickets, and open parkland; abundant in the past; becoming rare; Beacon Hill, Saanich, and Goldstream. Davidson Esquimalt 1912.","","","","Anemonoides grayi","Ranunculaceae"
"72","saanich","Anethum graveolens",1,"Marr Colwood: Coburg Peninsula; Esquimalt Lagoon; S end of Lagoon Road on the ocean side. 2007. Established?","","","","Anethum graveolens","Apiaceae"
"73","saanich","Angelica genuflexa",1,"Moist places; sporadic; Cordova Bay, Gordon Head, Elk Lake, and Goldstream.","","","","Angelica genuflexa","Apiaceae"
"74","saanich","Anisocarpus madioides",1,"Open woods, sporadic in Brentwood, Goldstream Chatham Islands and Highlands.","","","AS","Anisocarpus madioides","Asteraceae"
"75","saanich","Antennaria anaphaloides",1,"Grassy foothills; rare; Highland district. No vouchers located.","","","","Antennaria anaphaloides","Asteraceae"
"76","saanich","Antennaria dimorpha",1,"Krajina & Spilsbury Mt. Douglas 1950.","","","","Antennaria dimorpha","Asteraceae"
"77","saanich","Antennaria neglecta",1,"Open woods, grassy places; sporadic throughout. Check at V. no records on CDC Explorer for area.","","","","Antennaria neglecta","Asteraceae"
"78","saanich","Antennaria racemosa",1,"Moist, open woods; rare; Goldstream and Langford. A&OC Observatory Hill 1977.","","","","Antennaria racemosa","Asteraceae"
"79","saanich","Anthemis arvensis",1,"Native of Europe; naturalized and occasional in fields and waste places.","","","","Anthemis arvensis","Asteraceae"
"80","saanich","Anthemis cotula",1,"Native of Europe; common weed throughout.","","","","Anthemis cotula","Asteraceae"
"81","saanich","Anthoxanthum aristatum ssp. aristatum",1,"Gordon Head HLR","","","","Anthoxanthum aristatum aristatum","Poaceae"
