"","area","Family","TaxonName","iNatTaxon","HJ_comment","FPNW_note","critical_comments","reviewed","iNat_taxon"
"1","sji","Alismataceae","Alisma triviale","Alisma triviale","Localized, Trout lake, San Juan island; shallow and muddy soils. Zika Beaverton Valley Rd farm pond 2016.","","","","Alisma triviale"
"2","sji","Amaranthaceae","Amaranthus blitoides","Amaranthus blitoides","Local, sand dunes at Cattle Point, San Juan.","","","","Amaranthus blitoides"
"3","sji","Amaranthaceae","Amaranthus powellii","Amaranthus powellii","Waste soils, especially gardens and roadsides; uncommon but increasing on larger islands.","","","","Amaranthus powellii"
"4","sji","Amaranthaceae","Amaranthus retroflexus","Amaranthus retroflexus","Gardens and cultivated areas; occasional weed.","","","","Amaranthus retroflexus"
"5","sji","Amaranthaceae","Atriplex dioica","Atriplex dioica","Many records, all islands.","","","","Atriplex dioica"
"6","sji","Amaranthaceae","Atriplex gmelinii","Atriplex gmelinii","Saline soils; fairly common.","","","","Atriplex gmelinii"
"7","sji","Amaranthaceae","Atriplex littoralis","Atriplex littoralis","Peck Cattle Point, San Juan 1923, Zika Shaw Island 2001.","","","","Atriplex littoralis"
"8","sji","Amaranthaceae","Atriplex prostrata","Atriplex prostrata","Widespread Orcas, San Juan, Shaw.Specimens mostly at WTU - recheck A. hastata colections at BC herbariums.","","","","Atriplex prostrata"
"9","sji","Amaranthaceae","Chenopodiastrum murale","Chenopodiastrum murale","Gardens and cultivated soil, chiefly at Friday Harbour.","","","","Chenopodiastrum murale"
"10","sji","Amaranthaceae","Chenopodiastrum murale","Chenopodiastrum murale","Atkinson and Zika collections Friday Harbour.","","","","Chenopodiastrum murale"
"11","sji","Amaranthaceae","Chenopodium album","Chenopodium album","Garden and waste places. Common.","","","","Chenopodium album"
"12","sji","Amaranthaceae","Chenopodium berlandieri var. zschackei","Chenopodium berlandieri zschackei","Giblen North Finger Island 2007.Dunwiddie Sucia 2009.","","","","Chenopodium berlandieri zschackei"
"13","sji","Amaranthaceae","Oxybasis macrosperma","Oxybasis macrosperma","Walker Sucia 2018. Atkinson Richardson Marsh, Lopez 1992.","","","","Oxybasis macrosperma"
"14","sji","Amaranthaceae","Oxybasis rubra var. humilis","Oxybasis rubra humilis","Salt or brackish marshes, sometimes in exposed open mudflats; occasional.","","","","Oxybasis rubra humilis"
"15","sji","Amaranthaceae","Salicornia depressa","Salicornia depressa","Saline soils; rare along the eastern shore of Lopez.Also Deer Harbour, Orcas. Reported as S. europaea L.This species has generally been called Salicornia europaea by North American authors, but that name refers to a diploid European species that does not occur in North America.","","","","Salicornia depressa"
"16","sji","Amaranthaceae","Sarcocornia perennis","Salicornia perennis","Abundant. Reported as Salicornia virginica.","recorded by HJ: ‘Salicornia pacifica’; “FPNW2 appears to be following FNA (2003) which reports Sarcocornia perennis (prostrate, with woody stems readily rooting in the substrate) from BC and S. pacifica (procumbent to erect shrubs in which woody stems usually do not root) to include east coast of North America (New Hampshire south to Florida) , California and Mexico, but NOT BC. http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=129207; VASCAN has updated their names to Salicornia pacifica following a more recent treatment by Piirainen et al. 2017 that proposes a new infrageneric classification for Salicornia (incl. Sarcocornia) and shows Salicornia pacifica present in BC.Salicornia perennis is excluded. http://data.canadensys.net/vascan/search?q=sarcocorniaSo, you could move ahead of the pack and call your material Salicornia pacifica Standley sensu Piirianen et al. 2017 OR you could use the synonym Sarcocornia pacifica. I’ll propose the name change (Sarcocornia pacifica to Salicornia pacifica) for fall review, but it would not show up in Species Explorer/E-Flora until next year.” –MD","","","Salicornia perennis"
"17","sji","Amaryllidaceae","Allium acuminatum","Allium acuminatum","Dry gravely meadows and rocky benchland; large and small islands; abundant.","","","","Allium acuminatum"
"18","sji","Amaryllidaceae","Allium amplectens","Allium amplectens","Rare; no recent sightings; known from a few old collections and reports. Argyle district on San Juan Island. Meadows by the sea.","","","","Allium amplectens"
"19","sji","Amaryllidaceae","Allium cernuum","Allium cernuum","Widespread; rocky outcropson summit of Mt Constitution to transitional forests, gravely meadows and occasionally on strand.","","","","Allium cernuum"
"20","sji","Amaryllidaceae","Allium vineale","Allium vineale","In irregularly mowed meadow, former pasture, with Symphoricarpos albus, Rubus ursinus, full sun. Zika collection San Juan Island. Lloyd iNaturalist observation Barlow Bay, Lopez.","","","","Allium vineale"
"21","sji","Amaryllidaceae","Narcissus pseudonarcissus","Narcissus pseudonarcissus","Long persistant or adventive especially on Lopez and San Juan. Dunwiddie & Zika Patos Island 2018. D&Z N. poeticus from Patos also.","","","","Narcissus pseudonarcissus"
"22","sji","Apiaceae","Angelica lucida","Angelica lucida","Strand and wet, rich soils adjacent to salt water; few sites on San Juan and Lopez.","","","","Angelica lucida"
"23","sji","Apiaceae","Anthriscus caucalis","Anthriscus caucalis","Roadsides and less often strand or meadows; occasional. Several collections Sucia, San Juan.","","","","Anthriscus caucalis"
"24","sji","Apiaceae","Carum carvi","Carum carvi","Cultivated, roadsides chiefly on San Juan.","","","","Carum carvi"
"25","sji","Apiaceae","Cicuta douglasii","Cicuta douglasii","Occasional along shore of Sportsman Lake, San Juan.","","","","Cicuta douglasii"
"26","sji","Apiaceae","Conioselinum pacificum","Conioselinum gmelinii","Maritime and saline sites, especially shady coves or clay banks and cobble beaches; fairly common.","","","","Conioselinum gmelinii"
"27","sji","Apiaceae","Conium maculatum","Conium maculatum","Adventive of vacant lots, roadsides and other waste sites in the open; common and increasing.","","","","Conium maculatum"
"28","sji","Apiaceae","Daucus carota","Daucus carota","Dry rocky sites; fairly common.","","","","Daucus carota"
"29","sji","Apiaceae","Daucus pusillus","Daucus pusillus","Rocky outcrops; widespread but erratic in distribution.","","","","Daucus pusillus"
"30","sji","Apiaceae","Foeniculum vulgare","Foeniculum vulgare","Naturalized on gravelly, open slopes near Argyle, San Juan.","","","","Foeniculum vulgare"
"31","sji","Apiaceae","Glehnia leiocarpa","Glehnia littoralis leiocarpa","Strand; no recent records. Deception Bay Park on Whidbey 1965.","","","","Glehnia littoralis leiocarpa"
"32","sji","Apiaceae","Heracleum mantegazzianum","Heracleum mantegazzianum","Cultivated San Juan and Lopez. Roadside weed on Orcas.","","","","Heracleum mantegazzianum"
"33","sji","Apiaceae","Heracleum maximum","Heracleum maximum","Common; wet seeps, open stream valleys, coastal bluff; usually near salt water.","","","","Heracleum maximum"
"34","sji","Apiaceae","Lilaeopsis occidentalis","Lilaeopsis occidentalis","Muddy, rocky pools just above high-tide mark; rare. Chiefly southern shore of San Juan.","","","","Lilaeopsis occidentalis"
"35","sji","Apiaceae","Lomatium nudicaule","Lomatium nudicaule","Common; meadows and ocasionally grassy beaches.","","","","Lomatium nudicaule"
"36","sji","Apiaceae","Lomatium utriculatum","Lomatium utriculatum","Throughout and locally abundant; meadows and rock outcrops. Abundant at Iceberg Point.","","","","Lomatium utriculatum"
"37","sji","Apiaceae","Oenanthe sarmentosa","Oenanthe sarmentosa","Common; pools and streams in shady woods, lake edges and ditches.","","","","Oenanthe sarmentosa"
"38","sji","Apiaceae","Osmorhiza berteroi","Osmorhiza berteroi","Shady, coniferous woods; common to abundant.","","","","Osmorhiza berteroi"
"39","sji","Apiaceae","Osmorhiza purpurea","Osmorhiza purpurea","Dense, moist coniferous woods; Mt Constitution and Moran State Park; also Blakely; rare.","","","","Osmorhiza purpurea"
"40","sji","Apiaceae","Pastinaca sativa","Pastinaca sativa","Peck just above beach at Argyle date? Represented by herbarium collections but not considered established.","","","","Pastinaca sativa"
"41","sji","Apiaceae","Perideridia montana","Perideridia gairdneri","Locally abundant, less disturbd prairies; most numerous at Iceberg Point.","","","","Perideridia gairdneri"
"42","sji","Apiaceae","Petroselinum crispum","Petroselinum crispum","Occasionally established as roadside escape, Friday harbour, Roche Harbour, Yellow Island.","","","","Petroselinum crispum"
"43","sji","Apiaceae","Pimpinella saxifraga","Pimpinella saxifraga","Once established near Roche Harbour, Peck collections 1923. Not found since.","","","","Pimpinella saxifraga"
"44","sji","Apiaceae","Sanicula arctopoides","Sanicula arctopoides","Locations witheld Orcas, San Juan, Lopez, Decatur. See S. x howellii","","rare hybrid noted but does not appear to have taxonomic status","AS","Sanicula arctopoides"
"45","sji","Apiaceae","Sanicula arctopoides","Sanicula arctopoides","Rare hybrid, an apparent cross of S.crassicaulis and S.arctopoides only known from a Lyall collections on San Juan and Whidbey 1858. Not recently relocated.","","rare hybrid noted but does not appear to have taxonomic status","AS","Sanicula arctopoides"
"46","sji","Apiaceae","Sanicula bipinnatifida","Sanicula bipinnatifida","Dry, glacial outwash meadows; scattered colonies along southern edge of islands from Point Colville, Lopez to Kanaka Bay, San Juan.","","","","Sanicula bipinnatifida"
"47","sji","Apiaceae","Sanicula crassicaulis","Sanicula crassicaulis","Dry transitional forest, rocky slopes above salt water. Vars tripartita and crassicaulis both present.","","","","Sanicula crassicaulis"
"48","sji","Apiaceae","Sium suave","Sium suave","Locally numerous in muddy places and shallow water of Sportsman and Egg Lakes, San Juan.","","","","Sium suave"
"49","sji","Apiaceae","Torilis arvensis","Torilis arvensis","Roadsides, grassy thickets, Orcas, San Juan, Skull","","","","Torilis arvensis"
"50","sji","Apiaceae","Yabea microcarpa","Yabea microcarpa","Damp meadows and vernal pools; rare; historically known from two sites on San Juan. No recent records. Peck Friday Harbour 1923.","","","","Yabea microcarpa"
"51","sji","Apocynaceae","Apocynum androsaemifolium","Apocynum androsaemifolium","Localized on dry, rocky slopes and open woods of Mt Constitution and in meadow habitat near false Bay, San Juan.","","","","Apocynum androsaemifolium"
"52","sji","Apocynaceae","Vinca major","Vinca major","Marginally escaping and spreading on larger islands.","","","","Vinca major"
"53","sji","Aquifoliaceae","Ilex aquifolium","Ilex aquifolium","Cultivated; infrequently naturalized in forest near settlements.","","","","Ilex aquifolium"
"54","sji","Araceae","Arum italicum","Arum italicum","Cultivated; escaped or long persistant along Deadman Bay, San Juan. iNaturalist observation Fisherman BaySpit Preserve, Lopez 2021. Zika Buck Bay, Orcas 2021.","","","","Arum italicum"
"55","sji","Araceae","Lemna minor","Lemna minor","Abundant floating aquatic.","","","","Lemna minor"
"56","sji","Araceae","Lemna trisulca","Lemna trisulca","Small ponds and lake margins, uncommon.","","","","Lemna trisulca"
