"","Family","Taxon","HJ_comment"
"1","Amaranthaceae","Amaranthus retroflexus","Gardens and cultivated areas; occasional weed."
"2","Amaranthaceae","Chenopodium album","Garden and waste places. Common."
"3","Amaranthaceae","Oxybasis macrosperma","Walker Sucia 2018. Atkinson Richardson Marsh, Lopez 1992."
"4","Amaranthaceae","Oxybasis rubra var. humilis","Salt or brackish marshes, sometimes in exposed open mudflats; occasional."
"5","Amaranthaceae","Sarcocornia perennis","Abundant. Reported as Salicornia virginica."
"6","Apiaceae","Pastinaca sativa","Peck just above beach at Argyle date? Represented by herbarium collections but not considered established."
"7","Apiaceae","Pimpinella saxifraga","Once established near Roche Harbour, Peck collections 1923. Not found since."
"8","Apiaceae","Sanicula arctopoides","Locations witheld Orcas, San Juan, Lopez, Decatur. See S. x howellii"
"9","Apiaceae","Sanicula arctopoides","Locations witheld Orcas, San Juan, Lopez, Decatur. See S. x howellii"
"10","Apiaceae","Sanicula crassicaulis","Dry transitional forest, rocky slopes above salt water. Vars tripartita and crassicaulis both present."
"11","Apiaceae","Torilis arvensis","Roadsides, grassy thickets, Orcas, San Juan, Skull"
"12","Araliaceae","Oplopanax horridus","Forestry introduction in stream valleys near Cascade lake, Orcas; for a time established there but no longer present."
"13","Asparagaceae","Hyacinthoides hispanica","Introduced garden species; excaping and occasionally persisting in residential waste places."
"14","Aspleniaceae","Asplenium trichomanes","Rare; shaded, wet rock crevices; Mt. Constitution, Mt. Dallas and Willow Island. Zika Turtleback, Orcas 2021."
"15","Asteraceae","Agoseris grandiflora var. leptophylla","Fairly common throughout on prairies, locally common on Mt Constitution."
"16","Asteraceae","Agoseris heterophylla","Occasional in less disturbed meadows; San Juan to Stuart."
"17","Asteraceae","Antennaria microphylla","Local; Mt Constitution; stony ground. Reported as A. rosea in WPofSJI"
"18","Asteraceae","Anthemis arvensis","Occasional in towns."
"19","Asteraceae","Artemisia absinthium","Occasional adventive on sandy soils, San Juan."
"20","Asteraceae","Artemisia tilesii","Localized but well represented on high, rocky ridges of Mt Constitution."
"21","Asteraceae","Centaurea × pratensis","Towns and roadsides; widespread mostly on Lopez but well established and increasing on San Juan."
"22","Asteraceae","Centaurea stoebe","Locally common Friday Harbour; occasional elsewhere. Earliest collection Peck, Shaw Island 1923. Olga, Orcas Tolle 2019 iNaturalist observation. DeVito Cattle Point, San Juan 2020 iNaturalist observation."
"23","Asteraceae","Chondrilla juncea","Historically present on Orcas; weedy fields."
"24","Asteraceae","Erigeron compositus","Rare and local near the summit of Mt Constitution on steep[ rocky cliffs. HJ obs 1984."
