"","area","Family","TaxonName","iNatTaxon","HJ_comment","FPNW_note","critical_comments","reviewed","iNat_taxon"
"1","ssi","Alismataceae","Alisma triviale","Alisma triviale","ICS record for island. Location? HJ obs St. Mary's Lake 1999.","","","","Alisma triviale"
"2","ssi","Amaranthaceae","Amaranthus powellii","Amaranthus powellii","Gardens, waste ground.","","","","Amaranthus powellii"
"3","ssi","Amaranthaceae","Atriplex dioica","Atriplex dioica","AC at Young's salt spring 1982. TRA Fernwood 1956.","","","","Atriplex dioica"
"4","ssi","Amaranthaceae","Atriplex gmelinii","Atriplex gmelinii","Strand and mudflats.","","","","Atriplex gmelinii"
"5","ssi","Amaranthaceae","Atriplex hortensis","Atriplex hortensis","TRA Fernwood 1956. No information on naturalization.","","","","Atriplex hortensis"
"6","ssi","Amaranthaceae","Chenopodium album","Chenopodium album","Garden and waste places.","","","","Chenopodium album"
"7","ssi","Amaranthaceae","Oxybasis macrosperma","Oxybasis macrosperma","TRA Ganges 1959.","","","","Oxybasis macrosperma"
"8","ssi","Amaranthaceae","Oxybasis rubra var. humilis","Oxybasis rubra humilis","Salt marshes.","","","","Oxybasis rubra humilis"
"9","ssi","Amaranthaceae","Sarcocornia perennis","Salicornia perennis","Mud flats, salt marshes and beaches.","recorded by HJ: ‘Salicornia pacifica’; “FPNW2 appears to be following FNA (2003) which reports Sarcocornia perennis (prostrate, with woody stems readily rooting in the substrate) from BC and S. pacifica (procumbent to erect shrubs in which woody stems usually do not root) to include east coast of North America (New Hampshire south to Florida) , California and Mexico, but NOT BC. http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=129207; VASCAN has updated their names to Salicornia pacifica following a more recent treatment by Piirainen et al. 2017 that proposes a new infrageneric classification for Salicornia (incl. Sarcocornia) and shows Salicornia pacifica present in BC.Salicornia perennis is excluded. http://data.canadensys.net/vascan/search?q=sarcocorniaSo, you could move ahead of the pack and call your material Salicornia pacifica Standley sensu Piirianen et al. 2017 OR you could use the synonym Sarcocornia pacifica. I’ll propose the name change (Sarcocornia pacifica to Salicornia pacifica) for fall review, but it would not show up in Species Explorer/E-Flora until next year.” –MD","","","Salicornia perennis"
"10","ssi","Amaryllidaceae","Allium acuminatum","Allium acuminatum","Grassy, south facing bluffs.","","","","Allium acuminatum"
"11","ssi","Amaryllidaceae","Allium amplectens","Allium amplectens","Mt Maxwell grassy ledge with vernal seepage. Isabella Island rocky shore.","","","","Allium amplectens"
"12","ssi","Amaryllidaceae","Allium cernuum","Allium cernuum","South facing bluffs, dry ridges throughout.","","","","Allium cernuum"
"13","ssi","Amaryllidaceae","Allium geyeri var. tenerum","Allium geyeri tenerum","Deadman Islands: rock off E and W end of islands. Fulford Harbour on islet at high tide line.Isabella Island.","","","","Allium geyeri tenerum"
"14","ssi","Amaryllidaceae","Narcissus pseudonarcissus","Narcissus pseudonarcissus","Persisting from cultivation","","","","Narcissus pseudonarcissus"
"15","ssi","Anacardiaceae","Toxicodendron diversilobum","Toxicodendron diversilobum","HLR Sansum narrows shore below Mt Erskine 2002, FL same 2006.","","","","Toxicodendron diversilobum"
"16","ssi","Apiaceae","Aegopodium podagraria","Aegopodium podagraria","Dunnison Fulford iNaturalist observation 2021. Appears to be naturalized.","","","","Aegopodium podagraria"
"17","ssi","Apiaceae","Angelica genuflexa","Angelica genuflexa","HJ abundant in willow-dogwood woods Ford Lake shoreline 1999.","","","","Angelica genuflexa"
"18","ssi","Apiaceae","Anthriscus caucalis","Anthriscus caucalis","TRA Ganges, Fulford","","","","Anthriscus caucalis"
"19","ssi","Apiaceae","Anthriscus sylvestris","Anthriscus sylvestris","FL Fulford grassy roadside 1996.","","","","Anthriscus sylvestris"
"20","ssi","Apiaceae","Carum carvi","Carum carvi","TRA Beaver Point","","","","Carum carvi"
"21","ssi","Apiaceae","Cicuta douglasii","Cicuta douglasii","HJ Cusheon Lake, TRA Ganges, Stowell Lake","","","","Cicuta douglasii"
"22","ssi","Apiaceae","Conioselinum pacificum","Conioselinum gmelinii","Beaches and sandy shorelines.","","","","Conioselinum gmelinii"
"23","ssi","Apiaceae","Conium maculatum","Conium maculatum","location? Collector?","","","","Conium maculatum"
"24","ssi","Apiaceae","Daucus carota","Daucus carota","Roadsides, cultivated ground, meadows.","","","","Daucus carota"
"25","ssi","Apiaceae","Daucus pusillus","Daucus pusillus","Dry, open places, grassy bluffs.","","","","Daucus pusillus"
"26","ssi","Apiaceae","Foeniculum vulgare","Foeniculum vulgare","Caldwell Vesuvius 1974.","","","","Foeniculum vulgare"
"27","ssi","Apiaceae","Lomatium dissectum","Lomatium dissectum","Dry, shady forest below cliff on Mt Maxwell. Single site HJ 1980. McEwen same location 2016-2018.","","","","Lomatium dissectum"
"28","ssi","Apiaceae","Lomatium grayi","Lomatium grayi","Calder Mt Maxwell 1961. HJ Mt Maxwell summit down to 1400' south facing cliffs. HLR Maxwell Point 2010.","","","","Lomatium grayi"
"29","ssi","Apiaceae","Lomatium nudicaule","Lomatium nudicaule","Seaside meadows, grassy shorelines and banks.","","","","Lomatium nudicaule"
"30","ssi","Apiaceae","Lomatium utriculatum","Lomatium utriculatum","Grassy bluffs, rocky meadows.","","","","Lomatium utriculatum"
"31","ssi","Apiaceae","Myrrhis odorata","Myrrhis odorata","TRA two collections gardens in Ganges date? Escaping?","","","","Myrrhis odorata"
"32","ssi","Apiaceae","Oenanthe sarmentosa","Oenanthe sarmentosa","Pools and streams in shady woods, lake edges and ditches.","","","","Oenanthe sarmentosa"
"33","ssi","Apiaceae","Osmorhiza berteroi","Osmorhiza berteroi","Open woodlands, trails.","","","","Osmorhiza berteroi"
"34","ssi","Apiaceae","Pastinaca sativa","Pastinaca sativa","ICS Reginald Hill 1977.","","","","Pastinaca sativa"
"35","ssi","Apiaceae","Perideridia montana","Perideridia gairdneri","TRA Beaver Point, HJ obs there 1996.","","","","Perideridia gairdneri"
"36","ssi","Apiaceae","Sanicula crassicaulis","Sanicula crassicaulis","Dry transitional forest, rocky slopes above salt water.","","","","Sanicula crassicaulis"
"37","ssi","Apiaceae","Sanicula graveolens","Sanicula graveolens","Calder Mt Maxwell 1961. HJ Mt Maxwell 1980. HJ Bryant Hill Park 2001.","","","","Sanicula graveolens"
"38","ssi","Apiaceae","Sium suave","Sium suave","TRA St Marys Lake, HJ St Marys Lake shallow water shoreline 1981. PDW St Marys Lake 1976.","","","","Sium suave"
"39","ssi","Apiaceae","Torilis arvensis","Torilis arvensis","FL Isabella Point 1996 Mt Erskine 2002. HJ Burgoyne Bay, Southy Point 1998.","","","","Torilis arvensis"
"40","ssi","Apiaceae","Torilis japonica","Torilis japonica","Lynn Broadwell Rd iNaturalist observation 2020.","","","","Torilis japonica"
"41","ssi","Apiaceae","Yabea microcarpa","Yabea microcarpa","HJ Mt Maxwell, Reginald Hill 2003, HLR Maxwell Point 2003, FL Sansum Narrows Rocky, grassy, mossy Quercus garryana slope 2002.","","","","Yabea microcarpa"
"42","ssi","Apocynaceae","Apocynum androsaemifolium","Apocynum androsaemifolium","location? Collector?","","","","Apocynum androsaemifolium"
"43","ssi","Apocynaceae","Vinca major","Vinca major","Straley Beddis Road 1991.","","","","Vinca major"
