Family,Taxon,HJ_comment
Amaranthaceae,Amaranthus retroflexus,Gardens and cultivated areas; occasional weed.
Amaranthaceae,Chenopodium album,Garden and waste places. Common.
Amaranthaceae,Oxybasis macrosperma,"Walker Sucia 2018. Atkinson Richardson Marsh, Lopez 1992."
Amaranthaceae,Oxybasis rubra var. humilis,"Salt or brackish marshes, sometimes in exposed open mudflats; occasional."
Amaranthaceae,Sarcocornia perennis,Abundant. Reported as Salicornia virginica.
Apiaceae,Pastinaca sativa,Peck just above beach at Argyle date? Represented by herbarium collections but not considered established.
Apiaceae,Pimpinella saxifraga,"Once established near Roche Harbour, Peck collections 1923. Not found since."
Apiaceae,Sanicula arctopoides,"Locations witheld Orcas, San Juan, Lopez, Decatur. See S. x howellii"
Apiaceae,Sanicula crassicaulis,"Dry transitional forest, rocky slopes above salt water. Vars tripartita and crassicaulis both present."
Apiaceae,Torilis arvensis,"Roadsides, grassy thickets, Orcas, San Juan, Skull"
Araliaceae,Oplopanax horridus,"Forestry introduction in stream valleys near Cascade lake, Orcas; for a time established there but no longer present."
Asparagaceae,Hyacinthoides hispanica,Introduced garden species; excaping and occasionally persisting in residential waste places.
Aspleniaceae,Asplenium trichomanes,"Rare; shaded, wet rock crevices; Mt. Constitution, Mt. Dallas and Willow Island. Zika Turtleback, Orcas 2021."
Asteraceae,Agoseris grandiflora var. leptophylla,"Fairly common throughout on prairies, locally common on Mt Constitution."
Asteraceae,Agoseris heterophylla,Occasional in less disturbed meadows; San Juan to Stuart.
Asteraceae,Antennaria microphylla,Local; Mt Constitution; stony ground. Reported as A. rosea in WPofSJI
Asteraceae,Anthemis arvensis,Occasional in towns.
Asteraceae,Artemisia absinthium,"Occasional adventive on sandy soils, San Juan."
Asteraceae,Artemisia tilesii,"Localized but well represented on high, rocky ridges of Mt Constitution."
Asteraceae,Centaurea × pratensis,Towns and roadsides; widespread mostly on Lopez but well established and increasing on San Juan.
Asteraceae,Centaurea stoebe,"Locally common Friday Harbour; occasional elsewhere. Earliest collection Peck, Shaw Island 1923. Olga, Orcas Tolle 2019 iNaturalist observation. DeVito Cattle Point, San Juan 2020 iNaturalist observation."
Asteraceae,Chondrilla juncea,Historically present on Orcas; weedy fields.
Asteraceae,Erigeron compositus,Rare and local near the summit of Mt Constitution on steep[ rocky cliffs. HJ obs 1984.
Asteraceae,Eriophyllum lanatum var. leucophyllum,"Common; open, rocky sites or gravelly outwash meadows."
Asteraceae,Eurybia merita,"Rare in summit area of Mt Constitution; steep, rocky cliffs and talus. Reported as Aster sibiricus var mertius"
Asteraceae,Eurybia radulina,Beattie Orcas 1909.
Asteraceae,Filago pyramidata,"F. germanica reported. Moist, open places and fields. Comp. F. pyramidata"
Asteraceae,Grindelia hirsutula,Common throughout.
Asteraceae,Grindelia squarrosa,"Shaded rocky talus and cliffs, local on Mt Constitution."
Asteraceae,Hieracium scouleri,Meadows and forest edges; known from historic report in Yellow-Wasp group. DT 1956. reported as H. albertinium Farr.
Asteraceae,Leontodon saxatilis,"Vernal pools and damp, open ruderal sites; widespread but irregular."
