Type,Order_beginning_dataframe,Parsed,DarwinCore field,Temp field,Definition,Values,Note
taxonomic,1,beginning,scientificName,,"The full scientific name, with authorship and date information if known. When forming part of an Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the IdentificationQualifier term.",,All elements included except authority
taxonomic,2,beginning,scientificNameAuthorship,,The authorship information for the scientificName formatted according to the conventions of the applicable nomenclaturalCode.,,
identifier,3,beginning,taxonID,,A global unique identifier for the taxon (name in a classification).,,
taxonomic,4,beginning,kingdom,,,,
taxonomic,5,beginning,phylum,,,,
taxonomic,6,beginning,class,,,,
taxonomic,7,beginning,order,,,,
taxonomic,8,beginning,suborder,,,,
taxonomic,9,beginning,infraorder,,,,
taxonomic,10,beginning,superfamily,,,,
taxonomic,11,beginning,family,,,,
taxonomic,12,beginning,genus,,,,
taxonomic,13,beginning,subgenus,,,,
taxonomic,14,beginning,specificEpithet,,,,
taxonomic,15,beginning,NA,hybrid,,,Relevant DarwinCore field is infraspecificEpithet
taxonomic,16,beginning,NA,subspecies,,,Relevant DarwinCore field is infraspecificEpithet
taxonomic,17,beginning,NA,variety,,,Relevant DarwinCore field is infraspecificEpithet
taxonomic,18,beginning,NA,form,,,Relevant DarwinCore field is infraspecificEpithet
taxonomic,19,end,infraspecificEpithet,,,,
taxonomic,20,end,taxonRank,,The taxonomic rank of the most specific name in the scientificName.,"subspecies, varietas, forma, species, genus",
source,21,beginning,institutionCode,,The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.,,
source,22,beginning,collectionCode,,,,
identifier,23,beginning,catalogNumber,,An identifier (preferably unique) for the record within the data set or collection.,,
source,24,beginning,datasetName,,The name identifying the data set from which the record was derived.,,
identifier,25,beginning,occurrenceID,,"An identifier for the Occurrence (as opposed to a particular digital record of the occurrence). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the occurrenceID globally unique.",,
source,26,beginning,recordedBy,,"A list (concatenated and separated) of names of people, groups, or organizations responsible for recording the original Occurrence. The primary collector or observer, especially one who applies a personal identifier (recordNumber), should be listed first.",,
identifier,27,beginning,recordNumber,,"An identifier given to the Occurrence at the time it was recorded. Often serves as a link between field notes and an Occurrence record, such as a specimen collector's number.",,
identifier,28,beginning,fieldNumber,,An identifier given to the event in the field. Often serves as a link between field notes and the Event.,,
time,29,beginning,eventDate,,"The date-time or interval during which an Event occurred. For occurrences, this is the date-time when the event was recorded. Not suitable for a time in a geological context.",,
time,30,end,year,,,,
time,31,end,month,,,,
time,32,end,day,,,,
source,33,beginning,basisOfRecord,,The specific nature of the data record.,"PreservedSpecimen, FossilSpecimen, LivingSpecimen, MaterialSample, Event, HumanObservation, MachineObservation, Taxon, Occurrence, MaterialCitation",
location,34,beginning,locality,,,,
location,35,beginning,locationRemarks,,Comments or notes about the Location.,,
location,36,beginning,island,,,,
location,37,beginning,stateProvince,,,,
location,38,beginning,country,,,,
location,39,beginning,countryCode,,,,
location,40,beginning,decimalLatitude,,,,
location,41,beginning,decimalLongitude,,,,
location,42,beginning,coordinateUncertaintyInMeters,,,,
location,43,beginning,georeferencedBy,,,,
location,44,beginning,georeferenceVerificationStatus,,A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description for the Location of the Occurrence.,"unable to georeference, requires georeference, requires verification, verified by data custodian, verified by contributor",
location,45,beginning,georeferenceProtocol,,"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.",,
location,46,beginning,georeferenceRemarks,,"Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in georeferenceProtocol.",,
location,47,beginning,habitat,,A category or description of the habitat in which the Event occurred.,,
location,48,beginning,verbatimDepth,,,,
location,49,beginning,verbatimElevation,,,,
metadata_methods,50,beginning,occurrenceStatus,,A statement about the presence or absence of a Taxon at a Location.,"present, absent",
metadata_methods,51,beginning,individualCount,,The number of individuals present at the time of the Occurrence.,,
metadata_methods,52,beginning,samplingProtocol,,"The names of, references to, or descriptions of the methods or protocols used during an Event.",,
metadata_bio,53,beginning,occurrenceRemarks,,,,
metadata_bio,54,beginning,individualCount,,,,
metadata_bio,55,beginning,sex,,,,
metadata_bio,56,beginning,establishmentMeans,,The process by which the biological individual(s) represented in the Occurrence became established at the location.,,
metadata_bio,57,beginning,NA,provincialStatus,,,It doesn’t look like there are DarwinCore fields for conservation rankings
metadata_bio,58,beginning,NA,nationalStatus,,,It doesn’t look like there are DarwinCore fields for conservation rankings
metadata_taxonomy,59,beginning,identifiedBy,,"A list (concatenated and separated) of names of people, groups, or organizations who assigned the Taxon to the subject.",,
metadata_taxonomy,60,beginning,identificationQualifier,,,,
metadata_taxonomy,61,beginning,identificationRemarks,,,,
metadata_taxonomy,62,beginning,previousIdentifications,,,,
references,63,beginning,bibliographicCitation,,A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used.,,
references,64,beginning,associatedReferences,,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the Occurrence.",,
