"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Acipenser transmontanus","Richardson, 1836","","white sturgeon","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Acipenseriformes","","","Acipenseridae","","","Acipenser","transmontanus",,"",,"native","S2 (2018)","1-E","2023-06-24","","iNaturalist","",,"2023-06-24","","iNaturalist","",,1,"new 2023","observed","",93194,"FIS"
"Agonopsis vulsa","(Jordan & Gilbert, 1880)","","northern spearnose poacher","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Agonidae","Agoninae","","Agonopsis","vulsa",,"",,"native","SNR",,"1995-02-25","Charlie Gibbs","PMLS","",,"2008-05-22","","iNaturalist","",,4,"confirmed","observed","",180027,"FIS"
"Ammodytes personatus","Girard, 1856","","Pacific sand lance","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Trachinoidei","","Ammodytidae","","","Ammodytes","personatus",,"",,"native","SNR",,"1993-08-16","Andy Lamb","PMLS","",,"2023-08-06","","iNaturalist","",,20,"confirmed","observed","",201784,"FIS"
"Anarrhichthys ocellatus","Ayres, 1855","","wolf-eel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Anarhichadidae","","","Anarrhichthys","ocellatus",,"",,"native","SNR",,"1994-02-26","Charlie Gibbs","PMLS","",,"2008-07-19","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",60635,"FIS"
"Anoplarchus purpurescens","Gill, 1861","","high cockscomb","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Stichaeidae","Xiphisterinae","","Anoplarchus","purpurescens",,"",,"native","SNR",,"1969-02-22","Andy Lamb","PMLS","",,"2023-06-04","","iNaturalist","",,16,"confirmed","observed","",67316,"FIS"
"Apodichthys flavidus","Girard, 1854","","penpoint gunnel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Zoarcoidei","","Pholidae","Apodichthyinae","","Apodichthys","flavidus",,"",,"native","SNR",,"1969-02-22","Andy Lamb","PMLS","",,"2023-08-06","","iNaturalist","",,20,"confirmed","observed","",67408,"FIS"
"Artedius fenestralis","Jordan & Gilbert, 1883","","padded sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Oligocottinae","","Artedius","fenestralis",,"",,"native","SNR",,"1968-08-02","Andy Lamb","PMLS","",,"2022-07-31","","iNaturalist","",,9,"confirmed","observed","",117527,"FIS"
"Artedius harringtoni","(Starks, 1896)","","scalyhead sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Oligocottinae","","Artedius","harringtoni",,"",,"native","SNR",,"1969-02-21","Andy Lamb","PMLS","",,"2023-07-16","","iNaturalist","",,157,"confirmed","observed","",117528,"FIS"
"Artedius lateralis","(Girard, 1854)","","smoothhead sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Oligocottinae","","Artedius","lateralis",,"",,"native","SNR",,"1995-02-23","Charlie Gibbs","PMLS","",,"2023-06-24","","iNaturalist","",,4,"confirmed","observed","",117529,"FIS"
"Asemichthys taylori","Gilbert, 1912","","spinynose sculpin","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","Cottoidei","","Psychrolutidae","Radulininae","","Asemichthys","taylori",,"",,"native","SNR",,"1973-09-20","Andy Lamb","PMLS","",,"2022-07-18","","iNaturalist","",,17,"confirmed","observed","",172639,"FIS"
