"Taxon","Matched.Taxon"
"Satureja douglasii","Clinopodium douglasii"
"Saxifraga bronchialis subsp. austromontana","Saxifraga bronchialis ssp. austromontana"
"Saxifraga caespitosa","Saxifraga cespitosa"
"Scilla nonscripta","Hyacinthoides × massartiana"
"Scirpus acutus","Schoenoplectus acutus"
"Scirpus validus","Schoenoplectus acutus"
"Sedum lanceolatum","Sedum lanceolatum var. nesioticum"
"Sedum lanceolatum nesioticum","Sedum lanceolatum var. nesioticum"
"Sedum lanceolatum nesioticum","Sedum lanceolatum var. nesioticum"
"Sedum rupestre","Petrosedum rupestre"
"Sellaria nitens","Stellaria nitens"
"Senecio fremontii","Senecio fremontii var. fremontii"
"Senecio jacobaea","Jacobaea vulgaris"
"Silene alba","Silene latifolia"
"Sisyrinchium idahoense","Sisyrinchium idahoense var. idahoense"
"Sisyrinchium idahoense idahoense","Sisyrinchium idahoense var. idahoense"
"Sisyrinchium idahoensis","Sisyrinchium idahoense var. idahoense"
"Smilicina racemosa","Maianthemum racemosum ssp. amplexicaule"
"Solanum americanum var. nodiflorum","Solanum americanum"
"Sonchus arvensis","Sonchus arvensis ssp. arvensis"
"Sonchus arvensis arvensis","Sonchus arvensis ssp. arvensis"
"Sonchus arvensis var. arvensis","Sonchus arvensis ssp. arvensis"
"Sorbus scopulina cascadensis","Sorbus scopulina var. cascadensis"
"Sorbus sitchensis var sitchensis","Sorbus sitchensis var. sitchensis"
"Spergularia canadensis","Spergularia canadensis var. occidentalis"
"Spergularia canadensis var occidentalis","Spergularia canadensis var. occidentalis"
"Spergularia macrotheca macrotheca","Spergularia macrotheca"
"Spergularia macrotheca var. macrotheca","Spergularia macrotheca"
"Spergularia salina","Spergularia marina"
"Spiraea douglasii douglasii","Spiraea douglasii"
"Spiraea douglasii var menziesii","Spiraea douglasii"
"Spiraea splendens var splendens","Spiraea splendens"
"Spirea douglasii spp. douglasii","Spiraea douglasii"
"Stachys chamissonis","Stachys chamissonis var. cooleyae"
"Stachys chamissonis cooleyae","Stachys chamissonis var. cooleyae"
"Stachys cooleyae","Stachys chamissonis var. cooleyae"
"Stellaria borealis","Stellaria borealis ssp. sitchana"
"Stellaria borealis sitchana","Stellaria borealis ssp. sitchana"
"Stellaria borealis sitchana","Stellaria borealis ssp. sitchana"
"Stellaria calycantha","Stellaria borealis ssp. sitchana"
"Stellaria longipes","Stellaria longipes ssp. longipes"
"Stipa lemmonnii","Eriocoma lemmonii"
"Streptopus lanceolatus","Streptopus lanceolatus var. curvipes"
"Symphoricarpos albus","Symphoricarpos albus var. laevigatus"
"Symphoricarpos albus albus","Symphoricarpos albus var. laevigatus"
"Symphoricarpos albus var laevigatus","Symphoricarpos albus var. laevigatus"
"Symphoricarpos mollis hesperius","Symphoricarpos mollis"
"Symphoricarpos mollis var. hesperius","Symphoricarpos mollis"
"Symphyotrichum foliaceum","Symphyotrichum foliaceum var. foliaceum"
"T. dichotomum","Trifolium dichotomum"
"T. incarnatum","Trifolium incarnatum"
"T. maritimum","Triglochin maritima"
"T. microcephalum","Trifolium microcephalum"
"T. microdon","Trifolium microdon"
"T. pratense","Trifolium pratense"
"T. subterraneum","Trifolium subterraneum"
"T. vulgare","Tanacetum vulgare"
"T. wormskjoldii","Trifolium wormskioldii"
"Taraxacum erythrospermum","Taraxacum erythrospermum agg."
"Taraxacum laevigatum","Taraxacum erythrospermum agg."
"Taraxacum officinale","Taraxacum officinale agg."
"Tellima grandiflorum","Tellima grandiflora"
"Thalspi arvense","Thlaspi arvense"
"Tiarella trifoliata laciniata","Tiarella trifoliata var. laciniata"
"Tiarella trifoliata trifoliata","Tiarella trifoliata var. trifoliata"
"Tiarella trifoliata unifoliata","Tiarella trifoliata var. unifoliata"
"Torilis japonica (arvense?)","Torilis japonica"
"Torreyochloa pallida pauciflora","Torreyochloa pallida var. pauciflora"
"Torreyochloa pauciflora","Torreyochloa pallida var. pauciflora"
"Triantha occidentalis brevistyla","Triantha occidentalis ssp. brevistyla"
"Trientalis arctica","Lysimachia europaea ssp. arctica"
"Trientalis borealis ssp. latifolia","Lysimachia latifolia"
"Trientalis latifolia","Lysimachia latifolia"
"Trifolium glomerata","Trifolium glomeratum"
"Trifolium oligathum","Trifolium oliganthum"
"Trifolium procumbens","Trifolium campestre"
"Trifolium willdenowii","Trifolium willdenovii"
"Triglochin americanum","Triglochin maritima"
"Triglochin concinnum","Triglochin concinna var. concinna"
"Trillium ovatum","Trillium ovatum var. ovatum"
"Trisetum cernuum var. canescens","Trisetum canescens"
"Trollius laxus","Trollius laxus ssp. albiflorus"
"Trollius laxus albiflorus","Trollius laxus ssp. albiflorus"
"U. vulgaris","Utricularia macrorhiza"
"Urtica gracilis gracilis","Urtica gracilis"
"Utricularia vulgaris","Utricularia macrorhiza"
"V. beccabunga ssp. americana","Veronica americana"
"V. filiformis","Veronica filiformis"
"V. minor","Vinca minor"
"V. myuros","Festuca myuros"
"V. pallens","Viola palustris"
"V. palustris","Viola palustris"
"V. parvifolium","Vaccinium parvifolium"
"V. peregrina","Veronica peregrina var. peregrina"
"V. persica","Veronica persica"
"V. phlomoides","Verbascum phlomoides"
"V. scutellata","Veronica scutellata"
"V. sempervirens","Viola sempervirens"
"V. serpyllifolia","Veronica serpyllifolia"
"Vaccinium oxycoccus","Vaccinium oxycoccos"
"Vaccinum ovatum","Vaccinium ovatum"
"Veronica alpina","Veronica alpina?"
"Veronica beccabunga","Veronica americana"
"Veronica beccabunga ssp. americana","Veronica americana"
"Veronica peregrina","Veronica peregrina var. peregrina"
"Veronica peregrina peregrina","Veronica peregrina var. peregrina"
"Veronica peregrina ssp. xalapensis","Veronica peregrina var. xalapensis"
"Veronica serpyllifolia serpyllifolia","Veronica serpyllifolia"
"Vica gigantea","Vicia gigantea"
"Vicia giganta","Vicia gigantea"
"Vicia nigricans","Vicia gigantea"
"Vicia nigricans gigantea","Vicia gigantea"
"Vicia villosa","Vicia villosa var. villosa"
"Vicia villosa villosa","Vicia villosa var. villosa"
"Viola adunca","Viola adunca var. adunca"
"Vulpia bromoides","Festuca bromoides"
"Vulpia microstachys","Festuca microstachys var. pauciflora"
"Vulpia microstachys var. pauciflora","Festuca microstachys var. pauciflora"
"Woodsia oregana","Woodsia oregana ssp. oregana"
"Woodsia oregana subsp. oregana","Woodsia oregana ssp. oregana"
"Yabaea microcarpa","Yabea microcarpa"
"Zigadenus venenosus","Toxicoscordion venenosum"
"Phyllodoceae",""
"Vaccinium",""
"Prunus",""
"Luzula comosa",""
"Genisteae",""
"Euphorbia",""
"Rubus",""
"Dicentra formosa",""
"Pyrola asarifolia",""
"Lupinus",""
"Artemisia norvegica",""
"Luzula",""
"Saxifraga bronchialis",""
"Ribes",""
"Erigeron",""
"Poaceae",""
"Callitropsis nootkatensis",""
"Equisetum",""
"Magnoliopsida",""
"Angiospermae",""
"Veratrum viride",""
"Sorbus sitchensis",""
"Tracheophyta",""
"Asteraceae",""
"Urtica gracilis",""
"Lathyrus",""
"Polypodium",""
"Corallorhiza",""
"Potentilleae",""
"Ericaceae",""
"Juniperus",""
"Hypericum",""
"Myrtillus",""
"Salix",""
"Pinaceae",""
"Myosotis",""
"Juglans mandshurica",""
"Sorbus",""
"Symphoricarpos",""
"Pinopsida",""
"Betulaceae",""
"Picea",""
"Populus",""
"Pinus mugo",""
"Sambucus",""
"Polygonum",""
"Humulus lupulus",""
"Polygoneae",""
"Hyacinthoides",""
"Taraxacum",""
"Polygonatum multiflorum",""
"Mitella",""
"Epilobium",""
"Triantha",""
"Cyperoideae",""
"Galium verum",""
"Astereae",""
"Kalmia microphylla",""
"Viola",""
"Carex",""
"Diphasiastrum",""
"Phyllodoce",""
"Lupinus latifolius",""
"Arctocrania",""
"Aegopodium",""
"Hedera",""
"Crassulaceae",""
"Sedum",""
"Cyclamen hederifolium",""
"Kerria",""
"Berberis",""
"Hypochaeris",""
"Rodgersia",""
"Argyranthemum",""
"Oenothera",""
"Cynosurus",""
"Hordeum",""
"Sonchus",""
"Arctium",""
"Clematis",""
"Bellis",""
"Portulaca",""
"Centranthus ruber",""
"Symphyotrichum",""
"Crataegus douglasii",""
"Cupressoideae",""
"Carduinae",""
"Urtica",""
"Cirsium",""
"Thymus pulegioides",""
"Brodiaea",""
"Streptopoideae",""
"Pinus",""
"Valeriana officinalis",""
"Sciadorhodion",""
"Pinoideae",""
"Pinales",""
"Buddleja",""
"Rosa acicularis",""
"Erysimum",""
"Viburnum plicatum",""
"Juniperus rigida",""
"Tiarella trifoliata",""
"Spiraea",""
"Brunnera macrophylla",""
"Pilosella",""
"Poeae",""
"Impatiens",""
"Senecioninae",""
"Polypodiales",""
"Fabeae",""
"Spiraea cantoniensis",""
"Cornus",""
"Hylotelephium",""
"Sempervivoideae",""
"Corydaleae",""
"Prunella vulgaris",""
"Coreopsis tinctoria",""
"Lonicera periclymenum",""
"Crocus vernus",""
"Rosa",""
"Circaea alpina",""
"Hippuris montana",""
"Ericoideae",""
"Carex scirpoidea pseudoscirpoidea",""
"Lotus uliginosus",""
"Calystegia",""
"Betula",""
"Lycopodiaceae",""
"Lobularia maritima",""
"Symphytum",""
"Toxicoscordion venenosum",""
"Trollius albiflorus",""
"Castilleja hispida",""
"Lactuca serriola",""
"Parthenocissus quinquefolia",""
"Lotus",""
"Quercus",""
"Streptopus",""
"Lilieae",""
"Limnia",""
"Callitriche stagnalis",""
"Fragaria",""
"Poa bulbosa",""
"Platanthera elongata",""
"Simiolus",""
"Claytonia",""
"Ribes sanguineum",""
"Elymus trachycaulus",""
"Potamogeton amplifolius",""
"Dichanthelium acuminatum",""
"Collinsia",""
"Cardamine",""
"Rosa gymnocarpa",""
"Platanthera",""
"Wisteria sinensis",""
"Triantha occidentalis",""
"Lepidium",""
"Athyrium americanum",""
"Athyrium",""
"Oreopteris quelpartensis",""
"Alnus",""
"Gymnocarpium",""
"Ranunculus",""
"Hypochaeridinae",""
"Juncus",""
"Cupressus",""
"Trifoliae",""
"Hyacinthus orientalis",""
"Caltha biflora",""
"Maianthemum racemosum",""
"Persicaria hydropiperoides",""
"Cytisus",""
"Idaeobatus",""
"Salix × pendulina tristis",""
"Lamium galeobdolon argentatum",""
"Mentha",""
"Argentina",""
"Euphorbia characias",""
"Bidens",""
"Tellima",""
"Ligustrum",""
"Geranium",""
"Cichorieae",""
"Miscanthus sinensis",""
"Asteroideae",""
"Senecio",""
"Saxifragaceae",""
"Vicia",""
"Geraniaceae",""
"Galium",""
"Polystichum",""
"Brassicaceae",""
"Thalictrum",""
"Sagina",""
"Alchemilla occidentalis",""
"Barbarea",""
"Osmorhiza",""
"Ledum",""
"Melilotus",""
"Leucanthemum",""
"Lamiaceae",""
"Solanum",""
"Cichorioideae",""
"Perideridia",""
"Sagina maxima crassicaulis",""
"Pseudognaphalium",""
"Juncaceae",""
"Tsuga",""
"Dryopteris",""
"Ranunculoideae",""
"Tanacetum",""
"Polypodiopsida",""
"Callitriche",""
"Cyperaceae",""
"Huperzia",""
"Athyrium filix-femina cyclosorum",""
"Anthemideae",""
"Lolium",""
"Malus",""
"Rumex",""
"Lamiales",""
"Oenanthe",""
"Leucanthemum × superbum",""
"Lolium multiflorum",""
"Thymus",""
"Lamium hybridum",""
"Forsythia × intermedia",""
"Muscari",""
"Pooideae",""
"Convolvuloideae",""
"Heuchereae",""
"Corylus",""
"Triplinerviae",""
"Fabaceae",""
"Caryophyllaceae",""
"Leucanthemum maximum",""
"Sorbus scopulina",""
"Pseudognaphalium stramineum",""
"Camassia",""
"Cardamine breweri orbicularis",""
"Rhododendron × hybridum",""
"Alismatales",""
"Clinopodium",""
"Taxus",""
"Malva sylvestris",""
"Erythranthe",""
"Montia",""
"Rorippa",""
"Grindelia",""
"Platanthera dilatata",""
"Salicaceae",""
"Phedimus spurius",""
"Brassicoideae",""
"Liliaceae",""
"Cerastium",""
"Dichanthelium",""
"Plectritis",""
"Viola tricolor",""
"Alisma",""
"Galium echinocarpum",""
"Persicaria",""
"Fraxinus",""
"Erythranthe ptilota",""
"Solidago",""
"Chenopodioideae",""
"Myosotis latifolia",""
"Erysimum capitatum",""
"Secale cereale",""
"Rosaceae",""
"Cotinus",""
"Ulmus",""
"Fragaria × ananassa",""
"Syringa vulgaris",""
"Geranium sanguineum",""
"Kraniopsis",""
"Achillea",""
"Philadelphus",""
"Persicaria hydropiper",""
"Pteridium pinetorum",""
"Centaurea diffusa",""
"Centaurea",""
"Equisetum scirpoides",""
"Prunus padus",""
"Linaria dalmatica",""
"Primula japonica",""
"Phlox subulata",""
"Acer",""
"Juglans",""
"Allium",""
"Eriophorum",""
"Arnica",""
"Festuca",""
"Petrosedum",""
"Vaccinioideae",""
"Panicum capillare",""
"Poales",""
"Hyacinthoides × massartiana",""
"Spirodela polyrhiza",""
"Rosa woodsii",""
"Anthoxanthum",""
"Anaphalis",""
"Pentaglottis sempervirens",""
"Scilloideae",""
"Anemonoides blanda",""
"Heracleum mantegazzianum",""
"Lonicera",""
"Petasites frigidus palmatus",""
"Micranthes",""
"Arctostaphylos",""
"Petasites frigidus frigidus",""
"Kalmia procumbens",""
"Penstemon procerus",""
"Leucojum aestivum",""
"Hedera hibernica",""
"Callitropsis",""
"Asparagales",""
"Cupressaceae",""
"Santolina",""
"Ilex",""
"Cyclamen coum",""
"Caprifolioideae",""
"Juncus patens",""
"Candicantes",""
"Toxicoscordion",""
"Gnaphalieae",""
"Asparagaceae",""
"Narcissus",""
"Crocus tommasinianus",""
"Hiemales",""
"Typha",""
"Apioideae",""
"Amelanchier",""
"Physocarpus",""
"Triphysaria pusilla",""
"Arenaria serpyllifolia",""
"Reynoutria",""
"Liliopsida",""
"Luzula comosa laxa",""
"Bolboschoenus",""
"Aveninae",""
"Carex magellanica",""
"Agoseris aurantiaca",""
"Nuphar",""
"Crocus",""
"Danthonia",""
"Crassula tillaea",""
"Cynoglossoideae",""
"Saxifragales",""
"Lysimachia",""
"Medicago",""
"Mutarda arvensis",""
"Viola riviniana",""
"Alnus incana",""
"Picea glauca",""
"Geum",""
"Aquilegia",""
"Calluna vulgaris",""
"Aruncus",""
"Hieracium",""
"Poa",""
"Hordeinae",""
"Rhododendron",""
"Frangula",""
"Lycopus",""
"Stellaria",""
"Spergularia",""
"Heracleum",""
"Amygdaloideae",""
"Leersia oryzoides",""
"Lavandula angustifolia",""
"Picea abies",""
"Cinerella",""
"Euthamia",""
"Fraxinus excelsior",""
"Polygonum douglasii",""
"Phalaris",""
"Panicoideae",""
"Solidago rugosa",""
"Pyrola",""
"Cotoneaster",""
"Stachys",""
"Silene",""
"Tiarella",""
"Galeopsis",""
"Coreopsideae",""
"Sorbus sitchensis sitchensis",""
"Linaria",""
"Abies",""
"Luetkea",""
"Trollius",""
"Potentilla",""
"Maianthemum",""
"Sisymbrium",""
"Cornus sericea sericea",""
"Nephrophyllidium crista-galli crista-galli",""
"Alnus alnobetula sinuata",""
"Fragaria × ananassa cuneifolia",""
"Carex kelloggii",""
"Sarracenia purpurea purpurea",""
"Juniperus communis kelleyi",""
"Campanula scouleri",""
"Bromus",""
"Scheuchzeria palustris",""
"Streptopus streptopoides streptopoides",""
"Veratrum viride eschscholtzianum",""
"Sorbus sitchensis grayi",""
"Dicentra formosa formosa",""
"Deutzia crenata",""
"Castilleja miniata miniata",""
"Primula pauciflora macrocarpa",""
"Typha × glauca",""
"Montiaceae",""
"Apiaceae",""
"Kalmia",""
"Brevicalcaratae",""
"Veratrum",""
"Anoplobatus",""
"Abietoideae",""
"Convolvuleae",""
"Leymus",""
"Trifolium",""
"Fragaria virginiana platypetala",""
"Festuca roemeri",""
"Cotinus coggygria",""
"Amsonia",""
"Forsythia",""
"Euphrasia",""
"Cerasus",""
"Hieraciinae",""
"Dianthus armeria",""
"Malus domestica",""
"Pseudotsuga",""
"Erica carnea",""
"Platanus",""
"Thuja",""
"Polystichum setigerum",""
"Gaillardia pulchella",""
"Berberis darwinii",""
"Raphanus raphanistrum sativus",""
"Mentha × piperita",""
"Heuchera",""
"Cystopteris",""
"Arceuthobium tsugense contortae",""
"Batrachioidea",""
"Lauraceae",""
"Iridaceae",""
"Bambusoideae",""
"Caprifolium",""
"Arceuthobium tsugense",""
"Reynoutria × bohemica",""
"Castanea",""
"Piperia",""
"Acer glabrum douglasii",""
"Dichanthelium oligosanthes",""
"Hamata",""
"Calamagrostis arenaria",""
"Festuca microstachys",""
"Trifolieae",""
"Phlox paniculata",""
"Rubus leucodermis leucodermis",""
"Pulmonaria",""
"Gaultheria",""
"Hippochaete",""
"Chamaemelanium",""
"Helianthus",""
"Castilleja parviflora",""
"Iberideae",""
"Digitaria ischaemum",""
"Scirpus cyperinus",""
"Lamium maculatum",""
"Hordeum vulgare",""
"Sarracenia purpurea",""
"Danthonia californica",""
"Alchemilla",""
"Arnoseris minima",""
"Antennaria",""
"Iris sanguinea",""
"Lycopodiopsida",""
"Neottia",""
"Crataegus",""
"Canadanthus modestus",""
"Madia exigua",""
"Senecioneae",""
"Prunella vulgaris lanceolata",""
"Arceuthobium douglasii",""
"Potamogeton",""
"Oxalis",""
"Salix barclayi",""
"Chamaenerion",""
"Menyanthes",""
"Iberis sempervirens",""
"Carex limosa",""
"Carex rostrata",""
"Castilleja",""
"Callitriche heterophylla",""
"Faboideae",""
"Myriophyllum",""
"Myrica",""
"Penstemon",""
"Gnaphaliinae",""
"Plantago",""
"Arbutoideae",""
"Loliinae",""
"Sagina maxima",""
"Paxistima",""
"Lilium",""
"Rosoideae",""
"Coptis",""
"Crepidinae",""
"Cassiope",""
"Veronica",""
"Jacobaea",""
"Humulus",""
"Setaria",""
"Prosartes",""
"Parthenocissus inserta",""
"Erythrosperma",""
"Arceuthobium tsugense tsugense",""
"Gnaphalium palustre",""
"Gnaphalium",""
"Eleocharis parvula",""
"Nymphaea odorata",""
"Populus alba",""
"Solanum rostratum",""
"Medicago sativa",""
"Cichorium pumilum",""
"Stellaria borealis sitchana",""
"Hieracium triste",""
"Euthamia occidentalis",""
"Elliottia",""
"Leontodon saxatilis",""
"Rhus",""
"Brassica",""
"Ornithogalum umbellatum",""
"Brassiceae",""
"Carex nigra",""
"Rosa canina",""
"Linum grandiflorum",""
"Tetragonia tetragonoides",""
"Verbascum virgatum",""
"Cenchrus alopecuroides",""
"Lysimachia arvensis",""
"Vitis",""
"Amaranthaceae",""
"Brassicales",""
"Photinia serratifolia",""
"Acer palmatum",""
"Cotoneaster × suecicus",""
"Limnorchis",""
"Torilis arvensis",""
"Polygonoideae",""
"Campanula",""
"Euonymus",""
"Rudbeckia triloba",""
"Malva arborea",""
"Boraginaceae",""
"Chaenomeles speciosa",""
"Papaver",""
"Plectritis macrocera",""
"Ruberta",""
"Nasturtium",""
"Quinquefoliae",""
"Maleae",""
"Potentilla recta",""
"Lupinus lepidus lobbii",""
"Galium boreale",""
"Antennaria racemosa",""
"Onagraceae",""
"Erigeron humilis",""
"Corallorhiza trifida",""
"Orchidaceae",""
"Erythranthe moschata",""
"Lycopodium",""
"Lolium arundinaceum",""
"Agrostis",""
"Packera",""
"Koeleria spicata",""
"Artemisia",""
"Schoenoplectus",""
"Anthriscus caucalis",""
"Hordeum jubatum",""
"Diphasiastrum alpinum × sitchense",""
"Phleum",""
"Glyceria",""
"Arnica lanceolata",""
"Sabina",""
"Distichlis spicata",""
"Viola odorata",""
"Scandiceae",""
"Sanicula",""
"Pinus sylvestris",""
"Cedrus deodara",""
"Erigeron speciosus",""
"Boykinia",""
"Boragineae",""
"Crocus neapolitanus",""
"Rosales",""
"Silene antirrhina",""
"Ficaria verna",""
"Phacocystis",""
"Spergularia canadensis occidentalis",""
"Symphoricarpos albus laevigatus",""
"Bolboschoenus maritimus paludosus",""
"Rumex fueginus",""
"Sparganium",""
"Atriplex",""
"Petasites frigidus",""
"Apocynum androsaemifolium androsaemifolium",""
"Carex kelloggii kelloggii",""
"Lyallii",""
"Carex brunnescens brunnescens",""
"Festuca saximontana",""
"Carex magellanica irrigua",""
"Rosa pisocarpa pisocarpa",""
"Agoseris aurantiaca aurantiaca",""
"Salix purpurea",""
"Berberis julianae",""
"Scirpus",""
"Carex kelloggii limnophila",""
"Arnica lanceolata prima",""
"Elymus",""
"Panicum",""
"Prunus virginiana",""
"Corylus cornuta californica",""
"Alnus alnobetula fruticosa",""
"Holcus mollis",""
"Triticeae",""
"Potentilla gracilis",""
"Campsis radicans",""
"Laterales",""
"Lupinus nootkatensis",""
"Lycopodioideae",""
"Malveae",""
"Symphyotrichum lanceolatum",""
"Crocus speciosus",""
"Aspleniinae",""
"Geocaulon lividum",""
"Pedicularis",""
"Cornus alba",""
"Valeriana",""
"Gilia capitata",""
"Nemophila",""
"Clarkia",""
"Papaver rhoeas",""
"Papaver orientale",""
"Artemisia suksdorfii",""
"Crepis",""
"Campanula lactiflora",""
"Vetrix",""
"Pleiactila",""
"Betula pubescens",""
"Carex brunnescens",""
"Parthenocissus tricuspidata",""
"Artemisia absinthium",""
"Morus",""
"Acer ginnala",""
"Rudbeckia laciniata",""
"Taxus baccata",""
"Agoseris grandiflora",""
"Eupatorieae",""
"Urtica chamaedryoides",""
"Geum urbanum",""
"Persicaria pensylvanica",""
"Polypodiidae",""
"Ranunculaceae",""
"Anthriscus sylvestris",""
"Geranium pusillum",""
"Carex leptalea",""
"Galium palustre",""
"Chenopodium",""
"Gormania",""
"Geum aleppicum",""
"Eschscholzia",""
"Laurus nobilis",""
"Mentha spicata",""
"Nymphaea",""
"Plectritis congesta congesta",""
"Polygonateae",""
"Scilla forbesii",""
"Holcus",""
"Malva",""
"Matricaria",""
"Viburnum",""
"Nymphaeaceae",""
"Pyrus",""
"Nephrophyllidium",""
"Melissa",""
"Levisticum officinale",""
"Polygonatum",""
"Pieris",""
"Rosa rubiginosa",""
"Lactucinae",""
"Prunus cerasus",""
"Gaillardia",""
"Hieracium umbellatum",""
"Vaccinieae",""
"Kniphofia uvaria",""
"Echinacea",""
"Styrax",""
"Goodyera",""
"Pastinaca",""
"Nepeta cataria",""
"Alcea rosea",""
"Rudbeckia",""
"Viburnum davidii",""
"Lonicera ligustrina",""
"Amaranthus cruentus",""
"Aira",""
"Lactuca",""
"Phlox",""
"Erica",""
"Liliales",""
"Fuireneae",""
"Andromeda polifolia",""
"Pinguicula",""
"Hieracium triste gracile",""
"Lonicera involucrata involucrata",""
"Veronica persica",""
"Arbutus",""
"Alisma plantago-aquatica",""
"Sanguisorba",""
"Persicaria capitata",""
"Zosteraceae",""
"× Triticosecale",""
"Antirrhinum majus",""
"Yucca",""
"Cucurbitaceae",""
"Cakile",""
"Amaranthus",""
"Ailanthus altissima",""
"Alopecurus pratensis",""
"Ranunculales",""
"Digitalis",""
"Viola rotundifolia",""
"Drosera",""
"Rubus occidentalis",""
"Caprifoliaceae",""
"Castilleja hispida hispida",""
"Cortaderia selloana",""
"Festuca roemeri roemeri",""
"Lysichiton",""
"Madia",""
"Pteridaceae",""
"Claytonia perfoliata",""
"Sapindales",""
"Hemerocallis fulva kwanso",""
"Polygonatum × hybridum",""
"Trientalis",""
"Ericales",""
"Circaea",""
"Saxifraga bronchialis austromontana",""
"Scirpus sylvaticus",""
"Ribes rubrum",""
"Convolvulus arvensis",""
"Rubus allegheniensis allegheniensis",""
"Arabis alpina",""
"Alchemilla monticola",""
"Wisteria floribunda",""
"Erigeron philadelphicus",""
"Hypericum grandifolium",""
"Philadelphus coronarius",""
"Chaenomeles",""
"Weigela",""
"Symphyotrichinae",""
"Salix babylonica",""
"Verbascum",""
"Platanthera elegans elegans",""
"Carya",""
"Polystichum braunii × munitum",""
"Plectritis congesta brachystemon",""
"Petrosedum orientale",""
"Syringa",""
"Convallaria",""
"Cosmos bipinnatus",""
"Pyrola asarifolia bracteata",""
"Leycesteria",""
"Iris × hybrida",""
"Brunnera",""
"Prunella vulgaris vulgaris",""
"Crocoideae",""
"Darmera peltata",""
"Corallorhiza maculata occidentalis",""
"Trautvetteria caroliniensis occidentalis",""
"Spiranthes",""
"Arenarieae",""
"Eragrostis lehmanniana",""
"Esula",""
"Ajuga",""
"Nepeta",""
"Nepeta racemosa",""
"Asterales",""
"Juglans ailantifolia",""
"Lactuca sativa",""
"Prunus persica",""
"Trisetum",""
"Unilaterales",""
"Honckenya peploides major",""
"Tacamahaca",""
"Helminthotheca echioides",""
"Ambrosia chamissonis",""
"Papaveraceae",""
"Lilium bulbiferum",""
"Polygonaceae",""
"Vinca",""
"Dicentra eximia",""
"Dicentra",""
"Erythronium",""
"Euphorbia amygdaloides",""
"Sambucus canadensis",""
"Geranium × oxonianum",""
"Apiales",""
"Nigella",""
"Celastrales",""
"Veronica peregrina xalapensis",""
"Glyceria grandis",""
"Aronia melanocarpa",""
"Calamagrostis epigejos",""
"Antirrhinum",""
"Ulmus minor",""
"Arctostaphylos crustacea",""
"Jasminum nudiflorum",""
"Lobatae",""
"Scilla",""
"Euonymus japonicus",""
"Hypochaeris glabra",""
"Dodecatheon",""
"Origanum",""
"Elaeagnus umbellata",""
"Laburnum",""
"Tordylieae",""
"Primula pauciflora pauciflora",""
"Phytolacca",""
"Speciosae",""
"Tragopogon",""
"Campanula trachelium",""
"Cucurbita",""
"Symphyotrichum foliaceum foliaceum",""
"Chaenostoma",""
"Oenothera villosa",""
"Malus baccata",""
"Escallonia",""
"Galinsoga",""
"Chondrilla juncea",""
"Aloysia",""
"Iris reticulata",""
"Acer rubrum",""
"Geranium pyrenaicum",""
"Orontioideae",""
"Nymphaeales",""
"Erianthera",""
"Salicornia pacifica",""
"Veroniceae",""
"Petasites",""
"Petroselinum crispum",""
"Lactuca canadensis",""
"Astrantia",""
"Sium",""
"Packera streptanthifolia",""
"Juglans nigra",""
"Fagus sylvatica",""
"Holochloa",""
"Platanus occidentalis",""
"Calamagrostis",""
"Chamaecyparis",""
"Alismataceae",""
"Juniperus rigida conferta",""
"Dysphania botrys",""
"Juglans cinerea",""
"Borago officinalis",""
"Glandora prostrata",""
"Brachyglottis greyi",""
"Phacelia",""
"Boechera",""
"Agoseris",""
"Potentilla glaucophylla",""
"Luina hypoleuca",""
"Carex scoparia",""
"Cardueae",""
"Gentiana douglasiana",""
"Diplotaxis tenuifolia",""
"Angelica",""
"Hemerocallis fulva",""
"Parnassia",""
"Botrychium",""
"Potentilla drummondii",""
"Hottonia palustris",""
"Draba",""
"Sempervivum",""
"Sedum tetractinum",""
"Euphorbia glauca",""
"Athyriaceae",""
"Daucus",""
"Salvia rosmarinus",""
"Lomatium nudicaule",""
"Clintonia",""
"Tamarix",""
"Euphorbia esula",""
"Erysimum × cheiri",""
"Nemophila maculata",""
"Robertium",""
"Iris",""
"Trichophorum",""
"Polystichum imbricans",""
"Salix integra",""
"Inula helenium",""
"Iris versicolor",""
"Nepetinae",""
"Dryas hookeriana",""
"Cornales",""
"Eupatorium",""
"Campanula poscharskyana",""
"Caltha",""
"Stellaria borealis",""
"Eremogone capillaris",""
"Pontederia cordata",""
"Lapsana",""
"Grindelia squarrosa",""
"Violaceae",""
"Liquidambar",""
"Carex hassei",""
"Oxalidales",""
"Rhododendron ponticum",""
"Elymus canadensis",""
"Physocarpus opulifolius",""
"Linaria maroccana",""
"Teucrium hircanicum",""
"Rosa lucieae",""
"Daphne",""
"Mycelis",""
"Rumex transitorius",""
"Colchicum",""
"Dactylis",""
"Deschampsia",""
