Taxon,Matched.Taxon,Notes
Castilleja parviflora albida,Castilleja parviflora var. albida,
Castilleja parviflora parviflora,Castilleja parviflora var. parviflora,
Ceanothus velutinus hookeri,Ceanothus velutinus var. laevigatus,
Cedrus deodara,,non-established
Cenchrus alopecuroides,,non-established
Centarium erythraea,Centaurium erythraea,
Cerastium arvense,Cerastium arvense ssp. strictum,
Cerastium fontanum,Cerastium holosteoides,
Chaenomeles speciosa,,non-established
Chenopodium rubrum var. rubrum,Oxybasis rubra,
Chimaphila umbellata,Chimaphila umbellata ssp. umbellata,
Circaea alpina,,confirm subspecies
Circea alpina,Circaea alpina,
Clarkia amoena caurina,Clarkia amoena ssp. caurina,
Clarkia amoena lindleyi,Clarkia amoena ssp. lindleyi,
Clarkia amoena var. caurina,Clarkia amoena ssp. caurina,
Clarkia amoena var. lindleyi,Clarkia amoena ssp. lindleyi,
Claytonia exigua exigua,Claytonia exigua ssp. exigua,
Claytonia parviflora var. parviflora,Claytonia parviflora,
Claytonia perfoliata,Claytonia perfoliata ssp. perfoliata,
Claytonia rubra depressa,Claytonia rubra ssp. depressa,
Claytonia spathulata,Claytonia exigua ssp. exigua,
Conioselinum pacificum,Conioselinum gmelinii,
Consolida ambigua,Consolida ajacis,
Convolvulus sepium,Calystegia sepium ssp. sepium,
Conyza canadensis,Erigeron canadensis,
Corallorhiza maculata occidentalis,Corallorhiza maculata var. occidentalis,
Corallorhiza maculata occidentalis,Corallorhiza maculata var. occidentalis,
Corallorhiza striata,Corallorhiza striata var. striata,
Corallorhiza striata striata,Corallorhiza striata var. striata,
Cornus canadensis,Cornus unalaschkensis,
Cornus sericea occidentalis,Cornus sericea,
Cornus sericea sericea,Cornus sericea,
Cornus stolonifera,Cornus sericea,
Cortaderia selloana,,non-established
Corylus cornuta,Corylus cornuta ssp. californica,
Corylus cornuta californica,Corylus cornuta ssp. californica,
Cosmos bipinnatus,,non-established
Cotinus coggygria,,non-established
Cotoneaster × suecicus,,non-established
Cotoneaster Dielsianus,Cotoneaster simonsii,
Cotoneaster lacteus,Cotoneaster coriaceus,
Crassula connata var connata,Crassula connata,
Crataegus monogyna monogyna,Crataegus monogyna,
Crocus neapolitanus,,non-established
Crocus speciosus,,non-established
Crocus tommasinianus,,non-established
Crocus vernus,,non-established
Cupressus nootkatensis,Callitropsis nootkatensis,
Cuscuta pacifica,Cuscuta pacifica var. pacifica,
Danthonia decumbens x californica,Danthonia decumbens,
Darmera peltata,,non-established
Daucus carrota,Daucus carota,
Deschampsia caespitosa,Deschampsia cespitosa,
Dianthus armeria,Dianthus armeria ssp. armeria,
Dicentra formosa,Dicentra formosa ssp. formosa,
Dicentra formosa formosa,Dicentra formosa ssp. formosa,
Dicentra formosa subsp formosa,Dicentra formosa ssp. formosa,
Dichanthelium acuminatum,Dichanthelium lanuginosum,
Dichanthelium acuminatum var. fasciculatum,Dichanthelium lanuginosum,
Dodecatheon hendersonii,Primula hendersonii,
Dodecatheon pulchellum,Primula pauciflora var. pauciflora,
Elaeagnus umbellata,,
Eleocharis mamillata ssp. mamillata,Eleocharis mamillata,
Eleocharis parvula,,
Elymus canadensis,,
Elymus elymoides,Elymus elymoides ssp. californicus,
Elymus glaucus glaucus,Elymus glaucus,
Elymus glaucus ssp. glaucus,Elymus glaucus,
Elymus trachycaulus,Elymus trachycaulus ssp. trachycaulus,
Elymus trachycaulus ssp.  trachycaulus,Elymus trachycaulus ssp. trachycaulus,
Epilobium angustifolium,Chamaenerion angustifolium,
Epilobium ciliatum ssp. ciliatum,Epilobium ciliatum,
Epilobium ciliatum ssp. Watsonii,Epilobium ciliatum,
Epilobium hornemannii ssp. behringianum,Epilobium hornemannii,
Epilobium hornemannii ssp. hornemannii,Epilobium hornemannii,
Equisetum hyemale,Equisetum hyemale ssp. affine,
Equisetum hyemale affine,Equisetum hyemale ssp. affine,
Equisetum scirpoides,,
Equisetum telmateia,Equisetum telmateia ssp. braunii,
Equisetum telmateia braunii,Equisetum telmateia ssp. braunii,
Eragrostis lehmanniana,,
Eremogone capillaris,,
Erica carnea,,
Erigeron glacialis glacialis,Erigeron glacialis,
Erigeron humilis,,
Erigeron philadelphicus,,
Erigeron speciosus,,
Eriophorum angustifolium,Eriophorum gracile,
Eriophyllum lanatum,Eriophyllum lanatum var. leucophyllum,
Eriophyllum lanatum integrifolium,Eriophyllum lanatum var. leucophyllum,
Eriophyllum lanatum leucophyllum,Eriophyllum lanatum var. leucophyllum,
Erodium cicutarium,Erodium cicutarium ssp. cicutarium,
Erodium cicutarium cicutarium,Erodium cicutarium ssp. cicutarium,
Erysimum × cheiri,,
Erysimum capitatum,,
Erysimum cheianthoides,Erysimum cheiranthoides,
Erythranthe guttata,Erythranthe cf guttata,
Erythranthe guttatus,Erythranthe cf guttata,
Erythranthe moschata,,
Erythranthe moschatus,Erythranthe moschata,
Erythranthe ptilota,,
Euonymus japonicus,,
Euphorbia amygdaloides,,
Euphorbia characias,,
Euphorbia esula,,
Euphorbia glauca,,
Euphrasia officinalis,Euphrasia nemorosa,
Euthamia occidentalis,,
Eutrochium maculatum,Eutrochium maculatum var. bruneri,
Fagus sylvatica,,
Festuca arundinaceae,Lolium arundinaceum,
Festuca idahoensis var. roemeri,Festuca roemeri var. roemeri,
Festuca microstachys,Festuca microstachys var. pauciflora,
Festuca microstachys,,
Festuca microstachys pauciflora,Festuca microstachys var. pauciflora,
Festuca pratensis,Lolium pratense,
Festuca roemeri,Festuca roemeri var. roemeri,
Festuca roemeri,,
Festuca roemeri roemeri,Festuca roemeri var. roemeri,
Festuca roemeri roemeri,,
Festuca rubra,Festuca rubra s. lat.,
Festuca rubra aucta,Festuca rubra s. lat.,
Festuca rubra pruinosa,Festuca rubra ssp. pruinosa,
Festuca rubra rubra,Festuca rubra s. lat.,
Festuca rubra sens. lat.,Festuca rubra s. lat.,
Festuca rubra ssp. aucta,Festuca rubra s. lat.,
Festuca rubra ssp. mediana,Festuca rubra s. lat.,
Festuca saximontana,,
Festuca saximontana var. saximontana,Festuca saximontana,
Ficaria verna,,
Filago vulgaris,Filago germanica,
Forsythia × intermedia,,
Fragaria × ananassa,,
Fragaria × ananassa cuneifolia,Fragaria × ananassa ssp. cuneifolia,
Fragaria ananassa ssp. cuneifolia,Fragaria × ananassa ssp. cuneifolia,
Fragaria vesca,Fragaria vesca ssp. bracteata,
Fragaria vesca bracteata,Fragaria vesca ssp. bracteata,
Fragaria vesca subsp bracteata,Fragaria vesca ssp. bracteata,
Fragaria virginiana platypetala,Fragaria virginiana,
Fragaria virginiana ssp. platypetala,Fragaria virginiana,
Fragaria virginiana subsp platypetala,Fragaria virginiana,
Fraxinus excelsior,,
Fritillaria affinis affinis,Fritillaria affinis,
G. dissectum,Geranium dissectum,
G. leptostachya,Glyceria leptostachya,
G. palustre,Gnaphalium palustre,
G. purpureum,Gamochaeta ustulata,
G. pusillum,Geranium pusillum,
G. robertianum,Geranium robertianum,
G. squarrosa,Grindelia squarrosa,
G. striata,Glyceria striata,
G. uliginosum,Gnaphalium uliginosum,
Gaillardia pulchella,,
Galium boreale,,
Galium echinocarpum,,
Galium palustre,,
Galium verum,,
Gallium trifidum,Galium trifidum,
Gallium triflorum,Galium triflorum,
Gentiana douglasiana,,
Gentiana septemfida,Gentiana septemfida?,
Geocaulon lividum,,
Geranium × oxonianum,,
Geranium bicknelii,Geranium bicknellii,
Geranium carolinanum,Geranium carolinianum,
Geranium pusillum,,
Geranium pyrenaicum,,
Geranium sanguineum,,
Geum aleppicum,,
Geum macrophyllum macrophyllum,Geum macrophyllum,
Geum urbanum,,
Gilia capitata,,
Glandora prostrata,,
Glaux maritima,Lysimachia maritima,
Glecoma hederacea,Glechoma hederacea,
Glyceria grandis,,
Gnaphalium palustre,,
Graphephorum,Graphephorum wolfii,
Grindelia hirsutula,Grindelia hirsutula var. hirsutula,
Grindelia hirsutula,Grindelia hirsutula var. hirsutula,
Grindelia integrifolia,Grindelia stricta,
Grindelia squarrosa,,
Grindelia stricta var. stricta,Grindelia stricta,
H. calycinium,Hypericum calycinum,
H. murinum,Hordeum murinum ssp. murinum,
H. perforatum,Hypericum perforatum,
Hedera hibernica,,
Helminthotheca echioides,,
Hemerocallis fulva,,
Hemerocallis fulva kwanso,,
Heracleum lanatum,Heracleum maximum,
Heracleum mantegazzianum,,
Heuchera micrantha,Heuchera micrantha var. diversifolia,
Heuchera micrantha diversifolia,Heuchera micrantha var. diversifolia,
Hieracium triste,,
Hieracium triste gracile,,
Hieracium umbellatum,,
Hierochloe odorata,Anthoxanthum hirtum,
Hippuris montana,,
Holcus mollis,,
Holodiscus discolor,Holodiscus discolor var. discolor,
Holodiscus discolor discolor,Holodiscus discolor var. discolor,
Honckenya peploides,Honckenya peploides ssp. major,
Honckenya peploides major,Honckenya peploides ssp. major,
Hordeum brachyantherum,Hordeum brachyantherum ssp. brachyantherum,
Hordeum brachyantherum brachyantherum,Hordeum brachyantherum ssp. brachyantherum,
Hordeum jubatum,,
Hordeum murinum,Hordeum murinum ssp. murinum,
Hordeum murinum murinum,Hordeum murinum ssp. murinum,
Hordeum vulgare,,
Hottonia palustris,,
Humulus lupulus,,
Hyacinthoides × massartiana,,
Hyacinthus orientalis,,
Hypericum grandifolium,,
Hypochaeris glabra,,
Hypopitys monotropa,Monotropa hypopitys,
Iberis sempervirens,,
Inula helenium,,
Iris × hybrida,,
Iris reticulata,,
Iris sanguinea,,
Iris versicolor,,
J. articulatus,Juncus articulatus,
J. balticus,Juncus balticus,
J. bolanderi,Juncus bolanderi,
J. bufonius,Juncus bufonius,
J. ensifolius,Juncus ensifolius,
J. oxymeris,Juncus oxymeris,
J. tenuis,Juncus tenuis,
Jasminum nudiflorum,,
Juglans ailantifolia,,
Juglans cinerea,,
Juglans mandshurica,,
Juglans nigra,,
Juncus arcticus,Juncus arcticus ssp. alaskanus,
Juncus arcticus alaskanus,Juncus arcticus ssp. alaskanus,
Juncus bufonius,Juncus bufonius var. bufonius,
Juncus bufonius bufonius,Juncus bufonius var. bufonius,
Juncus effusus effusus,Juncus effusus ssp. effusus,
Juncus patens,,
Juniperus communis kelleyi,,
Juniperus communis var. kelleyi,Juniperus communis,
Juniperus communis var. saxatilis,Juniperus communis,
Juniperus rigida,,
Juniperus rigida conferta,,
Juniperus scopulorum,Juniperus maritima,
Kalmia microphylla,Kalmia microphylla var. occidentalis,
Kalmia microphylla occidentalis,Kalmia microphylla var. occidentalis,
Kalmia occidentalis,Kalmia microphylla var. occidentalis,
Kalmia procumbens,,
Kniphofia uvaria,,
Koeleria spicata,,
L. denticulatus,Acmispon denticulatus,
L. latifolius,Lathyrus latifolius,
L. nevadensis,Lathyrus nevadensis var. nevadensis,
L. nudicaulis,Lomatium nudicaule,
L. polycarpus,Lupinus polycarpus,
L. polyphyllus,Lupinus polyphyllus var. polyphyllus,
L. purpurea,Linaria purpurea,
L. purpureum,Lamium purpureum,
L. serriola,Lactuca serriola,
L. trisulca,Lemna trisulca,
L. uniflorus,Lycopus uniflorus,
L. unifoliatus var unifoliatus,Acmispon americanus var. americanus,
L. utriculatum,Lomatium utriculatum,
Lactuca canadensis,,
Lactuca muralis,Mycelis muralis,
Lactuca sativa,,
Lactuca serriola,,
Lamium galeobdolon argentatum,,
Lamium hybridum,Lamium purpureum var. hybridum,
Lamium hybridum,,
Lamium maculatum,,
Lamium purpureum purpureum,Lamium purpureum,
Lappula diploloma,Lappula occidentalis,
Lathyrus nevadensis,Lathyrus nevadensis var. nevadensis,
Lathyrus nevadensis pilosellus,Lathyrus nevadensis var. nevadensis,
Laurus nobilis,,
Lavandula angustifolia,,
Ledum groenlandicum,Rhododendron groenlandicum,
Leersia oryzoides,,
Lemna minor,Lemna minuta,
Leontodon saxatilis,Leontodon saxatilis ssp. saxatilis,
Leontodon saxatilis,,
Leontodon saxatilis saxatilis,Leontodon saxatilis ssp. saxatilis,
Lepidium virginicum,Lepidium virginicum ssp. menziesii,
Leptosiphon bicolor,Leptosiphon minimus,
Leptosiphon bicolor,Leptosiphon minimus,
Leucanthemum × superbum,,
Leucanthemum maximum,,
Leucojum aestivum,,
Levisticum officinale,,
Leymus mollis,Leymus mollis ssp. mollis,
Leymus mollis mollis,Leymus mollis ssp. mollis,
Lilium bulbiferum,,
Linanthus bicolor,Leptosiphon minimus,
Linaria canadensis var. texana,Nuttallanthus texanus,
Linaria dalmatica,,
Linaria maroccana,,
Linnaea borealis,Linnaea borealis ssp. longiflora,
Linnaea borealis longiflora,Linnaea borealis ssp. longiflora,
Linnaea borealis longiflora,Linnaea borealis ssp. longiflora,
Linum grandiflorum,,
Listera cordata,Neottia cordata,
Lithophragma parviflora,Lithophragma parviflorum,
Lobularia maritima,,
Lolium arundinaceum,,
Lomatium grayi,Lomatium papilioniferum,
Lomatium grayi var. grayi,Lomatium papilioniferum,
Lomatium grayii,Lomatium papilioniferum,
Lomatium nudicaule,,
Lomatium nuticaule,Lomatium nudicaule,
Lonicera involucrata,Lonicera involucrata var. involucrata,
Lonicera involucrata involucrata,Lonicera involucrata var. involucrata,
Lonicera ligustrina,,
Lonicera periclymenum,,
Lotus micranthus,Acmispon parviflorus,
Lotus uliginosus,,
Luina hypoleuca,,
Lupinus arcticus,Lupinus arcticus ssp. subalpinus,
Lupinus arcticus subalpinus,Lupinus arcticus ssp. subalpinus,
Lupinus latifolius,Lupinus latifolius ssp. latifolius,
Lupinus latifolius var. latifolius,Lupinus latifolius ssp. latifolius,
Lupinus lepidus lobbii,,
Lupinus nootkatensis,,
Lupinus polyphyllus,Lupinus polyphyllus ssp. polyphyllus,
Luzula comosa laxa,Luzula comosa var. laxa,
Luzula comosa var.  laxa,Luzula comosa var. laxa,
Luzula multiflora,Luzula multiflora ssp. multiflora,
Luzula multiflora multiflora,Luzula multiflora ssp. multiflora,
Luzula parviflora,Luzula parviflora ssp. parviflora,
Lychnis coronaria,Silene coronaria,
Lyschiton americanum,Lysichiton americanus,
Lysichiton americanum,Lysichiton americanus,
Lysimachia arvensis,,
Lysimachia europaea arctica,Lysimachia europaea,
Lysimachia europaea ssp. arctica,Lysimachia europaea,
M. glomerata,Madia glomerata,
M. gracilis,Madia gracilis,
M. laxa,Myosotis laxa,
M. linearis,Montia linearis,
M. madioides,Anisocarpus madioides,
M. moschatus,Erythranthe moschata,
M. neglecta,Malva neglecta,
M. parvifolia,Montia parvifolia ssp. parvifolia,
M. pumila,Malus domestica,
M. sativa,Madia sativa,
M. scorpioides,Myosotis scorpioides,
M. smithii,Melica smithii,
M. suaveolens,Mentha suaveolens,
M. verticillatum,Myriophyllum spicatum,
Madia exigua,,
Madia madioides,Anisocarpus madioides,
Mahonia aquifolium,Berberis aquifolium,
Mahonia aquilifolium,Berberis aquifolium,
Mahonia nervosa,Berberis nervosa,
Maianthemum dilatum,Maianthemum dilatatum,
Maianthemum racemosum,Maianthemum racemosum ssp. amplexicaule,
Maianthemum racemosum amplexicaule,Maianthemum racemosum ssp. amplexicaule,
Malus baccata,,
Malus domestica,,
Malus x domestica,Malus domestica,
Malus x_domestica,Malus domestica,
Malva arborea,,
Malva sylvestris,,
Matricaria matricarioides,Matricaria discoidea,
Medicago sativa,,
Melampyrum lineare,Melampyrum lineare var. lineare,
Melampyrum lineare var. lineare,Melampyrum lineare,
Melica smithii x subulata,Melica smithii × subulata,
Melilotus alba,Melilotus albus,
Mentha × piperita,,
Mentha arvensis,Mentha canadensis,
Mentha spicata,,
Micranthes nelsoniana,Micranthes nelsoniana var. cascadensis,
Micranthes nelsoniana cascadensis,Micranthes nelsoniana var. cascadensis,
Microseris lindleyi,Uropappus lindleyi,
Mimulus alsinoides,Erythranthe alsinoides,
Mimulus guttatus,Erythranthe cf guttata,
Mimulus moschatus,Erythranthe moschata,
Minuartia biflora,Cherleria biflora,
Miscanthus sinensis,,
Montia parvifolia parvifolia,Montia parvifolia,
Mutarda arvensis,,
Myosotis latifolia,,
Myriophyllum,Myriophyllum sp.,
Myriophyllum verticillatum,Myriophyllum sp.,
N. pedunculata,Nemophila pedunculata,
Nastertium officinale,Nasturtium officinale,
Nasturtium microphyllum,Nasturtium officinale,
Nemophila maculata,,
Nemophila parviflora var. parviflora,Nemophila parviflora,
Nepeta cataria,,
Nepeta racemosa,,
Nephrophyllidium crista-galli crista-galli,,
Nuphar polysepalum,Nuphar polysepala,
Nymphaea odorata,,
Oenothera villosa,,
Oreopteris quelpartensis,,
Ornithogalum umbellatum,,
Orobanche californica,Aphyllon californicum ssp. californicum,
Orobanche uniflora,Aphyllon purpureum,
Orthocarpus pusillus,Triphysaria pusilla,
Osmorhiza chilensis,Osmorhiza berteroi,
Oxycoccus oxycoccos,Vaccinium oxycoccos,
P. amphibium,Persicaria amphibia,
P. aviculare,Polygonum aviculare,
P. brectholdii,Potamogeton berchtoldii,
P. compressa,Poa compressa,
P. convolvulus,Fallopia convolvulus,
P. elegans,Platanthera elegans ssp. elegans,
P. fowleri,Polygonum fowleri,
P. howellii,Poa howellii,
P. japonica,Petasites japonicus,
P. macrocera,Plectritis macrocera,
P. major,Plantago major,
P. maritima,Plantago maritima,
P. monticola,Pinus monticola,
P. natans,Potamogeton natans,
P. norvegica,Potentilla norvegica,
P. nuttalliana,Puccinellia nuttalliana,
P. palustris,Poa palustris,
P. persicaria,Persicaria maculosa,
P. picta,Pyrola picta,
P. ponderosa,Pinus ponderosa var. ponderosa,
P. pumila,Puccinellia pumila,
P. secunda,Poa secunda ssp. secunda,
P. spergulariaeforme,Polygonum spergulariiforme,
P. tenellus,Plagiobothrys tenellus,
P. tremuloides,Populus tremuloides,
P. trivialis,Poa trivialis,
P. unalaschensis,Platanthera unalascensis,
Pachistima myrsinites,Paxistima myrsinites,
Papaver orientale,,non-established
Parentucellia viscosa,Bellardia viscosa,
Parthenocissus inserta,,non-established
Parthenocissus quinquefolia,,non-established
Penstemon davidsonii,Penstemon davidsonii var. menziesii,
Penstemon davidsonii menziesii,Penstemon davidsonii var. menziesii,
Penstemon procerus,Penstemon procerus var. tolmiei,coast mountain variety
Penstemon procerus tolmiei,Penstemon procerus var. tolmiei,coast mountain variety
Pentagramma triangularis,Pentagramma triangularis ssp. triangularis,
Pentagramma triangularis triangularis,Pentagramma triangularis ssp. triangularis,
Perideridia montana,Perideridia gairdneri,
Petasites frigidus,,confirm variety
Petasites frigidus frigidus,Petasites frigidus var. frigidus,
Petasites frigidus palmatus,Petasites frigidus var. palmatus,
Petasites frigidus var. nivalis,Petasites frigidus var. frigidus,
Petrosedum orientale,,non-established
Petrosedum rupestre,,non-established
Phacelia hastata hastata,Phacelia hastata ssp. hastata,
Phacelia sericea,Phacelia sericea var. sericea,
Phedimus spurius,,non-established
Philadelphus lewesii,Philadelphus lewisii,
Phlox diffusa,Phlox diffusa ssp. longistylis,
Phlox diffusa longistylis,Phlox diffusa ssp. longistylis,
Phlox gracilis,Microsteris gracilis,
Phlox gracilis ssp. gracilis,Microsteris gracilis,
Phlox subulata,,non-established
