ElementSubnationalID,ScientificName,BasisOfRecord,InstitutionCode,CatalogNumber,Collector,CollectorNumber,EventDate,Locality,Latitude,Longitude,Elevation,IdentifiedBy,OccurrenceRemarks
18062,Allium amplectens,"Collection, Observation, EO1",CDC,,A. Hawryzki,,1996-05-31,"Mount Sutil, Galiano",48.8693,-123.379,,A. Hawryzki,V: V087223 H. Janszen 1976-07-13
18062,Allium amplectens,"Collection, Observation, EO35",CDC,,H. Roemer,,1993-04-26,"Dionisio Point, Galiano",49.0099,-123.572,,H. Roemer,
19292,Bidens amplissima,"Observation, EO63",CDC,,T. Chatwin,,2012-09-05,Galiano Island Ecological Reserve,48.9795,-123.558,,T. Chatwin,
34927,Corallorhiza maculata var. ozettensis,"Observation, EO5",CDC,,A. Simon,,2015-06-05,"Southwest of Quadra Hill, Galiano Island",48.931,-123.4771,,A. Simon,
18644,Crassula connata,"Collection, EO3",V,V129552,H. Janszen,2361,1983-03-27,"Bellhouse Provincial Park, Galiano Island",48.8713,-123.311,,H. Janszen,
16285,Glyceria leptostachya,"Collection, Observation, EO5",V,V120299,H. Janszen,2263,1982-07-209,Mount Galiano,48.8648,-123.364,,M. Barkworth,sedge fen
36962,Lomatium grayi var. grayi,"Collection, EO2",CDC,,C. Maslovat,,2010-05-30,"Lovers Leap, Galiano Island",48.9592,-123.544,45,C. Maslovat,"1738 plants; V: V120298 H. Janszen 1982-07-23, V: V129586 H. Janszen 1984-06-02, V: V178577 J. Penny, C. Norris and H. Janszen 1996-05-21, UBC: V233783 F. Lomer 1998-04-09, UBC: V241920 F. Lomer 2014-05-14"
306005,Luzula macrantha,Collection,UBC,V245153,A. Simon,,2016-05-03,"Tapovan Peace Park, Galiano Island",48.91816,-123.42984,,A. Simon,
306005,Luzula macrantha,Collection,V,V097889,H. Janszen,,1979-03-31,"Mt. Sutil, Galiano Island",48.868924,-123.377733,,P. Zika,
19311,Meconella oregana,"Collection, Observation, EO2",CDC,,L. Chalifour,,2014-03-00,"Mount Sutil, Galiano Island",48.8715,-123.383,,L. Chalifour,V: V107366 H. Janzen 1980-04-11
17984,Nuttallanthus texanus,Collection,V,V119987,H. Janszen,2212,1982-05-10,"Bodega Hill, Galiano Island",48.957075,-123.529959,,H. Janszen,very dry ledges on cliffs
17414,Plagiobothrys tenellus,"Collection, EO7",V,V107519,H. Janszen,,1980-04-11,"Mount Sutil, Galiano Island",48.8694,-123.379,,H. Janszen,
17414,Plagiobothrys tenellus,"Collection, EO8",UBC,V233784,F. Lomer,98002,1998-05-13,"Bodega Ridge, Galiano Island",48.9587,-123.533,188,F. Lomer,V: V119988 H. Janszen 1982-05-10
34974,Pyrola aphylla,Collection  ,V,V113770,H. Janszen,,1981-07-07,"Stockade Hill, Galiano Island",48.88588383,-123.3666801,,H. Roemer and R. Batten,
17489,Thysanocarpus curvipes,Collection,V,V107363 ,H. Janszen,,1980-04-11,"Mount Sutil, Galiano Island",48.869154,-123.379318,,H. Janszen,open bluffs
17489,Thysanocarpus curvipes,"Collection, Observation",CDC,,R. Batten,,2001-04-11,Mount Galiano,48.863479,-123.362895,275,R. Batten,UBC: V234967 F. Lomer 2001-04-11
13964,Trifolium dichotomum,Collection,V,V113443,H. Janszen,1900,1981-05-11,"Mt. Sutil, Galiano Island",48.869929,-123.380576,,H. Janszen,open south-facing bluffs
19455,Uropappus lindleyi,"Collection, Observation, EO7",CDC,,G. Douglas,,2004-05-13,"Matthews Point, Galiano Island",48.8624,-123.33,120,G. Douglas,"deer path through open Douglas-fir and Garry oak; UBC: V231289  F. Lomer 2003-04-30, UBC: V231293  F. Lomer 2003-05-01, V: H. Janszen 2003, V: G. Douglas 2004"
19044,Wolffia columbiana,Collection,UBC,V241919,F. Lomer,,2014-05-14,"1.4 km north of junction of Cook Road and Manastee Road, Galiano Island",48.98618,-123.560664,62,F. Lomer,"beaver dam wetland, clear still water with Ricciocarpus natans, Lemna"
19044,Wolffia columbiana,"Collection, EO3",UBC,V241903,F. Lomer and K. Millard,,2014-05-13,"Great Beaver Swamp, Galiano Island",48.942215,-123.481462,55,F. Lomer,"abundant and dominant from one end of the lake to the other, covering more than 80% of the water surface"
